komentar,komentar_bersih
Pemainnya mandul semua. Kocak😂😂😂😂😂😂😂 Gk bisa ngegooolllliiinnnn. Mending pulkam ke belanda. Naturalisasi lebih parah dari pemain lokal. Mending pemain lokal. Sama saja. Tetap kalah juga. Nangis nangis.. nangis nangis..,main mandul kocak ngegooolllliiinnnn mending pulkam belanda naturalisasi parah pemain lokal mending pemain lokal kalah nang nang nang nang
"Mengorbankan timnas di laga arab vs timnas demi menjadi rekanan penyuplai minyak mentah untuk SPBU swasta.Good Job pak Erik dan Exco PSSI bisnis kalian akhirnya berkembang pesat.Patrick,Alex pastor,Deni lanzaad kalian hanya kambing hitam dr keserakahan ketua federasi kami demi kelangsungan bisnisnya.😅😅",korban timnas laga arab vs timnas rekan suplai minyak mentah spbu swastagood job erik exco pssi bisnis kembang pesatpatrickalex pastordeni lanzaad kambing hitam serakah ketua federasi langsung bisnis
"Betul broo terimakasih buat pemain berdoa mereka menjadi lebih kuat kedepannya, masalah kita cman 1 sebetulnya belum padu dan belum ada chemistry antar pemain, jadwal yg mepet, main di Arab, sudah cukup terimakasih ❤❤",broo terimakasih pemain doa kuat depan cman padu chemistry pemain jadwal mepet main arab terimakasih
"dulu sebelum sty datang piala aff seru seru juga , suporter banyak yang datang sampai ada berantem sama lawan sty datang aff gak penting, fans sty bilang ngapain hanya piala ciki gak penting apa sty tidak bisa mengalahkan thai land viet nam",sty piala aff seru seru suporter antem lawan sty aff fans sty bilang ngapain piala cik sty kalah thai land viet nam
Kita? lo aja kali gua nga,kali nga
"2019 ke 2024 kita mimpikan 2026 optimis masuk pildun 2026 2025 tepatnya Januari kita terbangun dr mimpi,,,oh ternyata cuma mimpi SEGERAKAN PECAT PATRICK Bangun mimpi utk 2030",mimpi optimis masuk pildun tepat januari bangun mimpioh mimpi segera pecat patrick bangun mimpi
"​ @gatulrembo705 ga ada gunanya bro, bahkan emyu pun yang sudah ganti pelatih beberapa kali tetep sama aja😔",guna emyu ganti pelatih kali tetep
"Mendukung itu kalo sudah lolos saja,sudah banyak sekali timnas menyakiti rakyat yg suka timnas. Sekarang rubah cara berfikir kita dukung kalo jelas sudah lolos.",dukung kalo lolos sajasudah timnas sakit rakyat suka timnas rubah berfikir dukung kalo lolos
"​ @AgusTriwibowo-h9y Benar sekali, saya sangat mendukung timnas klo berhasil lolos, tpi klo gagal ga perlu lebay didukung diberi NT aja. Soalnya dari tahun ke tahun sama aja terus berulang-ulang, Indonesia ga masuk pildun 😂",dukung timnas hasil lolos gagal lebay dukung nt berulangulang indonesia masuk pildun
@AgusTriwibowo-h9y seenggaknya hargai perjuangan pemain cok.. jgn menghujat,enggak harga juang pemain cok jgn hujat
preeeettttt,preeeettttt
Berterima kasihlah kepada pelatih Patrick Kluivert karena berkat beliau Indonesia bisa sampai sejauh ini dan makin go Internasional. CATATAN: TARGET NYA PAK ET JELAS BAHWA INDONESIA LOLOS KE PIALA DUNIA 2030. BUKAN 2026.,terima kasih pelatih patrick kluivert berkat beliau indonesia go internasional catat target et indonesia lolos piala dunia
​@septiansyahwibowomana linknya ET bilang gitu,linknya et bilang gitu
"Anak kemaren sore, gak liat loe dia ngomong waktu pecat sty dan mengangkat PK ​@septiansyahwibowo",anak kemaren sore liat loe ngomong pecat sty angkat pk
"Cair bro, mantan penjudikan😂",cair mantan judi
"Mereka pelatih & pemain profesional,,, track record itu penting....klo gagal mestinya kecewa juga,,,, Secara umum permainan Indonesia terutama babak 1 sdh bagus... Jangan samakan lawan yg lain, ini round 4 tentu lawan juga meningkat... Lawan Irak kita sebenarnya mendominasi,, kurang beruntung saja,, see you, semoga 2030 masuk pildun..aamiin",pelatih pemain profesional track record pentingklo gagal mesti kecewa main indonesia babak sdh bagus sama lawan round lawan tingkat lawan irak dominasi untung see you moga masuk pildunaamiin
kasihan pk..di hujat seluruh indinesia,kasihan pkdi hujat indinesia
menang parlay dia megang irak,menang parlay megang irak
Nepal,nepal
"Satu kata ""CAIRrrr """,cairrrr
Siapa tau yaa Kluivert dpt $5000.. 😅,yaa kluivert dpt
​ @nano_sensei lebih bro menang+++😅😅,menang
Berbulan2 menunggu sya kira makin bagus malah nolll,bulan tunggu sya bagus nolll
Alhamdulillah yg penting pemain gaji besar dan semakin kaya raya.kalau menang itu bonus,alhamdulillah pemain gaji kaya rayakalau menang bonus
coba lihat pernahkah PK memberikan kemenangan melalui permainan apik kecuali lawan Taiwan karena lawan Taiwan tanpa pelatihpun pasti menang,coba lihat pernah pk menang main apik kecuali lawan taiwan lawan taiwan latih menang
ngawur,ngawur
Cairrrrrr parlay,cairrrrrr parlay
Patrick menang double menang taruhan judol dan menang bayaran besar jadi pelatih negeri Konoha 😅😅,patrick menang double menang taruh judol menang bayar pelatih negeri konoha
CAIR🎉,cair
Dapat 1 kapal pesiar dari king Arab 😂😂😂,kapal pesiar king arab
Gak usah nyalahin brooo ini udah capaian terbaik Indonesia. Minta menang trus berteman lah dengan dewa zeus😂😂.,nyalahin brooo udah capai baik indonesia menang teman dewa zeus
Patrick Kluivert Air mata buaya gues,patrick kluivert air mata buaya gues
Betul sekali... dari gestur nya juga seolah olah sedang bersandiwara 😂,gestur olah sandiwara
"Wajar bro mantan bandar judikan, udah pasti nangis bahagia karna ada yg cair juga😂",wajar mantan bandar judi udah nang bahagia cair
"​ @khorimaulana1416 Yoi ntar balik dapat lagi insentif dari si Erick Thohir,cari lah jejak si Erick Thohir di setiap jabatannya, apalagi BUMN 😅 Paham lah pasti !",yoi ntar insentif si erick thohircari jejak si erick thohir jabat bumn paham
Hidup kulivert anda pelatih yg sungguh luar biasa😮,hidup kulivert pelatih sungguh
