komentar,komentar_bersih
Suda bagus mainya cuman memang belum rezkinya..indonesia tetap d hati,suda bagus mai cuman rezkinyaindonesia hati
Yang sakit hati itu karena harapan mereka sendiri dan ekspetasi yg terlalu tinggi. Tanpa sadar diri dan bersikap realistis aja belum waktunya masuk pildun.,sakit hati harap ekspetasi sadar sikap realistis masuk pildun
"kambing hitamnya masa pas muka kluivert sii, parah nih jujur bgt wkwkkw",kambing hitam muka kluivert sii parah jujur wkwkkw
Kayaknya nih ＰＵ𝙇𝘼𝙐𝙒𝙄𝙉 lebih viral dari gosip artis minggu ini.,kayak viral gosip artis minggu
"Yang bisa disyukuri dari Kluivert cuma 1, bisa bikin pemain grade A seperti Emil, James, Joey mau dinaturalisasi",syukur kluivert bikin pemain grade emil james joey naturalisasi
"Skit bgt liat tom ma verdonk sudah memberi segalanya eh PK malah main""",skit liat tom ma verdonk pk main
Rakyat pencinta timnasional brsabar full mau digimana pun ikut.😢 Ke sana ikut sini ikut dari awal brsma2. Lah ini jelas2 sty bawa program prubahan malah diturunin tngh jln 🤦‍♂️ Tega bgt sih Tega,rakyat cinta timnasional brsabar full digimana brsma sty bawa program prubahan diturunin tngh jln tega tega
Itulah akibat mngganti pelatih di tegah jalan shrusnya mnunggu hingga hasilnya kliatan baru ambil keputusan utk mmecat pltih..,akibat mngganti pelatih tegah jalan shrusnya mnunggu hasil kliatan ambil putus mmecat pltih
"Erik tohir dimna kamu, kok dirimu gak nonggol di tv dan media jangan ngumput dong.. Tangung jawab oii.. Ingat apa yg dulu kau ucap di konfrensi pers",erik tohir dimna diri nonggol tv media ngumput tangung oii kau konfrensi pers
Udalah ngapain ngarep masuk piala dunia mimpi Piala asia dulu minimal juara jangan ngarep piala dunia kalian semua !!,uda ngapain ngarep masuk piala dunia mimpi piala asia minimal juara ngarep piala dunia
Negara ini sepertinya akan seterusnya begini jika petinggi pejabat nya gini gini aja....,negara petinggi jabat gin gin
NYESEK BAT DAH :(,nyesek bat dah
Ye Emang Ini Kesalahan & Tsnggung Jawab Beliau Sepenuhnye Dari Ati Kan.,ye emang salah tsnggung beliau sepenuhnye ati
Gus Dur duluh perna bicara indonesia lolos ke piala dunia masi lama,gus dur duluh perna bicara indonesia lolos piala dunia mas
"Dah ya kawan2,cukup main king-kingan nya,kita balik lagi sama kawan2 lama asean kita.",dah ya kawan main kingking nyakita kawan asean
"Mari kita jujur saja,walaupun lolos pildun 2026,kita hanya akan jadi penggembira.mari kita berbenah dan berproses,di mulai dangan menjadi raja di asia tenggara,asia selanjut nya piala dunia.bravo timnas indonesia.",mari jujur sajawalaupun lolos pildun penggembiramari benah berprosesdi dang raja asia tenggaraasia lanjut piala duniabravo timnas indonesia
"Timnas sudah berada dijalur yg tepat..,hanya saja belum beruntung.,ini bukan sebuah kegagalan namun ini merupakan awal kejayaan di masa mendatang untuk sepakbola indonesia. Tinggal perbaiki yg perlu diperbaiki.,jangan juga saling menyalahkan dan hanya berprasangka buruk terhadap presiden.,pelatih dan pemain.",timnas jalur tepathanya beruntungini gagal jaya sepakbola indonesia tinggal baik diperbaikijangan salah prasangka buruk presidenpelatih pemain
"gua subuh2 nangis kejer, sampe istri kebangun ...:face-purple-crying:",subuh nang kejer sampe istri bangun facepurplecrying
"Jujur... Selama ini TIMNAS INDONESIA SELALU JADI MAINAN NEGARA TETANGGA, BUKA MATA, setelah di Racik dari Nol oleh COACH SHIN TAE YEOUNG...Timnas tidak lagi di Pecundangi, lawan Negara manapun dari Asia & Luar Asia, TIMNAS INDONESIA SELALU SPARTAN FIGHT.. Keyakinan menang atau DRAW selalu ADA. ❤❤❤",jujur timnas indonesia main negara tetangga buka mata racik nol coach shin tae yeoungtimnas cundang lawan negara mana asia asia timnas indonesia spartan fight yakin menang draw
Harusnya sty yg menyelesaikan kualifika apapun hasilnya,sty selesai kualifika apa hasil
Gua yakin 2030 indonesia gak bakalan bisa sejauh ini😅,indonesia
Tetapi Apapun Itu Saya Pribadi Tetap Mengapresiasi Setinggi Langit Untuk Para Skuad Keturunan Timnas Senior Ibu Pertiwi Yang Telah Berjuang Sekuat Tenaga Hingga Titik Darah Penghabisan Walaupun Hasilnya Sangat Sangat Sangat Menyedihkan Dikarenakan Kesalahan Kita Sendiri Dalam Memilih Pelatih Penerus Coach Shin Drngan Pelatih Negeri Kincir Angin Yang Nol Gelar & Prestasi Seperti Lord Kluivert Ya Sudahlah Kita Ikhlaskan Saja Mimpi Besar Piala Dunia 2026 Ini Dengan Lapang Dada Dan Rendah Hati😢😢😢.,apa pribadi apresiasi langit skuad turun timnas senior pertiwi juang kuat tenaga titik darah habis hasil sedih salah pilih pelatih terus coach shin drngan pelatih negeri kincir angin nol gelar prestasi lord kluivert ya ikhlas mimpi piala dunia lapang dada rendah hati
udah ya main king king kang kungnya wkwkw 😂😂😂😂,udah ya main king king kang kung wkwkw
Negara BRICS sebaiknya bikin Pildun tandingan. Lemayan lah buat jaga skill kaki. Ketimbang cuma jadi turis di Amrik. 😶🥺🙈💥🌀,negara brics bikin pildun tanding layan jaga skill kaki ketimbang turis amrik
"Selama masih ada Termul2 berkeliaran di semua lini hingga ke sepakbola,,negeri ini akan amburadul..",termul liar lini sepakbolanegeri amburadul
"Ganti pelatih justru ekspektasi nya lolos pildun, namun mafia ngerjain netijen indo",ganti pelatih ekspektasi lolos pildun mafia ngerjain netijen indo
Jangan berkecil hati saudaraku masih ada piala chiki😂😂😂,kecil hati saudara piala chiki
Setelah ini timnas balik ke setelan pabrik,timnas setel pabrik
"Seperti biasa,jago di awal ,dan pertandingan akhirnya zonk😅...tuhan punya cerita..",biasajago tanding zonktuhan cerita
EXCO wajib jadi warga sipil di pinggir kali,exco wajib warga sipil pinggir kali
Kesalahan nya Menganti pelatih secara tiba-tiba,salah anti pelatih tibatiba
"Kesannya seperti tiap pentas Pildun Indonesia selalu berhasil ke pildun, dan untuk kali ini Indonesia gagal. 😅",kesan pentas pildun indonesia hasil pildun kali indonesia gagal
"Kegagalan timnas Indonesia gambaran ketika Indonesia mau maju maka bakal ada orang-orang ingin mengundurkan kemajuan negara, dan orang-orang nya ialah orang Indonesia sendiri",gagal timnas indonesia gambar indonesia maju orangorang undur maju negara orangorang orang indonesia
Mending lolos lah daripada gak pernah lolos sama sekali sampai ratusan tahun kedepan,mending lolos lolos ratus depan
Pake pemain naturalisasi tetep aja gak ada perubahan,pake pemain naturalisasi tetep ubah
"kesannya gimana?, emg dari dulu pernah se deket itu sama pildun?, dari dulu cuma bisa lolos ke round 2 doang",kesan gimana emg deket pildun lolos round doang
