komentar,komentar_bersih
"Saran penggunaan ai tidak usah terlalu banyak apalagi kurng bgt hasil gerakannya, jadinya kualitas konten jdi menurun",saran guna ai kurng hasil gera kualitas konten turun
"akibat kepelatihan petrick jadi gatot ke pildun 2026,coba sty ga digantikan sama insyaallah bisa lolos ke pildun 2026",akibat latih petrick gatot pildun coba sty ganti insyaallah lolos pildun
Arya dan erick harus di evaluasi,arya erick evaluasi
Mnangis kau indo 😢,mnangis kau indo
"Pemain pada keseporter timnas lah pelatih pada duduk manis dibangku cadang, wajib out semua sih tuh gerbong pk",pemain keseporter timnas pelatih duduk manis bang cadang wajib out tuh gerbong pk
Tiap liat namanya P͟U͟L͟A͟U͟W͟I͟N gue langsung pengen tau tapi takut juga 😭,liat nama pulauwin langsung ken takut
"Dulu sty di hujat sekarang giliran Patrick yg dihujat, emang lawak Netizen 😂",sty hujat gilir patrick hujat emang lawak netizen
Kmu min yg nyuruh masang beckham kmren di prediksi lin up..,kmu nyuruh masang beckham kmren prediksi lin up
Mafia ; cair cair 🤑🤑🤑,mafia cair cair
Piala Asia 2027 jangan sampai ambil pemain lokal. Ruwet ruwet.. Kita harus total diaspora klo ingin prestasi di Asia 2027.,piala asia ambil pemain lokal ruwet ruwet total diaspora prestasi asia
Kalaupun sty di kasih kesempatan dan ga digantikan mungkin beda cerita di round 4 ini mungkin bisa saja indo menang lawan arab dan imbang lawan irak bisa (menang juga) mungkin Indonesia lolos,sty kasih sempat ganti beda cerita round indo menang lawan arab imbang lawan irak menang indonesia lolos
"dulu sebelum sty pelatih dance idol grup itu datang aff itu penting suporter banyak datang bahkan u 16 juga ful suporter sty datang aff tidak penting, fans sty sering bilang ngapain piala ciki doang sumpah aff itu seru gak penting apa sty gak mampu mengalahkan thai land viet nam",sty pelatih dance idol grup aff suporter ful suporter sty aff fans sty bilang ngapain piala cik doang sumpah aff seru sty kalah thai land viet nam
Mau sampe 1juta tahun juga ga bakal maju kalo masih banyak mafia di PSSI.,sampe juta maju kalo mafia pssi
