komentar,komentar_bersih
Ya...karna.sty...udah ada di hati...❤❤❤,yakarnastyudah hati
"Tahun 2027 kualifikasi Piala Dunia untuk 2030 sudah dibuka kembali. Kita cuma vakum 1,5 tahun doang kok. Selama kualifikasi berlangsung, nanti tidak terasa sudah di ujung 2029. Kita masih punya banyak waktu untuk perbaikan supaya lolos. SEMANGAT SEMUANYA 🎉",kualifikasi piala dunia buka vakum doang kualifikasi ujung baik lolos semangat
"​ @manyage-c5h Begini aja terus, sampai Lebaran Capibara..",lebaran capibara
"Makjulkan, dan ganti angkat abah kite!",makjulkan ganti angkat abah kite
"Setuju bngett, buat apa kmrin ganti pelatih kalo hasilnya sama aja! Minimal kalo ganti pelatih kmrin tu pelatih yang cv nya bagusan lah daripada sty! Emng rada² ini erick thohir dan antek²nya",tuju bngett kmrin ganti pelatih kalo hasil minimal kalo ganti pelatih kmrin tu pelatih cv bagus sty emng rada erick thohir antek
Lo keren bang 👍🏻,keren bang
#REVOLUSIPSSI,revolusipssi
"GUE SIH GABAKAL MILIH GAGAL SAMA SIAPAPUN, BAKAL KECEWA SIAPAPUN PELATIHNYA, INTINYA INI BUKAN HANYA KARENA PELATIH, TAPI EMANG MAFIA AFC YANG JELAS MEMISAHKAN QATAR DAN ARAB SATU GRUP DGN MENENTUKAN SM2 POT 1 WKWK LAGANYA DI ARAB KEMUDIAN WASITNYA JD LEBIH CONDONG KE NEGARA ARAB/TIMUR TENGAH. EMG AFC GAPENGEN INDO MENANG SIH, LIAT AJA ET UDAH SURATIN SOAL, TAPI KEJADIAN LAGI WASIT SEPERTI SAAT LAWAN BAHRAIN WKWWKK",gabakal milih gagal kecewa latih inti pelatih emang mafia afc pisah qatar arab grup tentu pot laga arab wasit condong negara arabtimur emg afc gapengen indo menang liat et udah suratin jadi wasit lawan bahrain wkwwkk
Lebih tepatnya gagal tapi proses jangka panjang dibanding gagal tapi proses jangka pendek. Jangka panjangnya itu shin tae yong dan jangka pendeknya itu patrick kluivert,tepat gagal proses jangka banding gagal proses jangka pendek jangka panjang shin tae yong jangka pendek patrick kluivert
"@yondanurcahyopranata YAP, KITA TERIMAKASIH BNYK SM STY UDAH BISA BKIN KITA LOLOS ROUND 3, PEMBINAANYA SEJAK BEBERAPA THN TERAKHIR LUAR BIASA, DAN KALA ITU SUPOTER BLG STY UDAH MENTOK, MAKANYA LAHIR TAGAR STYOUT SETELAH KALAH DR CHINA, SKRG PK KALAH DR ARAB DAN IRAQ LAHIR TAGAR PKOUT, HAL WAJAR ITU NAMANYA KECEWA. DAN ITU SELALU TERJADI. TAPI GBS TUH MEMBANDINGKAN PK SM STY, SECARA DURASI KEPELATIHAN AJA BEDA. TAPI FINE KALO PK TUJUANNYA DIREKRUT CUMA BUAT LOLOSIN INDO K WC, YAUDAH MINTA AJA MUNDUR SESUAI KONTRAK. TAPI KALO ALASANNYA LAIN ? MISALNYA HADIRNYA PK UNTUK BAWA BYK PEMAIN DIASPORA INDO KEDEPANNYA KRN STRATEGI DIASPORA INI TERBUKTI BERHASIL BAWA INDO SMPE KUALIFIKASI R4? JADI UDAHLAH KASIH WAKTU KALO KATA GUE BUAT PIALA ASIA 2027, KALOPUN MAKSA GANTI AJA PELATIHNYA SAMA ALEX PASTOOR YG CV KEPELATIHANNYA TERBUKTI BAWA AJAX JADI JUARA ERADIVISI.",yap terimakasih bnyk sty udah bkin lolos round pembinaanya thn supoter blg sty udah mentok lahir tagar styout kalah china skrg pk kalah arab iraq lahir tagar pkout wajar nama kecewa gbs tuh banding pk sty durasi latih beda fine kalo pk tuju rekrut lolosin indo wc yaudah mundur sesuai kontrak kalo alas hadir pk bawa byk pemain diaspora indo depan strategi diaspora bukti hasil bawa indo smpe kualifikasi udahlah kasih kalo piala asia kalo maksa ganti latih alex pastoor cv latih bukti bawa ajax juara eradivisi
"orang2 titipan mulyono emang sukanya ngerusak, si erik waktu jadi presiden inter aja sukses bawa timnya degradasi, malah disiruh urus sepak bola haduhh",orang titip mulyono emang suka ngerusak si erik presiden inter sukses bawa tim degradasi disiruh urus sepak bola haduhh
Setuju karena Sty lebih banyak berkontribusi,tuju sty kontribusi
"Kalau ET mundur, terus yg pantas buat gantiin ET siapa ?",et mundur gantiin et
@reggyramadhon9499 STY KEMARIN DIDATENGIN SAMA IWAN BULE,sty kemarin didatengin iwan bule
​ @reggyramadhon9499 RATU TISHA.,ratu tisha
Best comment,best comment
Setuju bgt,tuju
Erik tohir lebih mendengarkan towel ketimbang fans timnas,erik tohir dengar towel ketimbang fans timnas
Pak et lebih dengerin towel ketimbang fans timnas,et dengerin towel ketimbang fans timnas
"Arab aja mecat mancini demi si renard bisa balik..tolong pecat kluivert dan kembalikan sty..pelatih ini bukan cuma soal kemampuannya, tapi juga soal kecocokannya dengan para pemain di tim..indonesia era sty dikenal dengan pertahanan yg tangguh..tapi di era kluivert, sudah berapa kali kebobolan dalam hanya berapa match? Lucu melihat skuad yg diisi para pemain bertahan tangguh tapi malah dipaksa dalam skema full menyerang..ibarat punya kalung emas malah dipakai buat tali jemuran..kocak",arab mecat mancini si renard baliktolong pecat kluivert kembali stypelatih mampu cocok pemain timindonesia era sty kenal tahan tangguhtapi era kluivert kali bobol match lucu skuad isi pemain tahan tangguh paksa skema full menyerangibarat kalung emas pakai tali jemurankocak
Pasti banyak ternak Tohir disini😂,ternak tohir
Bner...mending kalah bareng sty daripada harus masuk round 5 bareng petrick .,bnermending kalah bareng sty masuk round bareng petrick
Siapa pun pelatih dan pemainnya ga bakal masuk piala dunia kalo federasi nya masih boborok,pelatih main masuk piala dunia kalo federasi boborok
Halah nantik bilang kenapa ga ganti pelatih aja udh kek gini masih ditahan,halah nantik bilang ganti pelatih udh gin tahan
Betul sya juga setuju,sya tuju
Ternak Tayong kali😂,ternak tayong kali
"Jgn terlalu jujur bung Ferry, takutnya sibotak nonton dan nanti di bego²in sama sibotak, sibotak yang paling depan minta ganti sty di ganti sama pelatih Belanda, soalnya filosofi pemain kita skrg paling cocok sama pelatih Belanda katanya... Skrg mungkin dia Uda lepas tangan... 😂😂",jgn jujur ferry takut sibotak nonton begoin sibotak sibotak ganti sty ganti pelatih belanda filosofi pemain skrg cocok pelatih belanda skrg uda lepas tangan
Stuju itu isi hati sy dr awal,stuju isi hati sy
"Urgensinya apa sih ganti pelatih kemarin, katanya memperbesar kemungkinan lolos. Tapi setelah ada indikasi kegagalan ramai2 bilang nggak ada target lolos, apa2an itu",urgensi ganti pelatih kemarin besar lolos indikasi gagal ramai bilang target lolos an
Kasih surat terbuka aja ke pak menpora baru buat bantu evaluasi pssi sebagai perwakilan negara atas nama rakyat.. Minta pertanggung jawaban.. Pura² tdk tau aja,kasih surat buka menpora bantu evaluasi pssi wakil negara nama rakyat tanggung pura
Betul sekali bang,bang
fomo fans karbit mau menang doang,fomo fans karbit menang doang
Sty lagi gag di Korea Selatan tuh,sty gag korea selatan tuh
"kalo ajah lawan china di round 3 away gak kalah, & lawan bahrain away juga menang, kita udah lolos",kalo ajah lawan china round away kalah lawan bahrain away menang udah lolos
"Liga nya aja ga berkualitas, mimpi main di pildun😂 Rubah mindsetnya kalau mau maju. Belajar ke luar gmn caranya membangun akademi yang bagus biar bisa mencetak pemain berkualitas. Semua sukanya yang instan sih, Bikin klub aja instan, akuisisi klub yang udh ada ganti namanya, beres. 😂",liga kualitas mimpi main pildun rubah mindsetnya maju ajar gmn bangun akademi bagus biar cetak pemain kualitas suka instan bikin klub instan akuisisi klub udh ganti nama beres
​ @Davin9898 ga nyambung euy,nyambung euy
"Ngapain harus ada yang mundur bang? Kya kita langganan masuk pildun aja 😂 Kalau kita udh langganan masuk pildun, terus sekarang ga lolos bolehlah pada mundur.",ngapain mundur bang kya langgan masuk pildun udh langgan masuk pildun lolos mundur
Kalau mau maju ya reformasi sepakbola Indonesia. Kalau cuma modal Naturalisasi terus 2030 masuk pildun? MIMPI 😂,maju ya reformasi sepakbola indonesia modal naturalisasi masuk pildun mimpi
Dari awal juga saya ga percaya bakalan sampe ke pildun . Dari pas di latih sty juga . Ga mungkin timur tengah gagal bos kualifikasi . Kalo timur tengah ga lolos pildunjuga rugi 😂,percaya sampe pildun latih sty timur gagal bos kualifikasi kalo timur lolos pildunjuga rugi
setuju bangtet,tuju bangtet
Pak SUMARDJI - jadi ketua PSSI JEJE Asisten STY - jadi pelatih TIMNAS,sumardji ketua pssi jeje asisten sty pelatih timnas
