komentar,komentar_bersih
"Setuju, seenggaknya timnas era STY permainannya cakep, lebih enak dilihat.",tuju enggak timnas era sty main cakep enak
Saya bukan pendukung STY tapi saya rasa selama masih STY yg pegang ada kemungkinan kita lolos karna STY sudah paham betul karakter 2 pemain lawan kita,dukung sty sty pegang lolos sty paham karakter pemain lawan
taktik total bingung,taktik total bingung
yg harus di salahkan jelas PSSI,salah pssi
"Komen terngaco😂 orang2 kek gini itu ampas banget di dunia sepak bola, mendukung sebuah tim tapi ketika kalah malah menyudutkan dan menyalahkan satu belah pihak😂, noh si papa lu 10 match cmn menang 2x ujungnya dipecat😂",komen terngaco orang gin ampas dunia sepak bola dukung tim kalah sudut salah belah noh si papa match cmn menang ujung pecat
"strategi apa ini PK main muter"" dari tengah ke belakang, masa pemain bertahan di suruh ngatur ritme permainan di paksa lama megang bola 😢",strategi pk main muter pemain tahan suruh ngatur ritme main paksa megang bola
"Barusan dipecat Ulsan.,.... Emangnya kita pemungut sampah....",barusan pecat ulsan emang mungut sampah
YESSSSSS BETULLL,yessssss betulll
Gk ada alasan buat PSSI dan mempora. TANGGUNG JAWAB donk...!!,alas pssi pora tanggung donk
Karena Sty berjuang. Dari nol. Saya juga rela,sty juang nol rela
TEMPLATE KOCAKK,template kocakk
semua orang mungkin gitu bang,orang gitu bang
Lebih ngenakin taktiknya. Gak tau kenapa dari ten hag ke kluivert saya melihatnya gk da taktik. Jadi bkin trauma pelatih belanda.,ngenakin taktik ten hag kluivert da taktik bkin trauma pelatih belanda
Pemain2 ini luar biasa… mereka bisa ke piala dunia (sebenarnya)… mereka sudah membuktikan di tangan pelatih yang tepat mereka bisa berjuang mengeluarkan potensi terbaik mereka dan MENANG… di tangan pelatih sekarang meraka juga berjuang luar biasa… tetapi apa yang ditakutkan akhirnya terjadi ketika pelatih yang baru (ternyata) lebih mengutamakan filosofi daripada hasil akhir… menempatkan gaya permainan menyerang sebagai prioritas dibandingkan mimpi 300 juta rakyat indonesia… pelatih yang dipilih federasi untuk menggantikan pelatih lama yang sudah terbukti bisa memaksimalkan potensi pemain sambil menjaga prioritas peluang timnas ke piala dunia…,pemain piala dunia bukti tangan pelatih juang keluar potensi baik menang tangan pelatih raka juang takut pelatih utama filosofi hasil tempat gaya main serang prioritas banding mimpi juta rakyat indonesia pelatih pilih federasi ganti pelatih bukti maksimal potensi pemain jaga prioritas peluang timnas piala dunia
"Hadeh...katanya mau perbaikan, gw setuju ke gagalan ini harus mengganti sang pelatih, tapi harus fair juga donk, masa sty kalah 3x berturut2 sampe gagal olimpiade, trus dinganti, trus dongkolnya sampe sekarang, move on donk.",hadehkatanya baik tuju gagal ganti sang pelatih fair donk sty kalah sampe gagal olimpiade dinganti dongkol sampe move on donk
Sahronikan towel. Dia awal kehancuran ini,sahronikan towel hancur
Betooooollll❤❤,betooooollll
si tohir harus di buang dari pssi karena menghamburkan uang pajak kita semua untuk bayar mahal pemain asing kulit putih mata biru tinggi dan hidung non pesek,si tohir buang pssi hambur uang pajak bayar mahal pemain asing kulit putih mata biru hidung non pesek
Diajak main emang?,ajak main emang
Komentar Lo kena di hati gua bang 😂 gua setuju ma Lo...,komentar kena hati bang tuju ma
"Ya nggak papa ada Asnawi tapi yg penting lolos, , Mau 1000 : 0 keq, kaloq gw itu nggak PP, yg penting lolos dulu, emang gampang pa lolos pildun..??",ya papa asnawi lolos keq kaloq pp lolos emang gampang pa lolos pildun
Yep,yep
yoi,yoi
Iyalah ..lbih enakan ma sty..ada gregetnya n semangatnya,iya lbih enak ma styada gregetnya semangat
nnti malah dihina sama towel cs 7 hari 7 malam,nnti hina towel cs malam
Ayolah timnas kita udah banyak kemajuan. Boleh aja mimpi pildun tapi ayolah bangun. Wlpun masuk pildun kita hanya akan jd lumbung gol. Lbh baik kita perbaiki lagi semua. TP JGN PERNAH BERPIKIR PAKE STY LAGI. JAUH LBH BAIK LUIS MILLA,ayo timnas udah maju mimpi pildun ayo bangun wlpun masuk pildun lumbung gol lbh baik jgn pikir pake sty lbh luis milla
