komentar,komentar_bersih
pelatih aaaaaasssemboh wes,pelatih aaaaaasssemboh wes
"Lihat mimik si pelatih judol itu, mana ada rasa bersalah....out... out 😠",lihat mimik si pelatih judol bersalahout out
"Taktik strategi pelatih kurang bagus pertahannya hnya mikirin serangan,",taktik strategi pelatih bagus tahan hnya mikirin serang
"Wasit bnyk kekurangan, pemain belakang sering membuat kelonggaran pemain depan irak tuk shoot",wasit bnyk kurang pemain longgar pemain irak tuk shoot
PEMAIN TIMNAS INDONESIA SUDAH BAGUS TAU TAKTIK DAN STAMINA JUGA SMART...YANG KURANG CUMA SATU YAITU PATRIK KLIPET KARENA KURANG TANGGAP DAN KURANG GERCEP MELIHAT MOMENTUM PENTING (WAJARLAH LAH INDONESIA DAPET PELATIH BIASA BIASA AJA KARENA PELATIH TITIPAN DARI BELANDA ALIAS BARTER DENGAN NATURALISASI WARGANYA) 😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅😅 DTAMBAH ERIK DOHIR KEPINCUT JADI MENPORA ABISLAH SEPAK BOLA INDONESIA MAHAL MAHAL NATURALISASI WARGA TAPI KANDAS DITENGAH KEPENTINGAN....,pemain timnas indonesia bagus taktik stamina smartyang patrik klipet tanggap gercep momentum wajar indonesia dapet pelatih pelatih titip belanda alias barter naturalisasi warga dtambah erik dohir kepincut menpora abis sepak bola indonesia mahal mahal naturalisasi warga kandas tengah penting
Masuk lagi sty udah.,masuk sty udah
"Wasit,, tarkam anti, VAR",wasit tarkam anti var
Akibat ganti pelatih di tengah jalan,akibat ganti pelatih jalan
"Tidak ada yang perlu di salahkan, tanyakan saja pada dukun dan peramal yang bergoyang",salah dukun amal goyang
Sepertinya Indonesia masih belum layak masuk pildun tipis tipis setidaknya naik kelas gpp,indonesia layak masuk pildun tipis tipis kelas gpp
Makanya jgn main-main dgn peluang yg ada. Salah langkah gagal total yang didapatkan. Heran saja dpt dua pelatih asing sama-sama kesannya suka coba-coba bongkar pasang di saat-saat pertandingan penting.,jgn mainmain peluang salah langkah gagal total dapat heran dpt pelatih asing samasama kesan suka cobacoba bongkar pasang saatsaat tanding
petrik sang legenda barcelona 😂,trik sang legenda barcelona
"Karma mecat sty ninggalin marselino, tangisan kluivert tangisan bahagia,,karena menggagalkan timnas lolos piala dunia",karma mecat sty ninggalin marselino tangis kluivert tangis bahagiakarena gagal timnas lolos piala dunia
paik....paok..paok..,paikpaokpaok
Pelatih kurang jeli dan cerdik☝️☝️☝️,pelatih jeli cerdik
"Gara2 towel Justin, Patrik masuk timnas dan menggantikan sty.",gara towel justin patrik masuk timnas ganti sty
"Cuma mau tanya , ada yang liat Alex pastoor",liat alex pastoor
Mblenger dengan kata-kata semangat. Tegakan kepala Jalan masih panjang. Preett Sedangkan keputusan blunder oleh petinggi PSSI tidak di iringi kemajuan buat timnas Harusnya kalian yang berbenah PSSI 😅😅,mblenger katakata semangat tega kepala jalan preett putus blunder petinggi pssi iring maju timnas benah pssi
bbrp tahun kdpn... ayoooooo lebih semangat lgi... lebih berani lg ambil tindakan... krn sejauh yg saya liat... timnas kurang pede ambil serangan... kurang pede jg tika tikinya.. coba teknik passing jauh... adu sprint.... hal seperti itu 1-2 kali di lakukan ternyata mempan... pas lawan irak,bbrp kdpn ayoooooo semangat lgi berani lg ambil tindak liat timnas pede ambil serang pede jg tika tik coba teknik passing adu sprint kali laku mempan lawan irak
"Pemain bagus, pelatih Japan ato lokal 🔥",pemain bagus pelatih japan ato lokal
"Timnas didesain oleh AFC untuk tidak Lolos. Seolah"" Wasit Fair, ketika di menit akhir",timnas desain afc lolos wasit fair menit
Kasihan sama pemain kita,kasihan pemain
Tangiiiissss seluruh rakyatttt...mimpi di rengguutttt..orang2 yg bertanggung jawabbbbb...,tangiiiissss rakyattttmimpi rengguuttttorang tanggung jawabbbbb
Semangat timnas yg penting kalian sudah berusaha dengan keras mngkin emang blm saat timnas kita masuk piala Dunia di samping kontro versi wasit CHINA yg membagongkan,semangat timnas usaha keras mngkin emang blm timnas masuk piala dunia samping kontro versi wasit china bagong
Uda masih bayak waktu di piala dunia Yang akan datang lagi kota akan lebih kuat,uda bayak piala dunia kota kuat
dari dulu derita tiada tara😂 selalu dikalahkan sengaja indo tidak masuk piala dunia,derita tiada tara kalah sengaja indo masuk piala dunia
ET DAN PK PEAK HARUS TANGGUNG JAWAB.,et pk peak tanggung
"Pengen komentar pedas pada pelatih timnas, sepedas pedasnya tapi saya takutt😢😢😢😢😢,,,,",ken komentar pedas pelatih timnas sepedas pedas takutt
Ada 1 pemain buat bisa memperkuat indonesia. Yuran Fernandes cocok sekali di dutin sama idzes loby biar masuk warga indonesia.dan pelatih Tavarez,pemain kuat indonesia yuran fernandes cocok dutin idzes loby biar masuk warga indonesiadan pelatih tavarez
"coba saja tim ini diturunkan saat melawan Arab Saudi pasti ceritanya berbeda, dan disaat melawan Irak ini mereka bermain pasti lebih enjoy lagi itu fakta dari peluang peluang yang ada",coba tim turun lawan arab saudi cerita beda saat lawan irak main enjoy fakta peluang peluang
Belum ada sejarah tim nas kkita sebagus ini selamat timnas kalah ggp tp kalian sdh sangat bagus kita masih butuh tambabahan pemain gelandang.,sejarah tim nas kkita bagus selamat timnas kalah ggp sdh bagus butuh tambabahan pemain gelandang
"Saat hasil undian Indonesia ketemu Arab Saudi sama Irak ada sedikit optimisme karena di laga sebelumnya Indonesia pernah imbang dan mengalahkan Arab Saudi sementara pertemuan terakhir dengan Irak saat Round 2 cuma kalah 1-2 dan itu dengan kondisi pemain masih belum seperti sekarang. Mark Klok masih jadi andalan dan Asnawi masih captain. Sejak itu tim ini meningkat cuma kalah sekali lawan China dan 2 kali lawan Jepang. Setelah kemenangan lawan Arab Saudi kalau STY tidak diganti ada kemungkinan imbang lagi lawan Australia. Setelah PK datang hasilnya hancur. Sejak ujicoba kemarin sudah pesimis pada round 4 Sedih buat beberapa pemain yang 4 tahun lagi belum tentu ada kesempatan lagi. Seperti Haye, sama Pelupessy yang sudah usia 30 tahun sekarang.",hasil undi indonesia ketemu arab saudi irak optimisme laga indonesia imbang kalah arab saudi temu irak round kalah kondisi pemain mark klok andal asnawi captain tim tingkat kalah lawan china kali lawan jepang menang lawan arab saudi sty ganti imbang lawan australia pk hasil hancur ujicoba kemarin pesimis round sedih pemain sempat haye pelupessy usia
"Ndak ada bisa dibanggakan bagi Saudi walaupun menang, krn tempatnya tidak fair (mainnya disaudi). Termasuk Irak, seharusnya timnas indonesia dapat finalty, wasitnya cuma beri kartu merah. FIFA setengah hati memberi perhatian ke Indonesia, semuanya settingan FIFA saja. Walau kalah tetap bangga dgn timnas Indonesia yg sudah bermain luar biasa, tdk seperti timnas indonesia sebelumnya. Timnas tetap dihati, is the besttt!!!!💪💪💪",ndak bangga saudi menang tempat fair main disaudi irak timnas indonesia finalty wasit kartu merah fifa hati perhati indonesia settingan fifa kalah bangga timnas indonesia main timnas indonesia timnas hati is the besttt
Orang2 ygtak bertanggung jawab,orang ygtak tanggung
"Ini laga penting, buat kedua tim.. Wasit,,, anda harusnya bersikap adil..bukan sok keras setelah game selesai",laga tim wasit sikap adilbukan sok keras game selesai
Shin tae yong❤❤❤,shin tae yong
"ikut bahagia atas kemenangan timnas Irak..... saya terbahak untuk kemenangan tim wasit dan wasit VAR..... kalian brilian, semoga Allah segera memberi azab yang nikmat pada kalian. Amin",bahagia menang timnas irak bahak menang tim wasit wasit var brilian moga allah azab nikmat amin
Jelas2 kalah kualitas & kreativitas,kalah kualitas kreativitas
Monitor VAR lagi rusak kah? Atau mereka ketiduran?,monitor var rusak kah tidur
TOWEL MENGHILANG DARI LANE,towel hilang lane
"Sudahlah, masih ada liga yang lebih rame di indo ini, yaitu liga tarkam.",liga rame indo liga tarkam
Bangga punya punggawa seperti saat ini.. Hanya kurang beruntung aja,bangga punggawa untung
"Dari awal round 4 timnas Indonesia sudah d kerjain... tempat pertandingan yg tidak netral,pilihan wasit yg tidak netral,rekoferi yg mini cuma 1 hari sedangkan Iran n arab Saudi 3 hari .....jelas AFC mafia",round timnas indonesia kerjain tanding netralpilihan wasit netralrekoferi mini iran arab saudi afc mafia
Towel mana towel sama si erik,towel towel si erik
