komentar,komentar_bersih
Bner ngpain sia2in pelatih yg sudah membangun dari awal sampai sejauh ini. Pecatt bintang laut pergi jauh2,bner ngpain sia in pelatih bangun pecatt bintang laut pergi
Sangat sangat setuju,tuju
Yab betul sekali bang,yab bang
Setuju gan Saya suku bgt kata2 ini 👍🏻👍🏻👍🏻,tuju gan suku
"2030 piala dunia berikutnya dan mungkin pemain keturunan udah pada gak mau di naturalisasi indo😂😂,kayak nya ini adalah prestasi terbaiknya timnas yang mungkin 10 atau 20 tahun kedepan baru bisa terulang kembali",piala dunia pemain turun udah naturalisasi indokayak prestasi baik timnas depan ulang
Mengcewakan pssi,mengcewakan pssi
Kluivert ga pernah melamar jadi pelatih timnas. STY ga niat juga mundur dari timnas. Erick thohir tuh tagih tanggung jawabnya atas keputusan nya.,kluivert lamar pelatih timnas sty niat mundur timnas erick thohir tuh tagih tanggung putus
Semua tidak ada yg instant..perlu proses...berharap terlalu besar pada pemain naturalisasi rata2 grade B kasta ke 2 eropa...proyek hight cost..hasil belum maksimal.,instantperlu prosesberharap pemain naturalisasi grade kasta eropaproyek hight costhasil maksimal
​ @husnitan1159 ketika dilatih STY proses semua berjalan dengan sangat baik... Ditengah jalan dipecat diganti langsung mulai dari awal lagi dan akhirnya mimpi rakyat Indonesia dikubur oleh PK cs. Terima kasih ET telah mengubur dalam² mimpi kami.,latih sty proses jalan tengah jalan pecat ganti langsung mimpi rakyat indonesia kubur pk cs terima kasih et kubur mimpi
"Harusnya gitu bang, sty masih stay dan dievaluasi saat timnas gagal lolos kualifikasi.",gitu bang sty stay evaluasi timnas gagal lolos kualifikasi
"bener bg, kecewa banget sama pelatih ini. pdhl STY ud byk kontribusi bersama timnas hadeh",bener bg kecewa pelatih pdhl sty ud byk kontribusi timnas hadeh
"Etdah bussett. Mau masuk piala dunia jalur instan ae kok, terlalu banyak tuntutan lu pada, minta A B C D segala. Nah, sekarang gagal lolos, artinya 2030 pemain udah tua-tua, belum tentu masih perform. Jadi dari mana nih Indonesia akan mencari pemain pengganti.. 😄😄 Sedangkan liga Indonesia terpuruk, infrastruktur club dan academy ngga bisa mencetak bibit unggul. #sadar diri anjeeng sedari awal 😂😂😂 Laporan keuangan pemegang saham club ngga pernah muncul ke publik. Dari mana masyarakat mau mengawal perkembangan sepakbola. Elu semu tuh bukan mendukung sepakbola Indonesia berkembang, elu semua tuh cuma mau hasil instan dengan cara instan. Sekarang udah begini, gagal.. Sementara Thailand, Vietnam, mereka masih bisa memproduksi bibit dari liganya. Sedangkan Indonesia?? 😂😂😂",etdah bussett masuk piala dunia jalur instan ae tuntut gagal lolos pemain udah tuatua perform indonesia cari pemain ganti liga indonesia puruk infrastruktur club academy ngga cetak bibit unggul sadar anjeeng dar lapor uang pegang saham club ngga muncul publik masyarakat awal kembang sepakbola elu semu tuh dukung sepakbola indonesia kembang elu tuh hasil instan instan udah gagal thailand vietnam produksi bibit liga indonesia
Saya sependapat...mending kalah bersama sty,sependapatmending kalah sty
Tenang bos ketua PSSI lagi di marahin sama menpora😂,tenang bos ketua pssi marahin menpora
PK misi sukses uang judi masuk kantong😅😂,pk misi sukses uang judi masuk kantong
SETUJU,tuju
Pecat Erick Thohir,pecat erick thohir
Sedihnya berasa kesini,sedih asa kesini
betullllllllllll,betullllllllllll
Lebis puas gagal sama STY😢😢,lebis puas gagal sty
Betul secara psikologi itu lebih ideal,psikologi ideal
IYAA LAGIII,iyaa lagiii
"Etdah bussett. 2030 pemain udah tua-tua, belm tentu masih perform. Sekarang udah begini, gagal.. Sementara Thailand, Vietnam, mereka masih bisa memproduksi bibit dari liganya. Sedangkan Indonesia, liganya bapuk, club konyol, training center seadanya, academy bobrok, hayooo looo 😂😂 Yang instan, selesainya juga cepet bro.. wkwkwk ""mamah tau sendiri, YANG ASLI TUH YANG ADA BADAKNYA"" (cuma intermezo, biar gk kaku, lanjut.. 👇) > Mau masuk piala dunia jalur instan ae kok, terlalu banyak tuntutan lu pada, minta A B C D segala. Nah, sekarang gagal lolos, artinya 2030 pemain udah tua-tua, belum tentu masih perform. Jadi dari mana nih Indonesia akan mencari pemain pengganti.. 😄😄 Sedangkan liga Indonesia terpuruk, infrastruktur club dan academy ngga bisa mencetak bibit unggul. #sadar diri anjeeng sedari awal 😂😂 Laporan keuangan pemegang saham club ngga pernah muncul ke publik. Dari mana masyarakat mau mengawal perkembangan sepakbola. Elu semu tuh bukan mendukung sepakbola Indonesia berkembang, elu semua tuh cuma mau hasil instan dengan cara instan.",etdah bussett pemain udah tuatua belm perform udah gagal thailand vietnam produksi bibit liga indonesia liga bapuk club konyol training center ada academy bobrok hayooo looo instan selesai cepet mamah asli tuh badak intermezo biar kaku masuk piala dunia jalur instan ae tuntut gagal lolos pemain udah tuatua perform indonesia cari pemain ganti liga indonesia puruk infrastruktur club academy ngga cetak bibit unggul sadar anjeeng dar lapor uang pegang saham club ngga muncul publik masyarakat awal kembang sepakbola elu semu tuh dukung sepakbola indonesia kembang elu tuh hasil instan instan
Iya setuju,iya tuju
"Sama, saya juga berpendapat demikian.",dapat
"Belum tentu gagal jika di latih sty, karna skema taktik sty itu luar biasa, dan se ingat saya salah sty hanya tidak memainkan eliano di beberapa permainan karna ga sesuai dengan taktik sty.",gagal latih sty skema taktik sty salah sty main eliano main sesuai taktik sty
Blunder memang ini et,blunder et
Setuju .... 🥹,tuju
Sepakat,sepakat
Pergantian pelatih di tengah sudah aneh...minim strategy di pertandingan awal,ganti pelatih anehminim strategy tanding
"kalau sama sama lalah udah mending sty aja, sty cuman butuh penyerang(ole) kayaknya udah komplit tuh timnas, ini malah di rombak ulang di akhir game, ibarat pengalaman jadi dokter tiba tiba disuruh jadi montir... 😅 cuman label ex barca doang ini bintang laut, belum tentu bisa jadi pelatih",lalah udah mending sty sty cuman butuh penyerangole kayak udah komplit tuh timnas rombak ulang game alam dokter suruh montir cuman label ex barca doang bintang laut pelatih
Setuju banget,tuju
