komentar,komentar_bersih
"Peluang masuk piala Dunia 7%, itu nyata",peluang masuk piala dunia nyata
"Timnas iraq kalo lawan indonesia, ketika mereka menang, mereka tidak terlalu merayakan kemenangan dengan berlebihan. respect sama Iraq",timnas iraq kalo lawan indonesia menang raya menang respect iraq
Harus diakui. TIMNAS GARUDA sudah progres sangat cepat. Usaha pasti sudah gila gilaan. Terima kasih kepada siapapun yg telah berkontribusi.,aku timnas garuda progres cepat usaha gila gila terima kasih kontribusi
Kenapa wasit tidak mau melihat VAR? Kenapa kenapa? Masih kesel aja.. 😢,wasit var kesel
"itulah kelemahan INDONESIA,byk menguasai bola,tetapi lemah dlm pressing pemain lawan di dpn kotak penalti.dari dulu permainan indonesia seperti itu.sungguh di sayangkan tdk lolos dlm kualipikasi piala dunia.😢",lemah indonesiabyk kuasa bolatetapi lemah pressing pemain lawan dpn kotak penaltidari main indonesia itusungguh sayang lolos kualipikasi piala dunia
Mimpi bung towel jadi kenyataan 😂😂😂,mimpi towel nyata
Jgn patah semangat garudaku tetap terbang tinggi..mungkin ini blm waktynya..kita ga boleh saling menyalahkan...harus saling supot pemain..jay ides dan kawan kawan engkaulah pahlawan garuda ...tetap semangat,jgn patah semangat garuda terbang tinggimungkin blm waktynyakita menyalahkanharus supot pemainjay ides kawan kawan engkau pahlawan garuda semangat
gegara kmren wes main2 line uppp ...sabar indo ...ttp smngat. gdby pildun next see you,gegara kmren wes main line uppp sabar indo ttp smngat gdby pildun next see you
Patrick senang tujuannya tercapai...,patrick senang tuju capai
"Alhamdulillah,,, 😂😂",alhamdulillah
"Bener"" Jauh dari jangkauan word cup",bener jangkau word cup
Saya udah duga Indonesia bakal kalah,udah duga indonesia kalah
Sabar kawan kami ikut sedih melihat kenyataan ini,sabar kawan sedih nyata
Si Patrick bersedih pake mode air mata buaya yassalammm yassalammm yassalammm 😂😂😂,si patrick sedih pake mode air mata buaya yassalammm yassalammm yassalammm
Efek marselino tdk main,efek marselino main
Nunggu 4 tahun lagi d saat sang 2 legend udh g ada ronaldo dan messi😢,nunggu sang legend udh ronaldo messi
"Negara penonton piala dunia, bukan negara peserta piala dunia",negara tonton piala dunia negara serta piala dunia
"Justin,toewel towel...cair cair..",justintoewel towelcair cair
Kali ini Timnas kita mendapatkan wasit yang sangat Mengecewakan,kali timnas wasit kecewa
"Sukur lah,biar PSSI bisa sadar,kalau nyari pelatih jangan cuman hanya yang punya nama besar,tp harus punya kualitas kepelatihan seperti Sty",sukur lahbiar pssi sadarkalau nyari pelatih cuman nama besartp kualitas latih sty
🎶Don't cry for me Argentina...🎶,dont cry for me argentina
AKIBAT DOANYA MARCEF TIDAK DIPANGGIL PK,akibat doa marcef panggil pk
