komentar,komentar_bersih
"betul bro, sperti nova di tim u 17 matanya sipit lolos bro",sperti nova tim mata sipit lolos
GUS DUR DILAWAN 😂,gus dur lawan
Apa harus ROY KIYOSIH ya 🤔 krna dia juga bisa melihat alam ghoib 😢,roy kiyosih ya krna alam ghoib
​ @AzkadinaAndrea boleh juga roy kyoshi,roy kyoshi
"iya betul, yang katanya youtuber tukang prediksi jitu zonnkk semua",iya youtuber tukang prediksi jitu zonnkk
"Betul bro...saya JD inget dgn kata2 pak Gusdur (ALM) Beliau katakan Indonesia akan lolos pildun 20th mendatang dan dilatih oleh pelatih bermata sipit....bukti nyata nya ada di timnas u17🇮🇩, yg dipimpin Coach Nova Arianto (titisan STY)💪",brosaya inget gusdur alm beliau indonesia lolos pildun th latih pelatih mata sipitbukti nyata timnas pimpin coach nova arianto titis sty
Kapan Gus Dur bilang begitu?,gus dur bilang
"S7, bener dan kenyataan BALIKKAN STY JADI PELATIH TIMNAS INDONESIA 🇮🇩💪",bener nyata balik sty pelatih timnas indonesia
peller korea sipit,peller korea sipit
"Gk usah bawa² almarhum gusdur utk tebar keburukan, km akan mndptkan keburukan yg parah",bawa almarhum gusdur tebar keburu km mndptkan keburu parah
"Kapan Alm. Gusdur pernah bilang gitu, jangan ngarang aja kamu @Nyimas",alm gusdur bilang gitu ngarang
"Momen krusial dn kesempatantdk dtang 2 kali bro,kesalahan pelatih adalah ketika vs arab dgn formasi coba2. Dan kita tdk tahu apakah 4tahun kemudian semua pemain timnas akan tetap di performa bagus sperti skarang..",momen krusial dn kesempatantdk dtang kali brokesalahan pelatih vs arab formasi coba pemain timnas performa bagus sperti skarang
Blum tentu masuk tahap ini juga. Ini adalah momentum tertinggi pildun buat timnas,blum masuk tahap momentum tinggi pildun timnas
Kalau negaranya belum bubar 😂,negara bubar
"Itu kan saya tulis bro Insya Allah, mudahan performa mereka bisa lebih baik lg, sekelas italia yg di latih mancini tahun 2018 aja pernah tidak lolos piala dunia, apalagi timnas yg bru saja mau berkembang, yg Penting kita tetap berdoa untuk timnas indonesia dan terus memberikan dukungan. Salam Kenal saudaraku..🙏",tulis insya allah mudah performa lg kelas italia latih mancini lolos piala dunia timnas bru kembang doa timnas indonesia dukung salam kenal saudara
​ @MohammadSyahRolies mungkin masih ada harapan kalo STY di kembalikan lagi jadi pelatih..walau mungkin harus STEL ulang gaya bermain dan pemainnya.,harap kalo sty kembali pelatihwalau stel ulang gaya main main
Dan Belm tentu bisa sampe tahap sejauh ini 😂,belm sampe tahap
Era itu masing²! Yg jelas sekarang adalah keputusan terburuk saat ganti pelatih...dan ini hasilnya!!! Bagsat,era putus buruk ganti pelatihdan hasil bagsat
Klu gagal lagi ada 4 tahun lagi.....😂 Semangat......,klu gagal semangat
INDONESIA ❤❤❤❤❤❤,indonesia
Bener bro 😂😂😂,bener
