komentar,komentar_bersih
Pak Eric gak pernah memaksa supporter utk bermimpi ke PILDUN.,eric paksa supporter mimpi pildun
"​ @ShidanRombau ok kalau dua bilang begitu.....jangan bermimpi ke pildun.....TETAPI.....ke piala dunia tinggal dua pertandingan saja.....dan kalau hasilnya begini, kekuatan team national",ok bilang begitujangan mimpi pilduntetapike piala dunia tinggal tanding sajadan hasil kuat team national
"PSSI tdk pernah punya target ke pildun, cuman fens aja yg terlalu muluk"" mimpi ke pildun, utk ke pildun tidak semudah membalik telapak tangan, tapi butuh kesiapan yg matang.",pssi target pildun cuman fens muluk mimpi pildun pildun mudah balik telapak tangan butuh kesiap matang
ET VS ALL,et vs all
"Kan targetnya th 2030 ,tapi karena ada kesempatan kenapa tidak, gitu kayak nya pernyataan ET. Salah fans sendiri ekspektasi tinggi",target th sempat gitu nyata et salah fans ekspektasi
"Persiapan buat nti 😂 tp ambil ntrlsasi ,pelatih ganti nice..😅",siap nti ambil ntrlsasi pelatih ganti nice
Tragedi di cina mjd penyebab sty dipecat krn sebagian pemain tdk suka pelatih diktator jd tdk mungkin sty kembali tapi pst akan ada pelatih baru pengganti pk,tragedi cina mjd sebab sty pecat pemain suka pelatih diktator sty pst pelatih ganti pk
Nggak gitu ngimongnya bro. Dia ngomong ekspekatsi untuk lolos pildun 2026 itu berlwbihan karena targetnya lolos 2030.,gitu ngimongnya ngomong ekspekatsi lolos pildun berlwbihan target lolos
​ @PriaDarma terus perkataan saat mgganti sty ke petrik.... Gimna donk mksudnya klu gitu?,kata mgganti sty trik gimna donk mksudnya klu gitu
​ @PriaDarma kita sebagai pendukung timnas wajar untuk berekspektasi tinggi karena kita unggul dari segala sisi dari nilai jual sampai pemain dan pelatih yang kita miliki Harus kita ingat STY dengan pemain seadanya kala itu bisa menahan seri dikandang KSA dan menang di GBK coba bandingkan materi pemain kala itu dengan pemain sekarang Jauh lebih mentereng pemain sekarang bos PK AUT,dukung timnas wajar berekspektasi unggul sisi nilai jual pemain pelatih milik sty pemain ada tahan seri kandang ksa menang gbk coba banding materi pemain pemain mentereng pemain bos pk aut
"​ @PriaDarma tapi dengan pssi ambil langkah pecat sty begitu saja,bikin fans timnas naruh harapam tinggi lolos karna pssi ambil tindakan salah,terbukti hasilnya seperti ini dan strategi permainan gajelas seperti ini",pssi ambil langkah pecat sty sajabikin fans timnas naruh harapam lolos pssi ambil tindak salahterbukti hasil strategi main gajelas
Total TUSBOLL boleh,total tusboll
TOTAL DOBOL,total dobol
Ganti pelatih jalan terbaik,ganti pelatih jalan baik
TOTAL GAGAL FUTBOL,total gagal futbol
"iya nunggu 2030 kesempatan tidak datang 2 x ,,,masih bagus STY",iya nunggu sempat bagus sty
