komentar,komentar_bersih
Next optimis di piala asia 2027 Kalah menang tetap dukung Garuda 🇲🇨🇲🇨🇲🇨❤,next optimis piala asia kalah menang dukung garuda
"Engga, sebagai warga NKRI aku ga terwakili, ga terpuji sama sekali. Walaupun memang kontroversi, tpi bukan begitu cara bereaksinya. Lagipula walaupun kontroversi, nyatanya Timnasnya aja yg ga bisa cetak gol, toh Iraq nyetak golnya juga fair.",engga warga nkri wakil puji kontroversi reaksi lagipula kontroversi timnasnya cetak gol iraq nyetak gol fair
"​ @adhityahafiizhb3164 lha🤔 Ridho pun sempat mencaci maki Ma Ning, di babak ke dua. Ma ning pasti nya gak ngerti kalimat apa yg dibilang Rizky Ridho, tapi intensi nya jelas, Ridho jengkel dan nge hujat Ma Ning dan wasit mengeluarkan K. Kuning buat Ridho. kalo pemain dan Official crew sudah kek gitu , itu bukti bahwa seluruh emosi Supporter pun sama kek mereka berdua juga",lha ridho caci maki ma ning babak ma ning ngerti kalimat bilang rizky ridho intensi ridho jengkel nge hujat ma ning wasit keluar kuning ridho kalo pemain official crew gitu bukti emosi supporter dua
Memalukan perbuatan tidak terpuji..,malu buat puji
Kecewa boleh.. Fitnah jgn ya nak,kecewa fitnah jgn ya nak
​ @bayusetio3920 terima kasih buat toel,terima kasih toel
Komen terbodoh sekabupaten,komen bodoh kabupaten
​ @Shp69-p6t dan yang merasa lebih hebat pun ternyata sebaliknya 😅😅😅,hebat
Kurang uang kayak nya😅😂😂,uang
Ga sekalian pak Prabowo jugaa? Respect pemain timnas Indonesia pelatih ofisial dan PSSI,prabowo jugaa respect pemain timnas indonesia pelatih ofisial pssi
Trus apa yg mau dijawab? Harus menang ? 😂😂😂 ingat terakhir 5-0 kalah lawan irak.,menang kalah lawan irak
"​ @kenlintang ingat ingat matamu, ganti pelatih seenak jidat noh yg perlu diingat",mata ganti pelatih enak jidat noh
​​ @kenlintang iya wajib menang tak menang tak lolos..2x kalah mereka berpikirkah..TDK mau dikritik jgn ambil jabatan pelatih dan ketua PSSI..,iya wajib menang menang lolos kalah berpikirkahtdk kritik jgn ambil jabat pelatih ketua pssi
​ @kenlintang waktu kalah besar sama irak..komposisi pemain tak sperti sekarng,kalah irakkomposisi pemain sperti sekarng
Petrul petruk,petrul truk
Tangung jawab apa emg dia hamil wkwkwkwk,tangung emg hamil wkwkwkwk
Hahahhaa 😂😂😂 sudah gga kuat lari 2030,hahahhaa gga kuat lari
​ @muhammadmulyono4509 bettuuuull...kesempatan saat ini pemain bagus2. Knapa tunggu 2030? 6:59 blm tentu di tahun2 mendatang bs merekrut pemain kls eropa.. PK telah menghancurkan pondasi yg dbangun STY...,bettuuuullkesempatan pemain bagus knapa tunggu blm bs rekrut pemain kls eropa pk hancur pondasi dbangun sty
​ @muhammadmulyono4509 fans karbitan nongol wkwkwk Pemain banyak usia msh muda.2030 masuk usia matang,fans karbitan nongol pemain usia msh muda masuk usia matang
"tidak akan lolos 2030 kalau pelatih nya, sama,",lolos pelatih
