komentar,komentar_bersih
Setuju.,tuju
BuzzeRp Erik OUT,buzzerp erik out
"SEPERTI NYA JIKA ET OUT TIMNAS AKAN BALIK LAGI KE SETELAN PABRIK.. KEMBALI MASUK GOA... SAYA MAU TAHU, SIAPA NAMA YANG COCOK UNTUK MENGGANTI ET ??",et out timnas setel pabrik masuk goa nama cocok ganti et
COBA SEBUTKAN MENURUT ANDA SIAPA.NAMA YANG PANTAS MENGGANTI ET DARI KETUM PSSI ?? YANG ANDA YAKINI 100% BISA MEMBAWA TIMNAS LOLOS KE PIALA DUNIA 2030 NANTI...,coba sebut siapanama ganti et tum pssi yakin bawa timnas lolos piala dunia
ET out kembali ke setelan pbrik,et out setel pbrik
"Kalo ET out akan lebih parah timnas ini,, bisa bisa semua pemain diaspora gak bakalan di panggil,, yg ada pemain lokal titipan semu😂 Ini aja sty yg di rekrut iwan Bule di pecat,, bisa bisa semua pemain diaspora yg di pilih erik tohir bisa gak di pake,, karena politik di Indonesia itu terlalu dalam memasuki sepak bola indonesia,, liga saja gak mau maju karena banyak di campuri politik",kalo et out parah timnas pemain diaspora panggil pemain lokal titip semu sty rekrut iwan bule pecat pemain diaspora pilih erik tohir pake politik indonesia pasuk sepak bola indonesia liga maju campur politik
"Gua setuju PK diganti, tp ngga sty juga dong, kaya di dunia ini udah ngga ada pelatih lagi aja Move on lah",tuju pk ganti ngga sty kaya dunia udah ngga pelatih move on
melek woi. kalo gk ada ET mah udah kandas di round 2-3. lawan filipin aja seri di round 2 dengan naturalisasi yg masih seadanya/ wave 1,melek woi kalo et mah udah kandas round lawan filipin seri round naturalisasi ada wave
"​ @arvan-gregorius lu kira bisa lolos ke round 2 dan 3 cmn karena ET doang ,trs yg lain?tim kepelatihan pemain yg lain kgak ngaruh gtu?kocak komen lu dek2🤣🤣",gregorius lolos round cmn et doang laintim latih pemain kgak ngaruh gtukocak komen dek
"​ @arvan-gregorius anak dukun, si paling bisa ngeramal ? Dimana buka praktek nya, gua Mao bertamu nih kun 😅",gregorius anak dukun si ngeramal mana buka praktek mao tamu kun
"Klu ET out lalu ketum baru ambil kebijakan baru n tidak meneruskan proyek et,lalu pakai semua pemain lokal gimana...?di Indonesia semua itu bs terjadi.",klu et out tum ambil bijak terus proyek etlalu pakai pemain lokal gimanadi indonesia bs
​ @hendrasutopo5777 ya gg mngkinlah kecuali dia mau out juga,ya gg mngkinlah kecuali out
"​ @hendrasutopo5777 bukan begitu boss. Pernah dan liat video ET ganti pelatih untuk up permainan. Klo proses udah nggk, knp? Ini pemain udah jdi semua, kualitas dan pengalaman udh bnyak. Kmi cuma ingin pertanggungjawaban nya aja. Kmi ekspetasi tinggi karena melihat permainan yang menjanjikan dan harapan itu ada, tpi gatot. Dahlah cape.",boss liat video et ganti pelatih up main proses udah nggk pemain udah kualitas alam udh bnyak kmi pertanggungjawaban kmi ekspetasi main janji harap gatot dah cape
​ @hendrasutopo5777 dah masalah proyek natularisasi gak dilanjukkan justru paling peting pembinaan pemain muda sekarang club semua pemain asing hampir pemain muda gak dapat menit bermain,dah proyek natularisasi lanjuk peting bina pemain muda club pemain asing pemain muda menit main
Wuahhaha Erik out 😂 Klo bukan Krn ET program naturalisasi tdk semasif saat ini...,wuahhaha erik out et program naturalisasi masif
"​ @bung_oks hahaha programnya dah gagal ,,",program dah gagal
@bung_oks yang membuat program diaspora bukan erik tohir tapi ketum ppsi sebelumnya jangan sok tau,program diaspora erik tohir tum ppsi sok
"​ @bung_oks skrg naturalisasi itu berbuah hasil kah? mikir punya otak, percuma bnyak pemain naturalisasi sebagus itu klo ga ada prestasi nya. masuk piala dunia pun ga ada , juara piala AFF pun ga ada. apa hah? coba dia ga egois memecat sty di tengah jalan gtu. kasih waktu sampai round 4 selesai. klo gagal lolos baru pecat",skrg naturalisasi buah hasil kah mikir otak bnyak pemain naturalisasi bagus prestasi masuk piala dunia juara piala aff hah coba egois pecat sty jalan gtu kasih round selesai gagal lolos pecat
Apa nama podcast nya?,nama podcast
@kenspotchannel The haye way bang,the haye way bang
​ @kenspotchannel podcast nya thom haye itu,podcast thom haye
"Brarti dy ""dipaksa"" ya bukan keinginan sendiri 😮",brarti dy paksa ya
"​ @yudhairfiantoro3780 entah, paling dikit lagi klarif tuh yg punya podcast",dikit klarif tuh podcast
Podcast nya thom haye itu,podcast thom haye
Kalau mafia kerja seperti itu bos 😅😅,mafia kerja bos
​ @muhammadridha1103 Iya sih 😅,iya
Bangun bro gak usah menghibur.diri liat permainannya...GK ada kemajuan ya... taktik nya gak jelas...pemain seperti kebingungan di lapangan...,bangun menghiburdiri liat permainannyagk maju ya taktik jelaspemain bingung lapang
​ @Fajri-p3d Iyaa betul. Era yg sekarang ini timnas jadi gajelas pola permainannya. Apalagi pemainnya banyak yg berubah.,iyaa era timnas gajelas pola main main ubah
"@Fajri-p3d domba justin, mending makan rumput sana",domba justin mending makan rumput
"setuju gue sm lu, oke kalo mau ganti pelatih gpp tapi gantilah sm yg lebih baik bukan malah downgrade menang nama besar doang",tuju oke kalo ganti pelatih gpp ganti downgrade menang nama doang
