komentar,komentar_bersih
ganti exco,ganti exco
Ada ga yang punya kemampuan gantiin ET? Jangan sampe malah dipegang mafia lagi nanti 😁,mampu gantiin et sampe pegang mafia
"​ @Surya-fc1vf ada, Rati Tisa. Dia udah lama di PSSI dia juga yg bawa STY . Biarin ET jadi Menpora aja .",fc vf rat tisa udah pssi bawa sty biarin et menpora
"​ @Surya-fc1vf Ratu Tisha, lo kira yg bawa STY siapa😂",fc vf ratu tisha bawa sty
Lo yg g tau malu. G ada yg sempurna d dunia ini !!! Masalahnya g ada yg lebih bagus buat gantiin ET di posisi ketum pssi,malu sempurna dunia bagus gantiin et posisi tum pssi
Ya jangan udah,ya udah
Apakah masalah komunikasi lagi😂😂,komunikasi
Kabarnya hari ini pa menpora akan panggil ketua pssi untuk bertanggung jawab 😂,kabar pa menpora panggil ketua pssi tanggung
#excopssiallout,excopssiallout
Bukan mau dukung PSSI atau siapapun. Tapi pergantian pelatih tuh bukan hanya Indonesia,dukung pssi ganti pelatih tuh indonesia
"​ @o-megafaqih4618 ​kalau mau ganti pelatih minimal dg yg lebih baguslah, ini ganti ke pelatih yg track recordnya buruk. Berani ngasih kompensasi besar ke STY demi pelatih yg taktiknya kagak jelas, amburadur, katanya tim kepelatihan terbaik, katanya bikin memperbesar kans ke pildun 2026? Apanya memperbesar, jaraknya? Kalau jaraknya iya, makin jauh, baru 5 tahun lagi pildun 2030. Kesempatan besar lolos pildun 2026, malah dibuat becanda. Alasan mecat STY juga gak jelas. Australia mecat pelatih setelah kalah dari Bahrain n seri lawan Indonesia, wajar. Arab Saudi mecat pelatih setelah seri lawan Indonesia, kalah lawan Jepang, seri lawan Bahrain, wajar. Bahkan Uzbekistan ganti pelatih setelah dipastikan lolos pildun 2026, ini sangat wajar, pasti pengen punya pelatih yg lebih bagus secara udah ke pildun. Indonesia mecat pelatih setelah menang lawan Arab Saudi, wajar? Mecat di tengah laga krusial dg pelatih bapuk, wajar? Hasilnya kena bantai Australia n Jepang, mandul lawan Lebanon, kacau lawan Saudi. Materi pemain sebagus ini malah disia2in.",megafaqih ganti pelatih minimal dg bagus ganti pelatih track recordnya buruk berani ngasih kompensasi sty pelatih taktik kagak amburadur tim latih baik bikin besar kans pildun apa besar jarak jarak iya pildun sempat lolos pildun becanda alas mecat sty australia mecat pelatih kalah bahrain seri lawan indonesia wajar arab saudi mecat pelatih seri lawan indonesia kalah lawan jepang seri lawan bahrain wajar uzbekistan ganti pelatih lolos pildun wajar ken pelatih bagus udah pildun indonesia mecat pelatih menang lawan arab saudi wajar mecat laga krusial dg pelatih bapuk wajar hasil kena bantai australia jepang mandul lawan lebanon kacau lawan saudi materi pemain bagus sia in
"Anda salah ❌justru awalnya ekspektasi akan tinggi langsung lolos round 4 eh kayanya kagak, makanya dia dapet jabatan baru menpora 😂posisi ya masih aman walaupun mundur dari pssi kan tetep pemimpin tertinggi menpora😂 Gw aja udah gak percaya sejak lawan Australia main open play tapi taktik gajelas sekali kena serang gampang kebobolan akhirnya dibantai😂 eh lawan saudi round 4 di ulangi lagi",salah ekspektasi langsung lolos round kaya kagak dapet jabat menpora posisi ya aman mundur pssi tetep pimpin tinggi menpora udah percaya lawan australia main open play taktik gajelas kena serang gampang bobol bantai lawan saudi round ulang
Emang ya gak mauu gitu lihat rakyatnya seneng,emang ya mauu gitu lihat rakyat neng
"Bener bgt, lebih keliatan aja sih progres dan usaha nya",bener liat progres usaha
"Dia gk objektif itu aja. Posisi 2 di grub terus waktu mepet 2 minggu, kenapa ganti pelatih, klo masalah nya krna pemain ad yg bermasalah sama pelatih ya dia pelatih nya, pemilihan pelatih yg bru pun kocak gk objektif juga ganti pelatih yg dlu ny bermasalah tau sendiri org indo sensitif nya gmna mna steatment ny karna dia dtg saat natal coba steatment ny gtu, omongan ng nggk ada yg bsa di pegang target nya apa jadi apa udah sampe si omongan beda lagi. Gw dri awal ganti pelatih opini sama yg gw blang di atas ngapain, trus gw udh riset platih baru nya anjir platih medioker, tiga"" nya platih medioker kemakan sama omongan orang lu gambling dgn sesuatu yg probalitas ny kecil klo ini van gal, Ancelotti atau morinho gw terima klo pun gagal, tralalu banyak drama",objektif posisi grub mepet minggu ganti pelatih krna pemain ad masalah pelatih ya pelatih pilih pelatih bru kocak objektif ganti pelatih dlu ny masalah orang indo sensitif gmna mna steatment ny dtg natal coba steatment ny gtu omong ng nggk bsa pegang target udah sampe si omong beda dri ganti pelatih opini blang ngapain udh riset platih anjir platih medioker platih medioker makan omong orang gambling probalitas ny van gal ancelotti morinho terima gagal tralalu drama
"Ibarat lo punya bini yg nemenin lo dari nol tengah jalan lo ceraikan gara2 kebanyakan cod paket katanya, trus milih cari bini baru eh giliran dapet bini baru malah pada bae alias sama sajah, sebenarnya apa yg kau cari iroh iroh tolonglah...😅",bini nemenin nol jalan cerai gara banyak cod paket milih cari bini gilir dapet bini bae alias sajah kau cari iroh iroh tolong
#erikout #pkout,erikout pkout
