komentar,komentar_bersih
Demgan skema taktik petrik sprti itu.. kalopun main dr round 2 kayaknya susah buat lolos round 3,demgan skema taktik trik sprti kalo main round kayak susah lolos round
untuk sporter indonesia klo mau di dengar ambil langkah demo di gedung pssi,sporter indonesia dengar ambil langkah demo gedung pssi
Sabar dulu enga lihat kalian sporter Indonesia sedang berduka. ..,sabar enga lihat sporter indonesia duka
Setujuu bang.klau PK out.,setujuu bangklau pk out
"makanya di jaman STY anak2 di larang banyak menahan ataw mengocek bola,apalagi sebagai pemain pertahanan",jaman sty anak larang tahan ataw kocek bolaapalagi pemain tahan
Salahkan tohir.. kegagalan ini bukan salah pemain atau sepenuhnya salah pelatih.. tapi tohir lah yang harus disalahkan,salah tohir gagal salah pemain sepenuh salah pelatih tohir salah
"Saya udah yakin sejak lawan China, ini timnas era kluivert gk tau cara nya nyerang, sangat berharap sebelum babak ini kluivert keluarin semua yg dia bisa buat benahi hal ini tapi yaa emang segitu doang mampu nya gk ada yg berubah. Jadi kegagalan ini sangat di sesalkan & kita emang belum pantas masuk piala dunia, percuma segala hal di protes kalo fakta nya emang keadaan kita yg belum mampu. Harapan di team ini masih sangat besar ke depan nya semoga ada yg bisa meracik tim ini jadi RAKSASA ASIA🔥",udah lawan china timnas era kluivert nyerang harap babak kluivert keluarin benah yaa emang segitu doang ubah gagal sesal emang masuk piala dunia protes kalo fakta emang harap team moga racik tim raksasa asia
Sebelum match jg udah heboh bung😂 hrs nya hal2 yg tdk penting demi ngejar rating jgn terlalu over 😢,match jg udah heboh hrs ngejar rating jgn over
Pssi và ĐTQG Indonesia đã thất bại toàn tập du đã nhập tịch đay du những cầu thủ Hà Lan chơi bóng ở châu âu về đá vòng loại world cup...,pssi tqg indonesia tht bi ton du nhp tch ay du nhng cu th lan chi bng chu vng loi world cup
"Towel dan Justin: yg penting ball possession, kalah belakangan",towel justin ball possession kalah
Bung binder objektif dalam penilaian,binder objektif nilai
the haye way,the haye way
Patrick Kluivert #out Bojan hodak #in,patrick kluivert out bojan hodak in
"Ketum pssi beserta jajaranya dan towel cs, ketawa gembira dengan kegagalan timnas menuju pildun 2026😢😢",tum pssi serta jajaranya towel cs ketawa gembira gagal timnas pildun
"baru kali Indonesia sampai sedekat ini dengan piala dunia 😭 sayang gagal, harus evolusi total demi pildun 2030 dengan persiapan panjang dan matang",kali indonesia dekat piala dunia sayang gagal evolusi total pildun siap matang
"Wajar verdonk dan Haye menangis kecewa, krn umur sdh habis utk menunggu 4th lagi",wajar verdonk haye menang kecewa umur sdh habis tunggu th
Sya yg mengikuti timnas dari 0 buat menuju ke pildun 26 Meras keslcewa dengan kgagalan timnas yg di isi sama pk,sya ikut timnas pildun ras keslcewa kgagalan timnas isi pk
"Sakit parah,, sih, sejauh ini sampe rounde 4 pdhal dikit lagi itu",sakit parah sampe rounde pdhal dikit
"Sebagai fans dan penikmat,saya hanya ingin terus bersama timnas,saya akan tetap bersama timnas🇮🇩",fans penikmatsaya timnassaya timnas
Tiga kata yang bakal selalu menggentayangi petinggi-petinggi PSSI bapuk itu Shin Tae Yong 😈,gentayang petinggipetinggi pssi bapuk shin tae yong
"Kalau pun ujung-ujungnya gagal juga, mending gagal sama pelatih yg membangun squad ini. sehat-sehat coach STY.",ujungujungnya gagal mending gagal pelatih bangun squad sehatsehat coach sty
"ingat kata BANG JAY , Tim ini tidak berhenti disini , tim ini di proyeksikan untuk masa yang akan datang , jangan sedih berlarut , kita Harus kuat dan kompak untuk ajang selanjut nya .",bang jay tim henti tim proyeksi sedih larut kuat kompak ajang lanjut
"Ini timnas Indonesia, jangan pernah menghina club masing""pemain",timnas indonesia hina club masingpemain
Gua lebih iklas kalau gugurnya sama pelatih yg ga bisa pake bahasa Inggris,iklas gugur pelatih pake bahasa inggris
Ambil hikmahnya,ambil hikmah
"Quotesnya adalah : "" perbedaan budaya juga bahasa tidak lebih buruk daripada apapun semua harus sama. """,quotesnya beda budaya bahasa buruk apa
ET orang yg paling harus bertanggung jawab.,et orang tanggung
7:32 gila lu min😂,gila
Aku ikut nangis waktu pemain pada nangis sumpah nyesek banget rasanya 😢,nang pemain nang sumpah nyesek
Kluitvert tidak bisa di salahkan 100℅.Kesalahan jelas ada di pengurus PSSI yg mengambil keputusan memecat STY dan memilih pengganti yg tanpa pengalaman bagus melatih tim.,kluitvert salah salah urus pssi ambil putus pecat sty pilih ganti alam bagus latih tim
