komentar,komentar_bersih
Progam jangka panjang Erik Thohir patut di contoh,progam jangka erik thohir patut contoh
Kami bangga pada pemain timnas,bangga pemain timnas
Thanks capt jay,thanks capt jay
Setelah pemain Irak no 7 masuk pertahanan indonesia kocar kacir. Tetep semangat garuda,pemain irak no masuk tahan indonesia kocar kacir tetep semangat garuda
"Marselino, struick, ivar adalah anak2 Muda yg menjadi roh permainan..",marselino struick ivar anak muda roh main
"Wasitnya bagus Al Ali, tegas...",wasit bagus al ali
Kita mulai berjuang lebih keras lagi,juang keras
Kalian sudah luar biasa lebih baik dari yg kemarin ini yg sebenarnya kekuatan kita jangan salah siapa2 biar tenang hati kita,kemarin kuat salah biar tenang hati
Tegakan kepala mu Garuda Sampai di titik ini aja kalian sudah sangat luar biasa,tega kepala mu garuda titik
"Skuad Mewah...Taktik Memble/Melempem, Wajar kalo ga lolos. Makasih tuk Skuad Garuda Atas Perjuangannya, insyaallah 2tahun kemudian Skuad Garuda Bisa Bicara Banyak Di Kancah Asia.",skuad mewahtaktik memblemelempem wajar kalo lolos makasih tuk skuad garuda juang insyaallah skuad garuda bicara kancah asia
"fokus dan berikan yg terbaik masih ada piala asia,",fokus baik piala asia
"Kalah hal wajar.. Tidak perlu menyalahkan. Dunia sudah melihat permainan Indonesia yg hebat. Semangat Pelatih, semangat TIMNAS.",kalah wajar salah dunia main indonesia hebat semangat pelatih semangat timnas
Permainan timnas udh bagus bs menguasai bola memang nasib kta Klh pergantian pelatih dipegang Aleks pastor ada perbedaan timnas tetap semangat 👍👍,main timnas udh bagus bs kuasa bola nasib kta klh ganti pelatih pegang aleks pastor beda timnas semangat
"Intinya ""JANGAN ERIK"" di depan..!",inti erik
"Sebagai warga negara indonesia, ku sedih timnas kalah gak masuk Pildun, Semangattt, kuu ttp menghargai effort kalian, ❤❤❤😭😭",warga negara indonesia ku sedih timnas kalah masuk pildun semangattt kuu ttp harga effort
Saya sudah menangis sejak Kluivert datang.,menang kluivert
