komentar,komentar_bersih
"Memang gak mudah bro untuk lolos Piala Dunia, level kita jauh banget sama level dunia, terdengar mustahil tapi bisa bikin sejarah baru kalau lolos. Kalau dilihat dari prestasi timnas Indonesia untuk lolos ke piala dunia sampai sejauh ini wajib banget kita apresiasi, menjadi satu-satunya tim ASEAN yang masih bisa bertahan hingga round-4 kualifikasi Piala Dunia 2026 itu sudah hal yang paling membanggakan. Semangat terus timnas Indonesia🇮🇩🔥",mudah lolos piala dunia level level dunia dengar mustahil bikin sejarah lolos prestasi timnas indonesia lolos piala dunia wajib apresiasi satusatunya tim asean tahan round kualifikasi piala dunia bangga semangat timnas indonesia
"Menurut saya hasil sekarang tetap harus di apresiasi. Karna peningkatan permainan timnas indonesia sudah sangat menghibur, namun memang masih ada beberapa kesalahan2 kecil yg masih terlihat,kurang nya waktu latihan bersama team dan juga mental beberapa pemain masih perlu di tingkatkan. Harapan nya management timnas tidak ada yg di ganti karna ga ada hasil yg bisa di capai secara instan. Semangat terus untuk menghadapi AFC dan piala asia mendatang. Semoga next pildun bisa lebih baik",hasil apresiasi tingkat main timnas indonesia hibur salah terlihatkurang latih team mental pemain tingkat harap management timnas ganti hasil capai instan semangat hadap afc piala asia moga next pildun
tank's jay😢,tanks jay
Pelatih tarkam di pake😂,pelatih tarkam pake
😭kalaaah,kalaaah
Main sepak bola yg paling penting bisa nyetak gol sebanyak banyaknya . Menyerang mendominasi permainan nggak ada gunanya kalau cuma bisa nyetak gol dari tendangan finalti doang. .,main sepak bola nyetak gol banyak serang dominasi main guna nyetak gol tendang finalti doang
Kalah sdh jdi langganan tpi keputusan wasit perlu dipertanyakan,kalah sdh langgan putus wasit
Tim nas sdh sangat bagus walau kalah ggp.,tim nas sdh bagus kalah ggp
Pertahankan pemain...dan gantilah pelatih dan bawalah pelatih asli Indonesia'untuk menghindari manipulasi yang tidak kita inginkan....Pemain sudah jauh lebih baik sampe sekarang cuman masih banyak manipulasi yang merugikan bangsa kita,tahan pemaindan ganti pelatih bawa pelatih asli indonesiauntuk hindar manipulasi inginkanpemain sampe cuman manipulasi rugi bangsa
Asek caer nih uang petrik gas coach petrik lanjut kan judi mu hebat,asek caer uang trik gas coach trik judi mu hebat
Udah dijalan yg bener kemaren sama sty tergoda jg sama buzer dan pundit dadakan 😊,udah jalan bener kemaren sty goda jg buzer pundit dada
Hasil perjudian ET menganti pelatih,hasil judi et anti pelatih
Kulivert : Cair caiir... gua😂.,kulivert cair caiir
tolong dibuka lowongan kerja sebagai pemain bola timnas mulai besok,tolong buka lowong kerja pemain bola timnas besok
Nasi goreng sudah menjadi bubur 😂😂,nasi goreng bubur
semoga Patrick kluivert belajar dari pengalaman shin tae young melatih indonesia,moga patrick kluivert ajar alam shin tae young latih indonesia
Kalau bola kurang si indonesia tetapi kalau korupsi juara nya sih wkwkwkwk😊😊😊,bola si indonesia korupsi juara wkwkwkwk
Lawan Irak bagus mainnya tp belum beruntung...tanks dah berjuang untuk kalian timnas,lawan irak bagus main beruntungtanks dah juang timnas
"Ayoo tambah lgi diasporanya, butuh gelandang kreatif bisa manuver di lini tengah",ayoo lgi diaspora butuh gelandang kreatif manuver lini
Sedih,sedih
"sayamg sih indonesia , main udh bgs padahal",sayamg indonesia main udh bgs
Fokus ke piala asia,fokus piala asia
melainkan 5 bek dan harus pakai serangan counter atttack,bek pakai serang counter atttack
"Si PK Pelatih kesayangan Erick sama Towel,biar kalah terus Klepeet ngak di Pecat",si pk pelatih sayang erick towelbiar kalah klepeet ngak pecat
Irak menyelamtkan dunia dari kebisingin.mantap irak...,irak menyelamtkan dunia kebisinginmantap irak
Harapan freeeettt,harap freeeettt
"Apa pun hasilnya bayangkan Indonesia cuma kalah 1:0 loh melawan Iraq dan Arab Saudi,,,ini pencapaian yang luar biasa dalam kualifikasi Piala Dunia, jadi Level Indonesia cukup tinggi, semoga kesempatan selanjutnya Indonesia berhasil lolos, apalagi ini kesempatan perdana untuk negara kawasan Asia Tenggara.",hasil bayang indonesia kalah loh lawan iraq arab saudiini capai kualifikasi piala dunia level indonesia moga sempat indonesia hasil lolos sempat perdana negara kawasan asia tenggara
"Kita tidak perlu menyalahkan siapa siapa, namanya juga permainan ada yang menang dan ada yang kalah, PSSI tidak perlu evaluasi, sekarang kita tunggu sikap gentleman dari Patrik dan Erik untuk mundur dari PSSI nhn",salah nama main menang kalah pssi evaluasi tunggu sikap gentleman patrik erik mundur pssi nhn
"Dulu jaman sty dia rela d kartu biar sty GK d kartu wasit,skrg beliau bnr2 kesal dan dpt kartu lg",jaman sty rela kartu biar sty kartu wasitskrg beliau bnr kesal dpt kartu lg
Sitowel paling pintar suru dia melatih timnas 😅😅,sitowel pintar suru latih timnas
"Tak usah menangis kalian tetap hebat kecuali sikampreit,lawan kalian bukan saja tim irak tapi lawan yg berat adalah wasit.tetap semangat🩸🩸",menang hebat kecuali sikampreitlawan tim irak lawan berat wasittetap semangat
