komentar,komentar_bersih
Kluivert= kebodohan,kluivert bodoh
Sudah ga usah nangis Bro....kita tetap ada buat timnas...kalah ataupun menang...bravo timnas❤❤❤,nang brokita timnaskalah menangbravo timnas
Respect!! thank u capt jay for everything,respect thank capt jay for everything
Kalian hebat sudah melangkah sampai sejauh ini Bravo team timnas Indonesia❤❤❤,hebat lang bravo team timnas indonesia
Evaluasi Evaluasi Terus kata Erick Thohir 🤣🤣🤣🤣!!!,evaluasi evaluasi erick thohir
tangis Kluivert adalah tangis bahagia atas apa yg diinginkan tercapai,tangis kluivert tangis bahagia capai
Dulu tangis kebahagiaan sekarang tangis kekecewaan semangat timnas,tangis bahagia tangis kecewa semangat timnas
"Aktingnya Patrick menjiwai banget, pantasan di pertahankan sama si Erick satu profesi banyak bicara pintar akting dan manipulasi.",akting patrick jiwa pantas tahan si erick profesi bicara pintar akting manipulasi
Si towel sedang ber pesta ria ... Melihat kekalahan Indonesia dia sangat bangga dan senang...rasa ke gembira an towel sangat jelas,si towel ber pesta ria kalah indonesia bangga senangrasa gembira an towel
"Tidak apa"" kalian sudah berjuang smpai di titik ini aja kalau saya sngt bangga liat ke majuan timnas.indonesia jaya sllu",juang smpai titik sngt bangga liat maju timnasindonesia jaya sllu
"Permainan timnas jauh lebih bagus dari sebelumnya laga tandang lawan arab, tetap semangat para pemain timnas, mungkin kita masih harus belajar banyak 👏👍🇮🇩",main timnas bagus laga tandang lawan arab semangat pemain timnas ajar
Capt jay dkk tetep pahlawan kami kalian udah mengharumkan nama bangsa.,capt jay dkk tetep pahlawan udah harum nama bangsa
"Kalah atau menang, kalian tetap pahlawan bangsa..semangat terus..💪❤️🇲🇨",kalah menang pahlawan bangsasemangat
"Alhamdulillah kalau timnas kalah, itu yang di inginkan TOWEL DAN ERICK THOHIR 👍👍👍👍👍",alhamdulillah timnas kalah towel erick thohir
Tetap smngt pahlawan² lapangan hijau kami bangga pada permainan mlm ini yg kalian tunjukan walapun hasil berkata lain garuda² hebat 🎉🎉🎉🎉💪💪💪,smngt pahlawan lapang hijau bangga main mlm tunjuk walapun hasil garuda hebat
"Masih ada hari esok,, km apresiasi perjuangan pahlawan timnas dan staff kepelatihan❤❤❤",esok km apresiasi juang pahlawan timnas staff latih
"Diluar ini semua, big respect, hats off, buat semua pemain yang sudah berjuang mati""an sampe kita udh di titik ini. Kalian semua pahlawan kami ❤😢",luar big respect hats off pemain juang mati sampe udh titik pahlawan
Selamat Atas perjuangan si Toel dan Erik tohir .,selamat juang si toel erik tohir
"Garuda didadaku,,,,kebangganku,,, bravo semangat terus Timnas senior Indonesia.",garuda didadakukebangganku bravo semangat timnas senior indonesia
"Kalau mainnya kayak gini, meskipun kalah kita puas lihatinnya.. Terima Kasih Pungawa Garuda..Kalian luar biasa..",main gin kalah puas lihatinnya terima kasih pungawa garudakalian
Meski gagal ..kami salut dengan perjuangan kalian..kami selalu mendukung kalian ❤,gagal salut juang kaliankami dukung
Coment yg sangat bagus kawan ?kita bangga timnas Indonesia walaupun kalah Dari Irak timnas udah brjuang smaksimal mungkin itulah bola 💪💪💪💪💪❤❤❤❤,coment bagus kawan bangga timnas indonesia kalah irak timnas udah brjuang smaksimal bola
"​ @HarTono-i2z setuju menurutku timnas udah bagus sekarang. Dulu aja ASEAN kalah Mulu Ama Vietnam, Thailand, Malaysia. Siapa sangka malah Indonesia yg lolos grup kualifikasi pildun. Arab & Irak levelnya dari dulu Pildun. Inget Arab pernah tanding lawan Argentina menang arab 1-0 pdahal ada Messi disitu Lagian Mending Patrick menurut gw dibanding STY. WHY? ERA STY selalu kalah telak lawan Irak entah 4-0 entah 6-1. Lah ini 1-0 loh itupun blunder sih Rizky ridho ogah eksekusi buang jauh itu bola. Kalo gak blunder imbang loh Lagian STY sering blunder juga masukan pemain kesayangan dia Mulu. Inget vs cina sih juru kunci. Dia mainkan Asnawi 80 menit full akibatnya kita kebobolan 2x. Inget ngototnya dia masukin marselino & sananta. Udahlah. Siapapun coachnya pasti punya anak emas. Tp Patrick ini belum keliatan siapa anak emas yg disukainya. Kalo STY (Asnawi, camat Suwon (arhan), marselino (sih egois tukang gocek), sananta, Egi Maulana )",tuju turut timnas udah bagus asean kalah mulu ama vietnam thailand malaysia sangka indonesia lolos grup kualifikasi pildun arab irak level pildun inget arab tanding lawan argentina menang arab pdahal messi situ mending patrick banding sty why era sty kalah telak lawan irak loh itu blunder rizky ridho ogah eksekusi buang bola kalo blunder imbang loh sty blunder masuk pemain sayang mulu inget vs cina juru kunci main asnawi menit full akibat bobol inget ngototnya masukin marselino sananta udahlah coachnya anak emas patrick liat anak emas suka kalo sty asnawi camat suwon arhan marselino egois tukang gocek sananta egi maulana
Betul saudara,saudara
Inilah efek media YouTube di Indonesia yg selalu meninggikan kemampuan pemain Indonesia.....seolah olah lawan Brazil pun kita bisa menang.,efek media youtube indonesia tinggi mampu pemain indonesiaseolah olah lawan brazil menang
"​ @gokmajeffry3998 Biasa bro, klo menang langsung cepat jumawa tinggi hati, ya aku sendiri pas lihat itu cma ""okelah, untuk awal-awal arogan dlu supporter Indonesia yah. Nanti diakhir gmn hasilnya?"" 😂 Seharusnya menang-kalah harus tetap respect, tpi malah bikin meme/parodi timnas Indonesia otw masuk pildun 😂",menang langsung cepat jumawa hati ya lihat cma oke awalawal arogan dlu supporter indonesia yah akhir gmn hasil nangka respect bikin parodi timnas indonesia otw masuk pildun
Keluar juga air mata buayanya klp ha ha ha,air mata buaya klp ha ha ha
Ttp semangat team nasional kau kebanggakan bangsaku indonesia. Tlng pelatihnya pulangkang tdk usah ian itu bosan dan tlng ke yuotube indonesia jg banyak berita ini ita itu karan di yuotube sebelah banyak berita hoak pembodohan publik,ttp semangat team nasional kau bangga bangsa indonesia tlng latih pulangkang ian bosan tlng yuotube indonesia jg berita ita karan yuotube belah berita hoak bodoh publik
ET dan PK out,et pk out
"Pecat erik,pelatih abal2",pecat erikpelatih abal
Timnas indodesh😂,timnas indodesh
