komentar,komentar_bersih
​ @massohirin4595 Jangan terlalu berharap banyak bang. Jgn kasih ekspektasi tinggi tinggi nanti bisa stres 😂,harap bang jgn kasih ekspektasi stres
Sudahlah kita cuma berusaha sebaik mungkin dalam permainan pasti ada menang kalahnya,usaha main menang kalah
"TERIMAKASIH BUAT SQUAD GARUDA, ULTRAS GARUDA..... KALIAN PAHLAWAN BANGSA.. TERIMAKASIH💚🇮🇩🙏✨🦅",terimakasih squad garuda ultras garuda pahlawan bangsa terimakasih
"Iya gak gitu juga kali bro,kalo emang kalah y kalah ,kalo emang menang y menang.",iya gitu kali brokalo emang kalah kalah kalo emang menang menang
gini mulu dr jaman 90an gak bosen apa,gin mulu jaman an bosen
"​ @ucupsetiyono3966 Nah itu dia, saya sendiri pun yg liat bosan kali, jdi malas nonton bola, gagal pildun mulu. 😂",liat bosan kali malas nonton bola gagal pildun mulu
Kita lu aja kali...gua mah semenjak STY dipecat udah males😂😂😂 bukan karena tidak nasionalis TPI reliastis.....bener sja lewat tim berat GK bisa jebol..wkwkwk,kaligua mah semenjak sty pecat udah males nasionalis reliastisbener sja tim berat jebolwkwkwk
formalitas bro,formalitas
Towel erik tohir jadi penyerang baru lolos dari Kpk,towel erik tohir serang lolos kpk
"Dear pemain lokal timnas, Ketahuilah bahwa ada ribuan pemain lokal tanah air yg bermimpi ingin tampil membela timnas tetapi belum dapat kesempatan. Skill pemain lokal ini juga gak kalah bagus dgn mu, tetapi tuhan menadirkan kalian lah yang punya kesempatan untuk membela timnas. Jadi tolong, jangan di sia siakan kesempatan membela timnas, bermainlah habis habisan, kerahkan semua tenaga, akal fikiran dan hati untuk bisa menang. Ingat dan sadarlah, bahwa Sepakbola itu bukan hanya menendang dan menyundul bola... Tetapi ada hal lain yg anda harus lakukan seperti anda harus melakukan drama, lalukan diving, ulur waktu, provokasi lawan, pancing emosi lakukan dengan solid karena itu juga bagian dari sepakbola. Sadarilah bahwa bisa saja, anda adalah generasi terakhir dari pemain lokal yang sempat membela timnas saat ini. Kedepan kita tidak tahu apa masih ada pemain kelahiran tanah air yg memakai jersey timnas di tengah lapangan. Bisa saja anda dan kami semua hanya duduk di bangku penonton menyaksikan pirang pirang bermain. Maju terus timnas... juara lebih penting atau timnas yg lebih penting.",dear pemain lokal timnas tahu ribu pemain lokal tanah air mimpi tampil bela timnas sempat skill pemain lokal kalah bagus mu tuhan nadir sempat bela timnas tolong sia sia sempat bela timnas main habis habis kerah tenaga akal fikiran hati menang sadar sepakbola tendang sundul bola laku drama lalu diving ulur provokasi lawan pancing emosi laku solid sepakbola sadar generasi pemain lokal bela timnas depan pemain lahir tanah air pakai jersey timnas lapang duduk bangku tonton saksi pirang pirang main maju timnas juara timnas
"​ @Putrarajawali-f1j masalahnya pemain lokal egois. Suka gocak gocek. Pamer skill padahal kalah jauh. Arab & Irak emang skillnya pildun. Inget pildun kemarin Arab bantai Argentina pdahal Messi main disitu bantai 1-0 Lawan cina juru kunci inget 2 gol cina dari blunder Asnawi. Inget kemarin 2 gol Arab dari blunder Sayuri. Inget gol Australia dari blunder Marselino. Dll. Kebanyak pemain lokal suka blunder. Males ngolah. Ngajemput bola. Inget gol Irak dari blunder Rizky ridho Pemain timnas secara skill Mateng, mental Mateng, tidak egois. Tidak sok2an pamer gocak gocek bakalan kalah gocekan juga",pemain lokal egois suka gocak gocek pamer skill kalah arab irak emang skillnya pildun inget pildun kemarin arab bantai argentina pdahal messi main situ bantai lawan cina juru kunci inget gol cina blunder asnawi inget kemarin gol arab blunder sayur inget gol australia blunder marselino dll banyak pemain lokal suka blunder males ngolah ngajemput bola inget gol irak blunder rizky ridho pemain timnas skill mateng mental mateng egois sok an pamer gocak gocek kalah gocek
setuju kita nggak usah saling menghujat,tuju hujat
"​ @edyira277 Betul sekali kak, jgn saling menghujat dan jgn saling kasih dukungan ke tim yg gagal masuk pildun.",kak jgn hujat jgn kasih dukung tim gagal masuk pildun
Ok siap😊,ok
Ku tetap mendukungmu Team Nas Garudaku❤,ku dukung team nas garuda
"Kita ada buat timnas dan selalu support timnas... Tapi, tidak buat Kluivert.. 1 kata..out!",timnas support timnas kluivert kataout
Indonesia sudah bermain yang terbaik kali ini...Jauh lebih baik dibanding saat lawan Saudi Arabia. Tetap semangat kawan.,indonesia main baik kali inijauh banding lawan saudi arabia semangat kawan
Menunggu proses😅,tunggu proses
"Tetap semangat timnas ku, PECAT PATRIk",semangat timnas ku pecat patrik
"Dan Wajar juga kalaw Indonesia kalah, Tidak perlu kecewa. Memang kwalitas Sepak bola Indonesia harus perlu dibenahi. Sekarang Timnas sebagai wakil Asia tenggara susdah luar biasa sampai ronde 4. Nanti 2030 bru setidaknya masuk piala dunia. Kalaw saja PSSI ada perhatian lebih dan gak ada korupsi. Benar benar membangun sepak bola Indonesia. Mngkin Indonesia cukup masuk ronde 3 udah lolos. Kalaw mau di bilang soal naturalisasi itu ga sepenuhnya benar. Tapi juga bsa membantu, sekarang yg hrus difokuskan adalah pembinaan disiplin, mau berapa kali pun ganti pelatih tpi kalaw tidak dibangun dengan benar sepak bola Indonesia, sperti halnya Korea dn Jepang. Itu sulit untuk brda di panggung Piala Dunia. Jujur kwalitas sepak bola Indobesia masih Buruk. Kalaw mau benar benar serius Indonesai jangan hanya cukup lolos kualifikasi. Tapi bisa lolos fase grup dan melangkah ke fase berikutnya. Ga ada yang ga mungkin, hanya saja PSSI dulu sblum Pa Erik ketum, PSSI kurang serius dan ga becus. JADI JANGAN KECEWA SAAT INI TIMNAS GAGAL TAMPIL DI PANGGUNG PIALA DUNIA 🤣😆",wajar kalaw indonesia kalah kecewa kwalitas sepak bola indonesia benah timnas wakil asia tenggara susdah ronde bru masuk piala dunia kalaw pssi perhati korupsi bangun sepak bola indonesia mngkin indonesia masuk ronde udah lolos kalaw bilang naturalisasi sepenuh bsa bantu hrus fokus bina disiplin kali ganti pelatih kalaw bangun sepak bola indonesia sperti hal korea dn jepang sulit brda panggung piala dunia jujur kwalitas sepak bola indobesia buruk kalaw serius indonesai lolos kualifikasi lolos fase grup lang fase pssi sblum pa erik tum pssi serius becus kecewa timnas gagal tampil panggung piala dunia
kasihan Haye karena cuma ini kesempatannya ke world cup... kalo yg lain masih muda2,kasihan haye sempat world cup kalo muda
Patrick keleper & erik out Back sty,patrick leper erik out back sty
Bravo tim nasional,bravo tim nasional
kita bangga punya team yg sholid..walaupun kegagalan yg dicapai..semoga team garuda kedepan tetap semangat..untuk menuju pildun 2030...,bangga team sholidwalaupun gagal dicapaisemoga team garuda depan semangatuntuk pildun
"Blunder nya pertandingan lawan Arab.. Mainin pemain lokal prett dua ayam sayur dan Beckham.. Kalo untuk pertandingan malam ini walaupun kalah tapi kalah secara terhormat,, pertandingan enak di tonton dan para pemain sudah berjuang keras",blunder tanding lawan arab mainin pemain lokal prett ayam sayur beckham kalo tanding malam kalah kalah hormat tanding enak tonton pemain juang keras
klo kalah terus ya gak la broo 😂😂😂,kalah ya la broo
"Mental blm ada, main masih kaya gitu ngareb lolos, ke piala dunia",mental blm main kaya gitu ngareb lolos piala dunia
