komentar,komentar_bersih
Tetap semangat kalian sdh berjuang keras,semangat sdh juang keras
"Timnas kita sudah berusaha dgn segala kemampuan. Gagal puala dunia bukanlah akhir dari semuanya. Masih banyak pertandingan kedepan yang akan menunggu kita. Hidup Timnas, kami warga indonesia mengucapkan terimakasih kepada seluruh pemain Timnas.",timnas usaha mampu gagal puala dunia tanding depan tunggu hidup timnas warga indonesia terimakasih pemain timnas
Kasian para pemain habis2san bermain akhirnya tumbang bangkit Garuda jangan putus asa,kasi pemain habis san main tumbang bangkit garuda putus asa
terima kasih atas perjuangan kalian ttep semangat jngn bersedih belum saatnya kita lolos ke pildun,terima kasih juang ttep semangat jngn sedih lolos pildun
Ya Alloh berikan semangat dan jangan berlarut dalam kesedihan dan tetap cinta TIMNAS yuuk kita dukung terus ALLOH HUAKBAR,ya alloh semangat larut sedih cinta timnas yuuk dukung alloh huakbar
Semangat 🇮🇩❤️🇮🇩🇮🇩🇮🇩🇮🇩,semangat
"Jangan cari kambing hitam, inilah sepakbola,yg jelas Indonesia sudah memiliki tim sepakbola yg bagus sepadan dengan tim elite dunia hanya perlu waktu dan kerja keras lagi. Lanjutkan.",cari kambing hitam sepakbolayg indonesia milik tim sepakbola bagus padan tim elite dunia kerja keras lanjut
"Gak apa anda sudah berusaha,kita coba lagi next world cup kita fokus besok di piala asia..kita tau membangun sepakbola butuh waktu..terima kasih sudah berjuang..",berusahakita coba next world cup fokus besok piala asiakita bangun sepakbola butuh waktuterima kasih juang
Terima kasih garuda telah berjuang untuk NKRI semoga berikutnya kita bisa ke pildun,terima kasih garuda juang nkri moga pildun
"Selesai sdh, Bravo timnas",selesai sdh bravo timnas
"Salut permainan timnas,bisa menandingi bola2 atas bikin Irak kesulitan, banyak peluang tercipta gol oleh Mauro kalo dia sontek bola keatas , tembakan Ole , dan James membelok tipis tiang kanan gawang, kegagalan ini hrs sbg pelajaran ,hrs adakan waktu 7-10 hr utk latihan uji taktik bersama, jangan lagi cuma 2-3 HR saja , siapapun pelatihnya,",salut main timnasbisa tanding bola bikin irak sulit peluang cipta gol mauro kalo sontek bola atas tembak ole james belok tipis tiang kanan gawang gagal hrs sbg ajar hrs adakan hr latih uji taktik hr latih
Semakin real....thats it..,realthats it
"Tenang bang kami uda biasa kalo kalah,ini karena belum rezeki 😭😭😭kami akan selalu dukung,doanya yg Bae""",tenang bang uda kalo kalahini rezeki dukungdoanya bae
Kesalahan besar fatal semua center bek gagal menutup shooting ke gawang☝️☝️☝️,salah fatal center bek gagal tutup shooting gawang
