komentar,komentar_bersih
"dinamika sepakbola,hal yg lumrah pergantian pelatih di tengah jalan,,, bahkan pelatih Uzbekistan yg sekarang meloloskan Uzbekistan ke piala dunia aja kemarin di pecat. tapi fans nya kaga berisik kaya disini... yg penting sekarang ambil pelajaran nya buat bekal next piala asia dan next pildun 2030 biar mental timnas makin strong",dinamika sepakbolahal lumrah ganti pelatih jalan pelatih uzbekistan lolos uzbekistan piala dunia kemarin pecat fans kaga berisik kaya ambil ajar bekal next piala asia next pildun biar mental timnas strong
Pasti semuanya sama raya situnggulang dan Yunus Nusi 😡😡🤔🤔🤔,raya situnggulang yunus nus
Bhaha dia emg gitu gw suka😂,bhaha emg gitu suka
ANJIIR BAHAN BAKAR NERAKA 😂😂😂,anjiir bahan bakar neraka
Ngakak😂,ngakak
Admin edann😂,edann
kesel banget tuh gw denger denger wkwk,kesel tuh denger denger
"Indonesia semakin maju dalam pembinaan sepak bolla, walau terhenti dalam mimpi masuk pildunia. Kegagalan ini jangan saling menyalahkan si A si B. Pengurus, pelatih udah maksimal berrusaha agar Timnas bisa tampil di ajang yg lebih tinggi ( pil dunia)@, Namun hasilnya lain jauh dr yg di harafkan. Kita tetap semangat Bravo Timnas. .. ❤❤❤⚽️",indonesia maju bina sepak bolla henti mimpi masuk pildunia gagal salah si si urus pelatih udah maksimal berrusaha timnas tampil ajang pil dunia hasil harafkan semangat bravo timnas
Selama mafia bola dan koruptor makmur bebas hidup di negeri ini jangan harap lndonesia masuk pildun. Piala AFF yg bukan agenda FIFA saja kita terpuruk.,mafia bola koruptor makmur bebas hidup negeri harap lndonesia masuk pildun piala aff agenda fifa puruk
Masalah nya yg didalam itu pada Sadar ga?,dalam sadar
"Hanya bisa 😭😭😭 Indonesia Indonesia Indonesia kami bangga dengan perjuangan kalian,,, timnas terbaik saat ini,,bg Jay idzes masih muda,,aku yakin dia akan masuk piala dunia,dengan pelatih dan timnas,, terbaik di tahun 2030,,,bila perlu pemain abroad semua kelak,,, bila perlu pemain liga satu jangan dimainkan lagi ,, bravo timnasku aku selalu mendukung kalian walau pun duka dan suka😢😢❤❤❤",indonesia indonesia indonesia bangga juang timnas baik inibg jay idzes mudaaku masuk piala duniadengan pelatih timnas baik pemain abroad kelak pemain liga main bravo timnasku dukung duka suka
Argentina : jadi rematch gak ?,argentina rematch
"Kesalahannya udah jelas bngt , PSSI kita masih korup",salah udah bngt pssi korup
Kl kita selalu mencari kmbng hitam kpn team nas mau mj??? Gw pribadi menaruh respek pd naturalisasi dan lokal yg sdh berjuang smpai titik darah penghabisan trim buat semua pemain team nas indonesia..👍🏾👍🏾👍🏾,cari kmbng hitam kpn team nas mj pribadi taruh respek naturalisasi lokal sdh juang smpai titik darah habis trim pemain team nas indonesia
Min konten kalian bikin air mataku yg terbendung dari kemarin akhirnya jatuh Always dukung garuda 🇮🇩❤️,konten bikin air mata bendung kemarin jatuh always dukung garuda
TERIMA KASIH TIMNAS INDONESIA KALIAN SUDAH BERJUANG DENGAN TERBAIK💪💪🇲🇨🇲🇨🇲🇨,terima kasih timnas indonesia juang baik
Satu hari nanti pasti indonesia akan ke piala dunia.. ketika semuanya sudah benar2 siap,indonesia piala dunia
"Waaaaah ini adminnya Buzzer PSSI euy, ga jadi puter ah",waaaaah adminnya buzzer pssi euy puter ah
saya sangat bagga dengan pencapaian mereka dan saya sangat sedih perjuangan mereka harus terhenti ku harap ini awal kebangkitan timnas kita mereka sangat luar biasa bisa terus maju walau di setiap pertandingan nya selalu di rugikan 😂😂😂😂,bagga capai sedih juang henti ku harap bangkit timnas maju tanding rugi
"Beritanya runtut dan tegassss , terimakasih min ✊🏼",berita runtut tegassss terimakasih
Tegakan kepala mu wahai... Pemain timnas... Maka km akan baik baik saja,tega kepala mu pemain timnas km
Saya salut timnas Indonesia 🇮🇩 bangkit walaupun gagal lolos piala dunia 2026❤,salut timnas indonesia bangkit gagal lolos piala dunia
"ya,,,kesalahannya adalah mengganti pelatih di tengah perjalanan kualifikasi,,,knp ga nunggu pas kualifikasi udh berakhir jika memang ingin pecat pelatih",yakesalahannya ganti pelatih jalan kualifikasiknp nunggu kualifikasi udh pecat pelatih
terima kasih timnas.minimal mimpi itu hampir nyata 🔥🦅,terima kasih timnasminimal mimpi nyata
Sebnernya sudah tau kekuatan Indonesia sty aku cinta padamu,sebnernya kuat indonesia sty cinta pada
Semangat,semangat
Total football ❎ Gagal total ✅,total football gagal total
"Sewaktu dengan shin tae young permainan Indonesia sudah bagus permainan cair, tinggal menunggu pemain no 9 atau target man. Eh sudah datang ole romeny, malah STY dipecat malah msuk pelatih ah sudahlah. Rombak semua permainan dan hasilnya ini. Hancur lebur🥀",shin tae young main indonesia bagus main cair tinggal tunggu pemain no target man ole romeny sty pecat msuk pelatih ah rombak main hasil hancur lebur
:Sakit Banget lihat Tangisan pemain diaspora Tom Haye Verdonk Jay Idzes aura sedihnya kuat banget untuk Indonesia 💔🥺💔🥺💔,sakit lihat tangis pemain diaspora tom haye verdonk jay idzes aura sedih kuat indonesia
"Masih ingat waktu lolos ke round 3 rasanya seneng banget karena otomatis lolos ke Piala Asia juga, smpe sekrang masih ga nyangka bisa bersaing di round 3 dan lanjut ke round 4 walaupun kecewa harus gagal tapi timnas sudah punya prestasi yg luar biasa",lolos round neng otomatis lolos piala asia smpe sekrang nyangka saing round round kecewa gagal timnas prestasi
Indonesia : gak jadi 😭,indonesia
"Yang ganti pelatih di tengah perjalanan bukan cuma kita lhoo... Australia, Arab dan Irak juga ganti pelatih di tengah jalan...ada yg berhasil ada yg gagal kita hrs ttp dukung timnas... Uzbekistan Ajja bgtu udah lolos malah pelatihnya di pecat kok dan di ganti Cannavaro...",ganti pelatih jalan lhoo australia arab irak ganti pelatih jalanada hasil gagal hrs ttp dukung timnas uzbekistan ajja bgtu udah lolos latih pecat ganti cannavaro
@hazardd117 okelah banyak.. tapi alasan ganti pelatihnya karena apa kalau indo bang? padahal terakhir indo dibawa menang sama arab saudi,oke alas ganti latih indo bang indo bawa menang arab saudi
Setuju pertanyaan saya fungsi ganti pelatih apa kalo gagal lolos piala dunia?,tuju fungsi ganti pelatih kalo gagal lolos piala dunia
Pelatih terbaik katanya 😢,pelatih baik
Mantaf min editingnya awal vidio,mantaf editingnya vidio
Bisnis naturalisasi dan perekrutan patrick emang menjanjikan dan nyata,bisnis naturalisasi rekrut patrick emang janji nyata
GOO 2030💥❤‍🔥😜🤪🤪🤪🤪🤪,goo
"Indonesia setiap mau maju, dibidang apapun, ada aja oknum"" Yg menghalanginya",indonesia maju bidang apa oknum halang
sesakit ini menjadi fans garuda ya alloh 😢,sakit fans garuda ya alloh
Terimakasih for timnas Indonesia 👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏👏 😊☺️ Kalian tetap membanggakan kami Terkecuali federasi and PSSI anda yg sangat bertanggung jawab atas sgl sesuatu yang berkaitan dg timnas 😢😢,terimakasih for timnas indonesia bangga kecuali federasi and pssi tanggung sgl kait dg timnas
Inilah media yang besar2 kan timnas sampe pasti lolos pildun 2026 eh akhirnya gagal jga,media timnas sampe lolos pildun gagal jga
"ambil Contoh Maroco walapun melakukan proses naturalisasi besar-besaran tapi dia memikirkan produk lokal nya kedua nya berjalan beriringan.. Ibarat makanan gak cuma makan yg instan-instan yg simple simple aja, ya bener enak nikmat tp belum cukup bikin tubuh kita lebih kuat & sehat apalagi target nya mau jd Atlet internasional.. Mumpung lagi jatoh nih Yukk perbaiki . ..",ambil contoh maroco walapun proses naturalisasi besarbesaran pikir produk lokal jalan iring makan makan instaninstan simple simple ya bener enak nikmat bikin tubuh kuat sehat target atlet internasional mumpung jatoh yukk baik
"Bagi saya semuanya berjasa atas timnas, tidak ada yang harus disalahkan , sty, PSSI, atau petrik kliver, semangat timnas",jasa timnas salah sty pssi trik kliver semangat timnas
STY mengubah mimpi jadi harapan.. Kluivert mengubah harapan jadi mimpi ke pildun.,sty ubah mimpi harap kluivert ubah harap mimpi pildun
