komentar,komentar_bersih
Sty itu berjuang dari awal tapi di rusak di akhir oleh org lain,sty juang rusak orang
"Towel,Justin dkk mana ni ????",toweljustin dkk ni
"Bang, STY di pecat lagi di club Ulsan HD karena kalah mulu, gak ada prestasi, ini bukti bahwa memang sty wajar di ganti oleh pak Erick tohir. saat melatih timnas STY juga 5 tahun tidak ada gelar apa apa, bahkan sekelas piala ciki AFF saja sty gak mampu. Di jaman STY ini juga banyak bermunculan bazzer bazzer yang menyerang suara atau pendapat yang berbeda sgn sty, dan menyerang suara suara yang ingin timnas menang. Bazzer ini yg selalu membela sty dan menyerang supirter timnas yg mengkritik sty karena 5 tahun gak bisa bawa timnas juara apa apa, alias 0 trophy dengan gaji yg fantastis",bang sty pecat club ulsan hd kalah mulu prestasi bukti sty wajar ganti erick tohir latih timnas sty gelar kelas piala cik aff sty jaman sty muncul bazzer bazzer serang suara dapat beda sgn sty serang suara suara timnas menang bazzer bela sty serang supirter timnas kritik sty bawa timnas juara alias trophy gaji fantastis
Bahkan sty bisa lebih,sty
Sebenarnya patrik itu gak ngerti bola yg ngerti bola alex pastor lihat aja dari awal jadi asisten patrik dia ngasih instruksi ke patrik tapi patrik gak mau ngejalani strategi yg di berikan alex,patrik ngerti bola ngerti bola alex pastor lihat asisten patrik ngasih instruksi patrik patrik ngejalani strategi alex
Alangkah baik nya cari pelatih dari Jepang... Itu sangat cocok dengan lokal dan natur,alangkah cari pelatih jepang cocok lokal natur
"Bedanya dengan STY adalah penanganan tim dari mulai U20 sampai senior Coba kalau hanya senior yang ditangani, pasti akan berbeda cerita. Makanya dengan proses panjang tentu karena faktor demikian",beda sty tangan tim senior coba senior tangan beda cerita proses faktor
"​ @verijegaman3634 main bola sekkarang terlalu kaku dengan taktik, padahal pemain punya kebebasan",main bola sekkarang kaku taktik pemain bebas
Sty kalau sudah ada skuad semewah itu aku jamin arab dan Irak pasti kalah,sty skuad mewah jamin arab irak kalah
modal menang penalti lawan bahrain arya situ waras,modal menang penalti lawan bahrain arya situ waras
Sty masih yang terbaik belum pernah kalah lawan Arab dan ketika lihat taktik sty pemain itu tau kemana bola harus mengalir permainan sedap di pandang dan tak pernah saya lihat pelatih luar negeri yang sedekat Sty dengan pemain nya kaya anak BPK gitu,sty baik kalah lawan arab lihat taktik sty pemain mana bola alir main sedap pandang lihat pelatih negeri dekat sty pemain kaya anak bpk gitu
biasa udah kebiasaan orang indonesia suka memperbaiki yg sudah baik contohnya rumput setadion JIS udh bagus diganti mlh lebih ancur itu lah pejabat indonesia,udah biasa orang indonesia suka baik contoh rumput setadion jis udh bagus ganti mlh ancur jabat indonesia
Udah yapping nya ?,udah yapping
"yakin dong sty pas lawan bahrain aus gol banget sampe 2 gol, lawan arab sampe tembus 2 gol",sty lawan bahrain aus gol sampe gol lawan arab sampe tembus gol
Kelihatan siapa yg GK suka dgn sty,suka sty
"Yang jelas.. ganti pelatih STY, salah.. total..",ganti pelatih sty salah total
Yang jelas mengganti STY.. salah totalll..❤❤,ganti sty salah totalll
"Yang jelas..mengganti STY,salah besar..❤❤",jelasmengganti stysalah
#patrick Kluivert out,patrick kluivert out
"Warga iraq juga menghujat si Patrick...gara ² ada media arab yg nanya ke dia, kata nya, siapa yg akan Lolos piala Dunia arab Saudi atau iraq.. si Patrick Langsung jawab Saudi Arabia 😂dia jawab gitu Langsung Warga iraq ga terima dan menghujat nya",warga iraq hujat si patrickgara media arab nanya lolos piala dunia arab saudi iraq si patrick langsung saudi arabia gitu langsung warga iraq terima hujat
Bahkan bisa lebih bang,bang
Udah lh..gak usah muluk2 sama piala dunia. Aff aja kita blum pernah menang.,udah lhgak muluk piala dunia aff blum menang
Yang tdk ngerti bola pasti membela patrick,ngerti bola bela patrick
"Cuma ngandelin Pinalti doang, ganti pelatih bukannya malah bagus tapi malah ampass 😂 sekarang peringkat fifa kalah sama tetangga sebelah 😂",ngandelin pinalti doang ganti pelatih bagus ampass peringkat fifa kalah tetangga belah
2 match 6 point . 3 dari lawan China juga 1 gol penalty dan setelah itu gabisa ngapa2in jugak 😂,match point lawan china gol penalty gabisa ngapa in jugak
Uda jngn balikin sama mantan hehe mssi mending cari pelatih yg punya rekam jejak bagus di dunia... Sty out patrik out,uda jngn balikin mantan mssi mending cari pelatih rekam jejak bagus dunia sty out patrik out
Bisa lebih minimal bisa nahan imbang,minimal nahan imbang
Bro orangnya dah bikin video cuci tangan dia,orang dah bikin video cuci tangan
"Jangankan STY, Mcmenemy juga bisa broo",sty mcmenemy broo
PATRICK TDK BISA DI PECAT KARENA TAU KARTU AS PARA BANDAR YANG ADA DI PSSI😂😂😂😂,patrick pecat kartu as bandar pssi
sebenarnya vibes timnas seru banget sih. Tapi berujung kekecewaan dgn salah pilih pelatih. Rasanya udah waktunya mundur dari nyimak topik timnas di medsos. . Bye bye.🇮🇩👏,vibes timnas seru ujung kecewa salah pilih pelatih udah mundur nyimak topik timnas medsos bye bye
Sekarang 6match 6 poin,match poin
Betul. Cuman 2x menang di GBK.. 4 lainnya away KALAH,cuman menang gbk away kalah
Semua itu uwang bos kalo sty terlalu jujur dan dak mau sandiwara mknya di ganti gak seger di dompet😂,uwang bos kalo sty jujur dak sandiwara mknya ganti seger dompet
​ @pakyayukngrawan iya katanya STY dipecat Gegara laga tandang naik kendaraan ekonomi 😢,iya sty pecat gegara laga tandang kendara ekonomi
STY BISA LEBIH POIN BAHKAN MATCH PERTAMA VS AUSTRALIA BISA SAJA SAMA STY DITAHAN IMBANG. VS CHINA BAHKAN BISA SAJA LEBIH DARI 1 GOL. VS BAHRAIN PUN SAMA BISA SAJA LEBIH DRI 1 GOL.. MAIN DIKANDANG,sty poin match vs australia sty tahan imbang vs china gol vs bahrain dri gol main kandang
Setiap kejuaraan pasti ada yg kalah dan yg menang...klu blom bisa menerima kedua nya .. jangan ikut.. karena penonton atau Pandit lebih pintar dari pemain dan pelatih... Sadar donk negara lain juga mempersiapkan diri dgn baik... Juga pemain dari negara lain hebat2 tak kalah dgn negara kita..,juara kalah menangklu blom terima tonton pandit pintar pemain pelatih sadar donk negara pemain negara hebat kalah negara
Sty out. Pk out dan cari pelatih yg kelas dunia Gus hiding tah van brongkos,sty out pk out cari pelatih kelas dunia gus hiding tah van brongkos
​ @IshadiIshadi-k2i percuma bro klo masih ada mafia bola,mafia bola
​ @IshadiIshadi-k2i kaga ada yg mau,kaga
​ @IshadiIshadi-k2i ngk semudah itu menemukn yg cocok udah benar sty tapi sudahlah nasi udah jadi bubur,ngk mudah menemukn cocok udah sty nasi udah bubur
Kalau sty tidak melakukan belunder di putaran ke3 waktu lawan Bahrain dan China yang pasti Indonesia sudah lolos tanpa harus masuk putaran ke4 karena jika Indonesia menang lawan Bahrain dan China yang pasti Indonesia di grup c adalah juara ke2 kalau di hitung dari poinnya,sty belunder putar lawan bahrain china indonesia lolos masuk putar indonesia menang lawan bahrain china indonesia grup juara hitung poin
"Akhirnya,,muncul lagi 2 kubu netizen,,😂😂",akhirnyamuncul kubu netizen
Hoki ny sty karna taktik ny bertahan/parkir bus mknya yg di cari hasil seri,hoki ny sty taktik ny bertahanparkir bus mknya cari hasil seri
"​ @riz14channel93 masuk akal lah klw parkir bus, line up kita gak mewah kok di zaman Sty",masuk akal klw parkir bus line up mewah zaman sty
​ @riz14channel93 berarti Mourinho juga cuma hoki ya bos kan mainnya parkir bus juga,mourinho hoki ya bos main parkir bus
​ @riz14channel93 org yg gak mengikuti timnas dri dulu ya gini modelnya wkwkwk,orang ikut timnas dri ya gin model
"STY lebih ampass broo, gk usah mimpi",sty ampass broo mimpi
Lo pikir zilstra ole miliano mw join klo masih sty??? Wkwkwk jaman sty aj miliano ogah2an . Malah msh mgarep masuk skud belanda.. dy bru mw join indo pas ad PK,pikir zilstra ole miliano mw join sty jaman sty aj miliano ogah an msh mgarep masuk skud belanda dy bru mw join indo ad pk
​ @SaltyCommentYouNeed berarti pk lebih bagus dri sty hanya karena alasan konyol tadi wkwkwk,pk bagus dri sty alas konyol
