komentar,komentar_bersih
Ke gagalan adalah pelajaran yg sangat berharga doa dukungan buat pejuang timnas menjadi sejarah bisa masuk round 4 PPD Kami rakyat indonesia terus mendukung timnas kami bravo Timnas 💪,gagal ajar harga doa dukung juang timnas sejarah masuk round ppd rakyat indonesia dukung timnas bravo timnas
"Cakep banget pemain PERSIB mainnya, Tom, Aliano, SALUT ATAS PERJUANGSN KALIAN.",cakep pemain persib main tom aliano salut perjuangsn
"Hari yg menyenangkan bwd towel,Arya, tohir",senang bwd towelarya tohir
"Kalah menang hal yang biasa, Kalian garudaku sudah berjuang, terimakasih atas perjuangan kalian. Teruss semangat garudaku",kalah menang garuda juang terimakasih juang teruss semangat garuda
Mantap Pak Erick 😂!,mantap erick
Ketum PSSI dan pelatih PK harus bertanggung jawab,tum pssi pelatih pk tanggung
"Tidak usah sedih lagi bg haye kalian para pemain timnas Indonesia,kami para superter selalu mendukung perjuangan kalian semua nya,kami sangat bangga dan selalu mendukung.",sedih bg haye pemain timnas indonesiakami superter dukung juang nyakami bangga dukung
Timnas Ksyngan Ku.....Klian Semua Sangat Trbaik Dan Tlah Mmbuktikan Kmampuan Yg Luar Biasa Trus Lah Brjuang & Ttap Smangat Sprti Biasa Krena 2030 Tlah Menanti Kalian,timnas ksyngan kuklian trbaik tlah mmbuktikan kmampuan brjuang ttap smangat sprti krena tlah
yg mengecewakan bukan kekalahan lawan irak tetapi peluang terbesar kita masuk piala dunia yang harus pupus karena keputusan erik tohir,kecewa kalah lawan irak peluang besar masuk piala dunia pupus putus erik tohir
Sudah berjuang untuk timnas Indonesia.terimakasih,juang timnas indonesiaterimakasih
Terima kasih punggawa Garuda kalian luar biasa,terima kasih punggawa garuda
Kesalahan fatal mengganti pelatih,salah fatal ganti pelatih
"Trima kasih telah Berjuang untuk Indonesia,kalah hal yg biasa ,semoga kedepannya lebih matang dan kompak lagi.",trima kasih juang indonesiakalah moga depan matang kompak
Terus semangat garudaku..kami tetap pahlalawan bangsa,semangat garudakukami pahlalawan bangsa
"se 7 spndapat ,bner2 gk kerja semalem wasit buat cek var gedek sendiri gua bg",spndapat bner kerja semalem wasit cek var gedek bg
Sudah tak ada harapan dah,harap dah
Ngaku aja lah bray kalau Indonesia masih blm bagus permainannya walaupun wasitnya berat sebelah,ngaku bray indonesia blm bagus main wasit berat belah
Cair2,cair
Tangis bahagia,tangis bahagia
betul air mata durhaka..,air mata durhaka
