komentar,komentar_bersih
"bukan cari kambing hitam, tapi tersingkir dengan kebodohan sendiri sungguh miris....",cari kambing hitam singkir bodoh sungguh miris
Di ganti pelatih malah gagal lolos piala dunia,ganti pelatih gagal lolos piala dunia
kita selama ini cuman ditipu PSSI,cuman tipu pssi
asnawi yg underperform sty yg dipecat..,asnawi underperform sty pecat
"Percaya gak ada mafia? Mustahil, sty aja bisa dilengserkan ditengah jalan, apalgi masang bekam klok saat pertandingan krusial😂 mafia,bisa bgt melakukan itu",percaya mafia mustahil sty lengser tengah jalan apalgi masang bekam klok tanding krusial mafiabisa
"Si botak Justin nggak upload video 😂😂, padahal semua pundit buat video tentang kekalahan indo , termasuk mamat, Hanif dan, bung binder 😏😏",si botak justin upload video pundit video kalah indo mamat hanif binder
Kalau Sty kalah : Sty out 🤬🤬🤬 Kalau Patrick kalah : sisakan ruang ikhlas 🙃🙃🙃,sty kalah sty out patrick kalah sisa ruang ikhlas
"Dari gua masih bujang cok😅 ngawal timnas jalani kualifikasi pildun mulai dari lawan Brunei, sekarang gua udh punya anak satu, dan di gagal kan si Kluivert tai",bujang cok ngawal timnas jalan kualifikasi pildun lawan brunei udh anak gagal si kluivert tai
"Kambing nya sudah ada jangan pura"" menjadi kambing putih hitam.nyatanya kambing itu kamufkase. Patrik data mengacak"" yang sudah bagus.hasilnya seluruh rakyat indonesia kecewa sangat kecewa...pelatih medioker kok menggantikan sty...katanya mau meloloskan ke pildun faktanya kacau balau dari pemilihan pemain pemahaman taktik kureng. Menurut saya wajib evaluasi 95% out. Investugasi patrik.. apakah ada praktek judol atau tidaknya.segera ada keputusan pak erik",kambing pura kambing putih hitamnyatanya kambing kamufkase patrik data acak bagushasilnya rakyat indonesia kecewa kecewapelatih medioker ganti stykatanya lolos pildun fakta kacau balau pilih pemain paham taktik reng wajib evaluasi out investugasi patrik praktek judol tidaknyasegera putus erik
Klw blunder pemain pelcija. Aman gak ada yg bahas..wkwkwk. gk persib gak makan. Gak jawabarat gak makan😂😂,klw blunder pemain pelcija aman bahaswkwkwk persib makan jawabarat makan
media buzzer erik😅,media buzzer erik
"Admin malas buat video ya, bikin nya kebanyakan pake AI",malas video ya bikin banyak pake ai
ET PK Pekok,et pk kok
gua udah pesimis saat STY di pecat dan di gantikan kulivert. kecewa udah pasti. lebih sakit lagi indonesia gagal bersama pelatih kulivert bukanya STY😢😢😢😢,udah pesimis sty pecat ganti kulivert kecewa udah sakit indonesia gagal pelatih kulivert buka sty
"Ini timnas ibaratkan d bangun luis mila, d bgus kan oleh STY, trus d hancurkan oleh Patrick decul🤣",timnas bangun luis mila bgus sty hancur patrick decul
Sayang buang buang duit negara sampai jor joran menaturalisasi pemain dan tahu tahunya hasil akhirnya kayak gini memalukan,sayang buang buang duit negara jor joran naturalisasi pemain tahu hasil gin malu
“Cuma di P͟U͟L͟A͟U͟W͟I͟N broo” — cuma di mana maksud lo?! 😭,pulauwin broo maksud
Emang Indonesia belum layak ke piala dunia jadi jangan saling menyalahkan😢. Semoga kita menjadi lebih kuat di kualifikasi 2030,emang indonesia layak piala dunia salah moga kuat kualifikasi
"Menurut pribadi hanya Kluivert yg di pecat, pastoor jadi pelatih sementara Simon,jordi dari belanda😂 Pasti pelatihnya dari belanda lagi jika semua gerbong dipecat Jika pelatih liga 1 mungkin bernardo tavares sama seperti Sty dari permainan Pragmatis😅 tinggal STAFF SAJA tavares tau tentang liga indonesia",pribadi kluivert pecat pastoor pelatih simonjordi belanda latih belanda gerbong pecat pelatih liga bernardo tavares sty main pragmatis tinggal staff tavares liga indonesia
