komentar,komentar_bersih
Ganti seluruh jajaran exco,ganti jajar exco
​ @pintotubagus8105 kalau itu baru setuju Tapi Yg bisa keluar kan siapa?,tuju
Kita dengar dan lihat nanti alasan yg berbelit dari tim PSSI,dengar lihat alas belit tim pssi
Alex fastoor yg ambil alih,alex fastoor ambil alih
Carilh pelatih yg seperti STY yg menetap di indonesia sehingga tau perjlnn timnya...bukn cuma waktu main aj baru ke indonesia.,carilh pelatih sty tetap indonesia perjlnn timnyabukn main aj indonesia
Sty ttp yg terbaik,sty ttp baik
Nggak diganti bagaimana wong Patrick klepert nggak becuss wong dia dipecat dari timnas curacao sekarang curracao nggak dilatih patrick klepert lolos ke piala dunia,ganti patrick klepert becuss pecat timnas curacao curracao latih patrick klepert lolos piala dunia
Kualitas PATRICK sama saja dengan ocehan TOWEL....,kualitas patrick oceh towel
Dari segi taktik udah yg terbaik? Apa indikatornya?,segi taktik udah baik indikator
Gk ada sepak bola.... Pro kontra.. Ruwet...,sepak bola pro kontra ruwet
Pelatih kepala tetap dipertahankan. Karena udh cukup bagus bisa membawa sampai ke round 4,pelatih kepala tahan udh bagus bawa round
"Setuju segala sesuatu butuh proses,,, jangan selalu ganti pelatih..",tuju butuh proses ganti pelatih
campur aduk kepentingan politik dan hobi org2 exco termasuk ET,campur aduk penting politik hobi orang exco et
Erik tohir mundur. Dia paling brtanggung jawab,erik tohir mundur brtanggung
"​ @azizchannelnew Pak Erik Tohir memang akan mundur, tinggal menunggu waktu saja, mengingat sekarang sudah menjabat sebagai MENPORA. Mungkin sampai Munas PSSI atau sebelum Munas PSSI.",erik tohir mundur tinggal tunggu jabat menpora munas pssi munas pssi
​ @azizchannelnew lu aja yg mundur...PK out gw setuju tp ET tidak..,mundurpk out tuju et
"Itu yg punya ide ganti pelatih wajib mundur si. Dia kan tw kalo resiko ganti pelatih bakal lolos atau ga lolos, nyatanya hasilnya indonesia ga lolos piala dunia. Jadi ketum PSSI harus mundur, karena ini resiko yg harus dia terima",ide ganti pelatih wajib mundur si tw kalo resiko ganti pelatih lolos lolos hasil indonesia lolos piala dunia tum pssi mundur resiko terima
"Tdk perlu tunggu dia mundur tp hrus di pecat secepat2nya ,,",tunggu mundur hrus pecat cepat
ERICK TOHIR AND THE GANK OUT !!!,erick tohir and the gank out
"Namanya juga mencoba bro. Arab saja ganti pelatih ditengah. Irak jg ganti ditengah2. Mslhnya pemain kita eropa kualitas jeblok. Liat aja shoot pemain kita sejelek apa. Beda sama arab irak, dapat shoot bagus bs goal. Lu pake pelatih guardiola pun klo kualitas gitu mana bisa",nama coba arab ganti pelatih tengah irak jg ganti tengah mslhnya pemain eropa kualitas jeblok liat shoot pemain jelek beda arab irak shoot bagus bs goal pake pelatih guardiola kualitas gitu
"​ @LionHeart789 gini Lo bro, emang iya kualitas kita buruk, sepakat lah semuanya, cuma si sty udah paham dengan skuad yang ada, udah dapat formasi yang tepat walaupun itu pragmatis dan kurang enak di tonton, terus arab Saudi ganti pelatih pun pelatih nya orang lama, Dia jadi pelatih arab sebelum Mancini, kita juga pada tau kalau pemain diaspora itu rata rata atas dasar permintaan Sty jadi kebanyakan dari mereka adalah yang di butuhkan oleh Sty, ingat setiap pelatih memiliki strategi yang berbeda. Dan lagi, sty target nya masuk piala dunia 2026, sedangkan pelatih baru target nya masuk piala dunia tahun 2030, kan mending Sty g sih kalo kaya gitu.",gin emang iya kualitas buruk sepakat si sty udah paham skuad udah formasi pragmatis enak tonton arab saudi ganti pelatih pelatih orang pelatih arab mancini pemain diaspora dasar minta sty banyak butuh sty pelatih milik strategi beda sty target masuk piala dunia pelatih target masuk piala dunia mending sty kalo kaya gitu
​ @LionHeart789 Sudah masuk periode krusial masih mencoba coba .... itu namanya gak ada niat lolos pildun ... mestinya ganti pelatih ditarget lolos pildun ... kalau ganti pelatih tambah zonk hasilnya buat apa ganti pelatih ? ...,masuk periode krusial coba coba nama niat lolos pildun mesti ganti pelatih target lolos pildun ganti pelatih zonk hasil ganti pelatih
Pundit buzer pssi .... yang penting misi menyingkirkan sty sudah sukses ... gak urus kalah menang ..... 😂,pundit buzer pssi misi singkir sty sukses urus kalah menang
​ @GatotSuharno jawaban ny ada di konten bung binder bersama ex Exco P55I KONOHA. Di dalam ada yg tidak senang dengan 5TY. Karna orang ny engga bisa di atur2.,ny konten binder ex exco konoha senang ty orang ny engga atur
"That's right, friends, PK non Target Sty SDH Target PD is confused by the management changing coaches in the middle of the road. This is all a behind-the-scenes game, not changing a world-class coach but using a bad coach.",thats right friends pk non target sty sdh target is confused by the management changing coaches in the middle of the road this is all behindthescenes game not changing worldclass coach but using bad coach
"Trik politik sampah yg dilakukan ET, Demi suara untuk 2029 dia nekat mengganti STY, karna kalah pamor. Kalau indonesia lolos pildun dibawah PK rakyat indonesia akan bertrimakasih berkat dia sudah mengganti STY, Kalau Indonesia gagal Pildun Rakyat akan rame2 nyalahin PK seperti saat ini. Lolos atau tidaknya ET posisinya aman kalau pelatihnya PK.",trik politik sampah et suara nekat ganti sty kalah pamor indonesia lolos pildun bawah pk rakyat indonesia bertrimakasih berkat ganti sty indonesia gagal pildun rakyat rame nyalahin pk lolos tidak et posisi aman latih pk
"@wakwaw7670 tapi jangan salah, kalau sudah menyakiti masyarakat sepakbola indonesia, hasilnya bakal buruk. Contoh lah apa yang terjadi dengan pak GP sebelum ini",salah sakit masyarakat sepakbola indonesia hasil buruk contoh gp
"​ @wakwaw7670 gw tau bang PSSI adalah kendaraan politik yang cukup bagus, tapi dengan membabi buta ttp bela Erik, setelah pecat Sty semisal Erik pen jadi pemimpin dan butuh suara gw, dengan senang hati gw pilih lawan Dia",bang pssi kendara politik bagus babi buta ttp bela erik pecat sty erik pen pimpin butuh suara senang hati pilih lawan
Orang kemarin pas kampanye pilpres pak Prabowo aja pak Erik bawa embel embel sepak bola bg,orang kemarin kampanye pilpres prabowo erik bawa embel embel sepak bola bg
"Dia itu ambisius...,cuma knp masuk ke tubuh PSSI.Yang lebih aneh jd ketum PSSI.Mungkin krn dia pebisnis kelas kakap.Tim Exco nya PSSI yg mata duitan langsung open the door.",ambisiuscuma masuk tubuh pssiyang aneh tum pssimungkin bisnis kelas kakaptim exco pssi mata duit langsung open the door
Menurut saya mainnya sih udah ok hanya saja indonesia itu tidak punya striker yg benar benar mematikan dan kurangnya pemain kreatif tp kesalahan yg fatal itu di match lawan arab saudi jadi kluivert harus mengundurkan diri bahkan layak dipecat tp misalkan diganti berharap tetap ambil pelatih dari eropa,main udah ok indonesia striker mati kurang pemain kreatif salah fatal match lawan arab saudi kluivert undur layak pecat ganti harap ambil pelatih eropa
Artinya timnas mulai lagi dari nol!!! cape de,timnas nol cape de
"Pagi bung,,,,, Semua harus d evaluasi, pedrasi/ tim kepelatihan, yg palang penting yg hrs d evaluasi besar2an Pandit Indonesia,,,,,, contoh nya, pelatih sty pake pemain disapor yg dominan d ketik habis2an, katanya percuma menang juga permainan diaspora semua, ganti pelatih baru d padukan Dispora sama lokal gagal, semua Pandit yg g konsisten keritiknya sekarang seolah2 lupa apa yg dia keluarkan,,,, tapi bung g seperti itu, sy percaya suara sy akan d wakili SM bung binder,,,,❤❤❤❤❤ bung binder....",pagi evaluasi pedrasi tim latih palang hrs evaluasi an pandit indonesia contoh pelatih sty pake pemain disapor dominan ketik habis an menang main diaspora ganti pelatih padu spora lokal gagal pandit konsisten keritik lupa keluar sy percaya suara sy wakil binder binder
"Terima kasih Pak eric, Puluhan tahun TImnas jadi lawakan dunia sekarang jadi. Attensi Terima kasih Timnas Semoga kedepan lebih baik",terima kasih eric puluh timnas lawa dunia attensi terima kasih timnas moga depan
Betullllll,betullllll
Sekarang narasinya sty 6 laga 6 poin Kopet 2 laga 6 poin juga Seolah-olah dua laga kopet itu luar biasa,narasi sty laga poin kopet laga poin seolaholah laga kopet
Waduuhh waduuuhhh 😄😄😄,waduuhh waduuuhhh
Mewakili bang 🙏🙏🙏,wakil bang
ALHAMDULILLAH.... SELAMAT LAGI DUIT RAKYAT......😊,alhamdulillah selamat duit rakyat
Tompel harus bertanggung jawab atas kegagalan ini....,tompel tanggung gagal
"Undang jeje untuk podcas bung,untuk mengulas timnas",undang jeje podcas bunguntuk ulas timnas
"Penggantinya pelatih timnas, sama bojan hodak bung",ganti pelatih timnas bojan hodak
"Nah gitu bung ,judulnya TEGAS",gitu judul
strategi,strategi
"harus bersabar kembali, meskipun sangat kecewa semoga yg akan datang pemain memang benar benar berjuang untuk kemenangan.",sabar kecewa moga pemain juang menang
kawal #PKOUT,kawal pkout
Sebaiknya anda yg JD pelatih bs JD indo lgs jd juara dunia,pelatih bs indo lgs juara dunia
semua butuh proses kegagalan timnas ke piala dunia adalah proses untuk mencapai lolosnya timnas Indonesia ke tingkat dunia dimasa yg akan datang kita sudah lari sejauh itu tapi gagal nah sekarang kita sudah punya pengalaman dari kegagalan itu,butuh proses gagal timnas piala dunia proses capai lolos timnas indonesia tingkat dunia masa lari gagal alam gagal
Hanya shin tha young sty kami bangga dan rindu,shin tha young sty bangga rindu
Kalau mau eropa saya pilih jerman atau italia,eropa pilih jerman italia
