komentar,komentar_bersih
"Bayangin bro gmn Dy usaha keras bangkitkan timnas dr yg selalu diejek2 di negara Asean menjd dipandang eh sekrg malah dibuat terpuruk,, anj banget dah org2 yg terlibat ini",bayangin gmn dy usaha keras bangkit timnas ejek negara asean menjd pandang sekrg puruk anj dah orang libat
"Kok kegagalan jd pilihan, mau siapapn platihnya y lolos pildun target nya..",gagal pilih siapapn platihnya lolos pildun target
"Sekelas pelatih timnas mengajarkan passing,dribling,pola makan sampai2 pola hidup sehat,luar biasa, kl tdk dgn hati mn mgk mau, luar biasa STY",kelas pelatih timnas ajar passingdriblingpola makan pola hidup sehatluar hati mn mgk sty
"@brainvoltz awokwok betul, parahnya bocil fomo tuh ngertinya cm pernah megang inter dan relasinya kuat.. pdhl kinerja si ET ini buruk banget😂 ngurus inter ga becus, proyek oxford jg ga becus smpe ngorbanin lino, ole jg jdi korban eventnya doi, ngurus bumn juga kaga bener, ngurus pssi cm manis diawal, setelah ini malah mau ngurus menpora aduhh manis diawal lagi sih ini😅",awokwok parah bocil fomo tuh ngertinya cm megang inter relasi kuat pdhl kerja si et buruk ngurus inter becus proyek oxford jg becus smpe ngorbanin lino ole jg korban eventnya doi ngurus bumn kaga bener ngurus pssi cm manis awal ngurus menpora aduhh manis awal
Lu kira bensin😂 liat STY sekarang di pecat klub jepang Ulsan hyundai karena apa? Karena jelek,bensin liat sty pecat klub jepang ulsan hyundai jelek
​ @Starboymlbbchannel trus I donesia bisa sampe tahap skrng AP Krn si Kluivert???serius nanya??apakah dia yg bngun team ini???serius nanya boss,donesia sampe tahap skrng ap si kluivertserius nanyaapakah bngun team iniserius nanya boss
"@Starboymlbbchannel berarti PK lebih jelek dong, ga bisa menang samsek lawan yang mereka sendiri ga pernah kalah di round 3?😂",pk jelek menang samsek lawan kalah round
​ @Starboymlbbchannel komen fomo lo ni wkwkkw,komen fomo ni wkwkkw
"males nonton indonesia sejak ganti sty,, tapi dipenghujung acara ini saya ingin mendengarkan komentar ini",males nonton indonesia ganti sty hujung acara dengar komentar
"Musuh sejati sepakbola indonesia itu cmn 1, PSSI.",musuh sejati sepakbola indonesia cmn pssi
Sampai jumpa kawan 5 tahun kedepan di piala dunia kemudian :(,jumpa kawan depan piala dunia
1 menit pertama kayak asmr ya bang fer,menit asmr ya bang fer
Sosok yang paling gw benci saat ini dari semua pemimpin yang ada di negeri ini adalah Erick Thohir. Ngak tau kenapa bahkan hanya melihat fotonya saja sudah muak— penyakit hati kali yah😂,sosok benci pimpin negeri erick thohir ngak foto muak sakit hati kali yah
"keinget dlu pas sty yg jadi coach,pasti semangat bgt nontonnya. skrg zaman males nntn indo kembali datang",keinget dlu sty coachpasti semangat nontonnya skrg zaman males nntn indo
"solusi tercepat menurut saya untuk saat ini adalah reformasi PSSI, dari hulu sampai hilir. meritokrasi dalam olahraga masak ndak ada, terutama bola. 5 tahun sekali hanya begini saja. kita kawal PSSI.",solusi cepat reformasi pssi hulu hilir meritokrasi olahraga masak ndak bola kawal pssi
akhirnya di tungu2 salam om dari makassar,tungu salam om makassar
"Podcast Trivella Selanjutnya Seru ni 😂, patut untuk ndi tunggu",podcast trivella seru ni patut ndi tunggu
PSSI harus tanggung jawab,pssi tanggung
"Ini kemarahan udah di ujung tanduk, gila kalo masih pertajanin Kluivert. gak ada malu kalo ET masih ngejabat ketum PSSI dan Menpora sekaligus.",marah udah ujung tanduk gila kalo pertajanin kluivert malu kalo et ngejabat tum pssi menpora
SALAM HORMAT BANG FERRY.... SAYA NONTON DI AFRIKA... SALAM HANGAT😊,salam hormat bang ferry nonton afrika salam hangat
"udah bang uneg"" kita sama!",udah bang uneg
