komentar,komentar_bersih
Nomer 5 ampas,nomer ampas
Pecat erik tohir guntatai pelatih mulu,pecat erik tohir guntatai pelatih mulu
"BLUNDER SEWAKTU GANTI PELATIH,,",blunder ganti pelatih
Yen mg rep ggal e w mding rsh di gnti sty,yen mg rep ggal mding rsh gnti sty
Gol irak kesalahan siapa ada yg Tau.? Yaa benar kesalahan si RR banyak gaya wkwk 😅,gol irak salah yaa salah si rr gaya
"Haha jgn brharap lolos lh timnas, dari pada bikin malu negara nnti dbantai""",jgn brharap lolos lh timnas bikin malu negara nnti dbantai
Bahan bakar neraka ga tu😂,bahan bakar neraka tu
Bodo amat gua mau di hujat sama orang-orang tapi intinya pak erick thohir adalah orang yang patut bertanggung jawab titik😡,bodo hujat orangorang inti erick thohir orang patut tanggung titik
Erick out Patrick Out,erick out patrick out
Indonesia jagonya main tiktok an doang kalau ditanya sepakbola sampai kiamatpun gak bakalan maju,indonesia jago main tiktok an doang sepakbola kiamat maju
Kasian pemain keturunan yang rela ganti paspor negara asalnya dengan paspor indonesia hanya demi membawa Indonesia lolos ke piala dunia 2026 tapi berujung gagal😢,kasi pemain turun rela ganti paspor negara asal paspor indonesia bawa indonesia lolos piala dunia ujung gagal
PATRICK OUT !,patrick out
Indonesia resmi pecundang dengan staf pelatih terbaik ... Selamat pecundang Indonesia 😂😂😂,indonesia resmi cundang staf pelatih baik selamat cundang indonesia
Belum layak lah lolos pildun,layak lolos pildun
FEDERASI GAK BELAJAR DARI ARAB SAUDI DAN CURACAO. PADAHAL SUDAH DIKASIH BUKTI NYATA SAMA 2 NEGARA ITU 🤦‍♂️,federasi ajar arab saudi curacao kasih bukti nyata negara
Erick Thohir out,erick thohir out
"Tinggal menunggu transfer AFC dan federasi arab untuk uang duka tidak lolos pildun 2026, besarannya dirahasiakan wkwk Aslinya bisa poin 6, materinya pemainnya sudah sebagus itu...asli pelatihnya yang ga beres",tinggal tunggu transfer afc federasi arab uang duka lolos pildun besar rahasia asli poin materi main bagus ituasli latih beres
Pecat pelatih,pecat pelatih
Ini semua karena federasi dipegang mafia dan kelompoknya partdi penting dan krusial dijadikan ladang menggiurkan karena lawan Arab ??? Antara harga diri dan kepentingan 😂😂???. Akhirnya straregi nafia memilih kepentingan dengan strategi aneh dan janggal ???😂 inikah demi bisnis bola demi kesampingkan harga diri bangsa,federasi pegang mafia kelompok partdi krusial jadi ladang giur lawan arab harga penting straregi nafia pilih penting strategi aneh janggal bisnis bola samping harga bangsa
"Ga bakal masuk pildun, jauh kualitas nya, blm pantas kita masuk, harus sudah level seperti Jepang dan korea baru bisa masuk",masuk pildun kualitas blm masuk level jepang korea masuk
Patrick emang tololl,patrick emang tololl
beckam bocah baru kmrin sore sok2an pling kayak senior sja,beckam bocah kmrin sore sok an pling senior sja
"jangan saling mencari kambing hitam? VIDEO LU SEBELUMNYA AJA ""PATRICK OUT"" KWKKW 🤣",cari kambing hitam video patrick out kwkkw
"Patrik out sih, ga guna jga jadi pelatih. Bagus si alex aja",patrik out jga pelatih bagus si alex
