komentar,komentar_bersih
Menang duit towel erik dan petrik,menang duit towel erik trik
"Sok tauuu..ssma org Indo aja gk pd akurs,sok2n pingin maju di pildum....perbaiki dulu SDM baru timnas...😊😊😊",sok tauuussma orang indo akurssok pingin maju pildumperbaiki sdm timnas
"kemarin sibuk mengkwatirkan wasit dr arab yg ternyata lumayan bagus,nah sekarang lihat wasit dr China kok pd diam.",kemarin sibuk mengkwatirkan wasit arab lumayan bagusnah lihat wasit china diam
Pemain main maximal kami hargai. Saya tunggu statement PSSI DAN PATRICK.,pemain main maximal harga tunggu statement pssi patrick
Kalah ya kalah tidak usah salahkan org lain' jangan lampiaskan kekesalan anda pada org lain sob' kita haru sadar diri klo level tim kita masih setingkat apa dulu' sepak bola kita bukan tim kelas atas seperti tim besar yg sering lolos pildun,kalah ya kalah salah orang lampias kesal orang sob haru sadar level tim tingkat sepak bola tim kelas tim lolos pildun
Sama si Erik si Arya si Yunus towel LG pestaa mereka,si erik si arya si yunus towel lg pestaa
Towel senang ini 😂,towel senang
Dia Yg penting pemain titipanya bisa ikut bro😂,pemain titipanya
Aku cinta towel❤❤❤❤❤,cinta towel
Jgn lebay bgtu komenya,jgn lebay bgtu komenya
Lebay Lebay Lebay.,lebay lebay lebay
​ @dursamadi 😂😂😂 termul2 memang gila,termul gila
Tetaplah bangga jadi pemain timnas tegakan kepala menatap masa depan.kalah menang sudah biasa ini hari para towel dan kroninya para mafia bandar bersorak menang Jangan kau menangis para pemain timnas,tetap bangga pemain timnas tega kepala tatap depankalah menang towel kroni mafia bandar sorak menang kau menang pemain timnas
Towel siapa??? Serius nanya,towel serius nanya
​ @AdrianoviFarouk yg nyaranin sty di ganti.,nyaranin sty ganti
​ @AdrianoviFarouk ODGJ,odgj
Yo so pasti loncat loncat,yo so loncat loncat
​@septiansyahwibowoanda salah sty lah yg udah bangun podasi dari nol Mlah di rusak sama Patrik temen nya sponbop itu,salah sty udah bangun podasi nol mlah rusak patrik temen sponbop
​@septiansyahwiboworekor Kluivert ditimnas gmna??STY THE BEST BROO,kluivert ditimnas gmnasty the best broo
"Sok tau bukan ,,,,,murni karena keputusan wasit asal cina kontroversi,,,,beda saat wasit yg pimpin lawan arab kemarin VAR aktif,,,sedang pertandingan lawan Iraq VAR buta ,,,perlu di perdebatkan kan karena keputusan wasit lebih benar keputusan VAR,,,,,",sok murni putus wasit cina kontroversibeda wasit pimpin lawan arab kemarin var aktifsedang tanding lawan iraq var buta debat putus wasit putus var
​@IlhamTaadiserang akun wasitnya,akun wasit
Angkat dia jadi pelatih guru .😅😅,angkat pelatih guru
Towel bilang ini pencapaian tertinggi sepak bola indonesia... dasar,towel bilang capai tinggi sepak bola indonesia dasar
Toel nyayur nih Indonesia kalah. 😅,toel nyayur indonesia kalah
"Cari kambing hitam atau suudzon sama orang ga baik bro, yang disalahin itu pelatihnya kocak yg salah pilih pemain ga kyk di era sty 😅",cari kambing hitam suudzon orang disalahin latih kocak salah pilih pemain kyk era sty
