komentar,komentar_bersih
"@amekachihasibuan Dia memang ok...tp setelah dia mendepak STY karena rasa egosentris dan akhirnya mengubur mimpi bersama, rasa positif itu terasa sirna",oktp depak sty egosentris kubur mimpi positif sirna
"​​ @amekachihasibuan Erik pembisnis bukan dari hati untuk memajukan timnas Indonenesia mulut dengan hati lain, kalau saya nggak diperlukan lagi ya saya akan mundur tapi kenyataanya nggak berarti bukan dari hati cuman dari mulut doang itu kenyataannya memikirkan perut sendiri ibarat manis di bibir",erik bisnis hati maju timnas indonenesia mulut hati ya mundur kenyataanya hati cuman mulut doang nyata pikir perut manis bibir
"Jujur gw malah kasian sama pemain natur bos.. bayangin mereka rela pindah negara yg tujuannnya ingin berjuang, dan bisa masuk pildun eee malah yg di mainin pemain liga dangdut😂😂😂ajg gk tuh... Dan yg bikin kita kebobolan itu dari kesalahan pemain liga dangdut semua😂😂 Dan semoga mereka pemain natur gk menyesal telah pindah ke negara yg penuh mafia ini.. ndlogok mbokne anton",jujur kasi pemain natur bos bayangin rela pindah negara tujuannnya juang masuk pildun eee mainin pemain liga dangdutajg tuh bikin bobol salah pemain liga dangdut moga pemain natur sesal pindah negara penuh mafia ndlogok mbokne anton
skr thohir menyesali kegoblokannya yg telah memecat STY,skr thohir sali goblok pecat sty
Terima kasih atas analisis nya Bung,terima kasih analisis
"ADA, BUNG HARPA",harpa
lalu siapa pengurus yg bnr bro?,urus bnr
Guaa bang tolong daftarin gua jadi Exco PSSI,guaa bang tolong daftarin exco pssi
"​ @khaerulel-baha1432 lah, datang sndiri aja bro ke PSSI, msh minta dianterin, ky mau daftar sekolah SD aja.",baha sndiri pssi msh dianterin ky daftar sekolah sd
"Sebutkan pengurus yg bnar siapa, sudah menghasilkan apa untuk timnas?",sebut urus bnar hasil timnas
Nonton nya detail gak bang Gak liat yaaa lini tengah kuat dan hidup coba liat lagi pas lawan arab gak ada haye Trus eliano brp kali loh pasiing ke jantung pertahanan Irak Nonton lagi bang biar gak salah koreksinya Riski Rido hebat dalam 90 menit full tapi jangan lupa bang gol yg terjadi murni kesalahan Rido gak buang bola Nonton lagi bang nonton lagi ya 😂😅,nonton detail bang liat yaaa lini kuat hidup coba liat lawan arab haye eliano brp kali loh pasiing jantung tahan irak nonton bang biar salah koreksi riski rido hebat menit full lupa bang gol murni salah rido buang bola nonton bang nonton ya
Kecuali ridho? 🤣🤣🤣,kecuali ridho
masih sakit hati ya bang karna mereka pemain persib,sakit hati ya bang pemain persib
Saya bukan pendukung Persib tapi saat Thom starter lini tengah hidup bedakan saat lawan Arab. gampang diterobos & Eli dia perform. Asal tau aja saya ini udah emak- emak ga ngerti taktik cuma liat situasi. Secara ga langsung gol tercipta karena kesalahan Ridho meski keseluruhan Ridho bagus,dukung persib thom starter lini hidup beda lawan arab gampang terobos eli perform udah emak emak ngerti taktik liat situasi langsung gol cipta salah ridho ridho bagus
​ @yuni-pc5ch pemikiran yang bijak 😊😊,pc ch pikir bijak
"Gw nonton kok, dan akan nonton terus Persib? Liga1? Tanpa mengurangi rasa hormat gue, GUE GAK SUKA TEMPO SEMUA TIM LIGA 1 SAAT BERMAIN Walaupun Liga 1 improve signifikan seiring dengan waktu HANYA YANG KERJA KERAS YANG AKAN BERTAHAN sisanya TERGERUS WAKTU Atau DILINDAS PERSAINGAN sekali lagi respect untuk jay, dean, dan calvin",nonton nonton persib liga kurang hormat suka tempo tim liga main liga improve signifikan iring kerja keras tahan sisa gerus lindas saing respect jay dean calvin
"Gol oleh Irak adalah kesalahan Rizki Ridha ; saat dia pegang bola di belakang hrs cepat diberikan ke kiper, bukannya digocek n kemudian direbut lawan yg kemudian nyebabkn gol.",gol irak salah rizki ridha pegang bola hrs cepat kiper gocek rebut lawan nyebabkn gol
"Kamu bayar aja konvisasinya,,,ga gede ko cuman ratusan miliar lebih besar sty dulu,,,",bayar konvisasinyaga gede ko cuman ratus miliar sty
"Bukan masalah berani memainkan pemain lokal, cari pelatih yg kaya taktik. Percuma mau main full diapora klo pelatihnya miskin taktik",berani main pemain lokal cari pelatih kaya taktik main full diapora latih miskin taktik
"subhanallah, pak pur doakan saya yang baik baik ya",subhanallah pur doa ya
Saya juga berdoa begitu..kalau menang sombongnya bukn main supporter indo itu..mengolok dh merendahkan negara Asean lain,doa begitukalau menang sombong bukn main supporter indo itumengolok dh rendah negara asean
Ja blm dewasa jah,ja blm dewasa jah
"berarti dukungan pk cuma dari Federasi doang,bukan dari seluruh masyarakat Indonesia",dukung pk federasi doangbukan masyarakat indonesia
Itu bukti kecintaan ke STY bukan segelintir orang yang senang dan tidak senang,bukti cinta sty gelintir orang senang senang
"Sama siapa PK diganti dan kalo ET mundur, siapa yg cocok, ada tidak yang paham bola serta yang tulus jadi ketum PSSI",pk ganti kalo et mundur cocok paham bola tulus tum pssi
​ @fely7488 emang cuma ET yg bisa ngurus bola??,emang et ngurus bola
