komentar,komentar_bersih
"PARA PEMAIN BERJUANG MATI-MATIAN UNTUK LOLOS, KETUMNYA MALAH DENGAN ENTENGNYA BILANG GA NARGET LOLOS WC. KOCAK MEMANG ERIK. BERSUKUR IWAN BULE PERNAH DATANGKAN STY MESKIPUN HARUS DIPECAT ERIK",pemain juang matimatian lolos tum enteng bilang narget lolos wc kocak erik bersukur iwan bule datang sty pecat erik
"Mending pakai pelatih lokal seperti coach Nova ketimbang PK, Dilatih PK pemain kebanyakan main sosmed, kalau dilatih sama Coach Nova saya yakin pasti akan tegas ke pemain dan akan membatasi penggunaan sosial media",mending pakai pelatih lokal coach nova ketimbang pk latih pk pemain banyak main sosmed latih coach nova pemain batas guna sosial media
"ET ngga bisa baca statistik, suruh kelola warung sembako aja bro .!🤣🤣",et ngga baca statistik suruh kelola warung sembako
"​ @Nurjanawati-b4d Kelola BUMN aja gagal, rugi terus.",kelola bumn gagal rugi
"bukan cuman ini aja lho kita menurun,jangan lupa kemarin kualfikasi piala asia u23 kita gagal dengan vanenburg,padahal sebelumnya di piala asia ,kita masuk semifinal trs playoff olimpiade sama STY ,jadi kita menurun prestasi jg dikelompok umur. timnas kita juga bukan ecek² ,dulu mana pernah liat europa league ada pemain kita",cuman lho menurunjangan lupa kemarin kualfikasi piala asia gagal vanenburgpadahal piala asia masuk semifinal playoff olimpiade sty turun prestasi jg kelompok umur timnas ecek liat europa league pemain
"Iyaa karena dia yg sudah berjuang dan membangun sejauh ini mesti gagal mungkin aku masih bisa terima,tp entah kenapa dalam hati kecil sy,sy masih percaya dg ucapan STY sebelum di pecat dia bilang sy percaya lolos tp tdk langsung tp dg round 4 jadi dia punya keyakinan lolos dan setiap pertandingan dia total di lapangan sampai ngotot"" karena dg kerja dg hati dia pengen cetak sejarah bawa Indonesia ke piala dunia,sampai JJ bilang sebelum pertandingan dia muter dulu seperti ritual ke gawang yg ini tdk ada di lakukan sama Sik kampret Spongebob karena dia cuma mikir cuan atau BU 😥",iyaa juang bangun mesti gagal terimatp hati sysy percaya dg ucap sty pecat bilang sy percaya lolos langsung dg round yakin lolos tanding total lapang ngotot dg kerja dg hati ken cetak sejarah bawa indonesia piala duniasampai jj bilang tanding muter ritual gawang laku sik kampret spongebob mikir cuan bu
Betul. Karena permainan begitu atraktif. Visi misi tim jelas arahnya. Spongebob hanya memberikan kehancuran,main atraktif visi misi tim arah spongebob hancur
Se 7 gua jg mending gagal bersama sin tae young 😊,jg mending gagal sin tae young
"yoi, kalau STY gwa ikhlas",yoi sty gwa ikhlas
Sejak lawan Australia saya sudah ga berekspektasi tinggi lagi.,lawan australia berekspektasi
"Kita sepemikiran, karna kalo gagalnya di tangan STY masih bisa di bilang proses. Dia udah membangun kaya blueprint permainan disini dan di uji di kualifikasi WC, nah kalo gagal kan masih bisa di evaluasi atau apa gitu. Di tangan kluivert jatuhnya kaya di obrak abrik anjir",pikir kalo gagal tangan sty bilang proses udah bangun kaya blueprint main uji kualifikasi wc kalo gagal evaluasi gitu tangan kluivert jatuh kaya obrak abrik anjir
Btul,btul
"Kalau tau gagal ya gak ganti bro. Namanya juga usaha pengin lolos, semua negara penginnya lolos ,tp kalau memng blm rejekinya.",gagal ya ganti nama usaha pengin lolos negara pengin lolos memng blm rejekinya
"Percaya sama gw , elo akan tetap komentar hal yg mirip jika STY gagal. Karena ini hanya kekecewaan dalam atas harapan yg bertolak belakang dg kenyataan.",percaya elo komentar sty gagal kecewa harap tolak dg nyata
"​ @dikara520 Saya yakin tidak, fans dan supporter timnas udah dewasa. Justru PSSI-nya yang belum!",fans supporter timnas udah dewasa pssinya
Pretttt😂,pretttt
Up joosss❤❤❤❤❤❤,up joosss
Gagal di round 3,gagal round
Erik Tohir mundur,erik tohir mundur
Halu,halu
"Halah kentut, mau pelatihnya siapa kek, siapa juga yg rela kalah",halah kentut latih rela kalah
​​ @MuhammadMiftah-d5i lu doang kali yang begitu..,doang kali
"Iya lagi 😢, setidak nya kita tau sty bangun sepak bola kita dari mines",iya tidak sty bangun sepak bola mes
"STY pake asnawi bisa kantongin garnacho, PK pake squad mewah, pemain pada blunder 🤮",sty pake asnawi kantongin garnacho pk pake squad mewah pemain blunder
Pemikiran yang sama,pikir
tetep gw lebih suka sama sty coba pas dulu pemainnya udah kaya sekarang mungkin udah mantep .,tetep suka sty coba main udah kaya udah mantep
Selamatlah kau STY timnas kalah bukan bersama Anda sehingga kau gk di hujat habis,selamat kau sty timnas kalah kau hujat habis
"Setuju bang, karena sty yang berhasil kalau pun gagal. Harus bersama ieng yang pernah berhasil membawa nya",tuju bang sty hasil gagal ieng hasil bawa
Sty pakai rafael struick,sty pakai rafael struick
"Yg terpenting line up pemain yg dulu yg sudah sangat baik , kalah sedikit tapi menang dan imbang banyak .",penting line up pemain kalah menang imbang
Walaupun TDK meraih tropi tapi bersama sty timnas maennya enak dihihat,raih tropi sty timnas maennya enak dihihat
