komentar,komentar_bersih
Sampai skrg masih ga ikhlas 😢,skrg ikhlas
"Timnas Indonesia memang sudah gagal lolos ke putaran final Piala Dunia 2026, tapi gue sebagai orang Indonesia tetap sangat bangga dan tetap sangat senang karena Timnas Indonesia bisa menjadi Timnas sepak bola terbaik pertama yang lolos sampai ke putaran keempat Kualifikasi Piala Dunia zona Asia, semoga Timnas Indonesia bisa lolos ke putaran final Piala Dunia 2030.",timnas indonesia gagal lolos putar final piala dunia orang indonesia bangga senang timnas indonesia timnas sepak bola baik lolos putar empat kualifikasi piala dunia zona asia moga timnas indonesia lolos putar final piala dunia
"Jujur Saya Tidak Menyalahkan Coach Shin Dan Coach Patrick, Tapi Kesalahan Nya Ada di dalam Di Tubuh PSSI, Seandainya Jika Coach Shin Masih Menajdi Pelatih Timnas Mungkin Rasa Kecewa Nya Tidak Seperti Ini, Mengingat Perjuangan Dari Nol Sedangkan Coach Petric Hanya Melanjutkan Sisah Perjuangan.",jujur salah coach shin coach patrick salah tubuh pssi anda coach shin menajdi pelatih timnas kecewa juang nol coach petric lanjut sisah juang
Justin Pasti Bangga,justin bangga
"jalan ke Piala Dunia tak semudah itu,Italia aja yg sudah mengoleksi 4 tropi piala dunia tak ikut serta 2 edisi berturut-turut & kini terancam utk ke 3 kalinya.",jalan piala dunia mudah ituitalia koleksi tropi piala dunia edisi berturutturut ancam kali
Ternyata piala dunia itu hanya mimpi.. harus rela dukung negara org di piala dunia,piala dunia mimpi rela dukung negara orang piala dunia
Gimana mau ikhlas Sisa 2 match lgi udh kepildun😂,gimana ikhlas sisa match lgi udh kepildun
Mantap Lord anjas,mantap lord anjas
"Sangat disayangkan lord, maka dari itu lord anjas sangat layak menjadi coach timnas indonesia.",sayang lord lord anjas layak coach timnas indonesia
​ @whahid6852 😂yang ada pemain full lokal pretd kembali dalam squad timnas kita pun menjadi jaman kegelapan 😂😂😂😅,pemain full lokal pretd squad timnas jaman gelap
Anjayyyyy kelas king 😂😂,anjayyyyy kelas king
Lord anjas si el berak sekebon,lord anjas si el berak kebon
"Dan akhirnya satu kata yg muncul di benak saya,, Tohir GOBLOK",muncul benak tohir goblok
Jom balik jom balik sudah kalah jom balik jom balik ku dakarlah yong baris hujung balik sudah kalah yong balik jom balik sudah kalah balik bukan mimpi balik berangan saja😂😂,jom jom kalah jom jom ku dakar yong baris hujung kalah yong jom kalah mimpi berangan
"Erick Thohir "" yang menghancurkan talenta para pemain muda "" yang telah berjuang bersama coach Shin Tae Yong membangun teamnas Garuda Indonesia sejak 2019 s/d 2024",erick thohir hancur talenta pemain muda juang coach shin tae yong bangun teamnas garuda indonesia sd
Erik Thohir dan Arya Sinulingga harus out dari PSSI dan pecat Kluivert,erik thohir arya sinulingga out pssi pecat kluivert
"Kuasai dulu asia, minimal setara jepang sama korea. Baru ngomongin piala dunia.",kuasa asia minimal tara jepang korea ngomongin piala dunia
Ranging @FIFA Indonesia turun juga ..Erick tohir cocok di ganti RATU TISHA..,ranging indonesia turun erick tohir cocok ganti ratu tisha
Wassalam Pildun 2026!!! 😂😂😂😂😂😂😂,wassalam pildun
game over Indonesia 🇮🇩FIFA World Cup 2026,game over indonesia fifa world cup
"segala cara oleh official timnas korbankan bahkan anggaran negarapun, tapi apa yg di dapat sejak round 1 2 3.?? gak tahu malu pdahal secara tak lgsg mreka meremehkan org² Lokal smpai roun 4 borong seakan prcaya org asing nyatanya nol toh..",official timnas korban anggar negara round malu pdahal lgsg mreka remeh orang lokal smpai roun borong akan prcaya orang asing nol
Jujur agak kecewa,jujur kecewa
"Coach STY pelatih yg jenius malah dipecat, diganti dengan Petrick yg plonga-plongo gak jelas di bench .",coach sty pelatih jenius pecat ganti petrick plongaplongo bench
"sorry nih ya admin, ga cuma klok dan bechkan jangan lupa yakob ya yang ngasih 2 asist ke pemain arab",sorry ya klok bechkan lupa yakob ya ngasih asist pemain arab
"Menuju pildun 2030 udh dipastikaan kita hanya mengandalkaan lokal pret tidak ada lagi diaspora, masa hitam gelap itu yg dinginkan pengamat sepak bola kita yg otak nya dangkal...",pildun udh dipastikaan mengandalkaan lokal pret diaspora hitam gelap dingin amat sepak bola otak dangkal
pecat PK . naikkan pastor jd head,pecat pk naik pastor head
Out lo liver,out liver
Tanpa mereka pemain naturalisasi & dan pa erik tohir kapan kita bisa melangkah sejauh ini harusnya kita berterimakasih bukan menyalahkan mereka Meski gagal ke piala dunia itu lebih baik daripada kita selalu jadi badut asean yang selalu dipermainkan vietnam dan malaysia,pemain naturalisasi pa erik tohir lang berterimakasih salah gagal piala dunia badut asean main vietnam malaysia
udh lah ga usa di bahas..nyesek banget😢,udh usa bahasnyesek
Kesalahannya ya masa ga tau karena saat mulai berkembang malah ganti pelatih masa gtu aja ga tau.. Yg lurusin jalur yg benar malah di pecat emang aneh,salah ya kembang ganti pelatih gtu lurusin jalur pecat emang aneh
