komentar,komentar_bersih
"Terakhir gw nangis waktu AFF 2010, skrg nangis lagi",nang aff skrg nang
Asli bang pasti semua pecinta timnas merasakan hal yg sama..,asli bang cinta timnas rasa
Sepakat bro sama kita lihat nanti kalau tanpa naturalisasi dan pk erick mundur bola kita akan suram yg kita lihat kemarin yg buat kesalahan semua pemain lokal yance cs marklop ridho tonton ulang,sepakat lihat naturalisasi pk erick mundur bola suram lihat kemarin salah pemain lokal yance cs marklop ridho tonton ulang
saya menangis sejak sepak bola gajah dan isu mafia bola.habis itu saya tidak pernah nonton sepak bola Indonesia.,menang sepak bola gajah isu mafia bolahabis nonton sepak bola indonesia
Ya kalo lu masih hidup,ya kalo hidup
Kasian deh kalian semua Aku jg ikut sedih😭😭😭(ngetik sambil ngakak),kasi jg sedihngetik ngakak
Bravo bukan brapo,bravo brapo
Kita tim nangis yg 2010 dan dulu Punya harapan kaya elu 😅,tim nang harap kaya elu
"Sama pertama x nyesek nonton perjuangan timnas gagal gini, dulu2 cuma ntn y kesan nya yah kalah lagi",nyesek nonton juang timnas gagal gin ntn kesan yah kalah
Alhamdulillah Indonesia 🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊🎉🎊,alhamdulillah indonesia
"Santai bro nanti jg bakal nagis lg wkwkwk, sejarah selalu berulang, tiap timnas mulai overhype pasti PSSI bikin blunder karena ga pernah belajar dr kesalahan, coba lihat jaman u19 era evan dimas, kualifikasi piala asia u20 ngalahin korsel, terus digadang2 generasi emas, terus dijadiin sirkus keliling indonesia, giliran main di turnamen sebenarnya di putaran final piala asia hasilnya ancur lebur karena pemain sudah kelelahan",santai jg nagis lg sejarah ulang timnas overhype pssi bikin blunder ajar salah coba lihat jaman era evan mas kualifikasi piala asia ngalahin korsel gadang generasi emas dijadiin sirkus keliling indonesia gilir main turnamen putar final piala asia hasil ancur lebur pemain lelah
harus Sabar 4 tahun lagi,sabar
Syaa menangis dan merindukan waktu STY dipecat. Stelah itu saya yakin dg statement nya anak STY. Yang mengatakan. Kita lihat Indonesia bisa smpe sejauh mana tanpa STY. Skrang smua terbukti. Gagal total di smua usia,syaa menang rindu sty pecat stelah dg statement anak sty lihat indonesia smpe sty skrang smua bukti gagal total smua usia
Kalo Gua Pribadi Terakhir Kali Nangis Tersedu_Sedu Ntuh Pas Sea Games Thailland 2013 Ama Piala AFF U19 2018. Sekarang Gua Syok & Terpukul Lagi😢😢😢.,kalo pribadi kali nang tersedusedu ntuh sea games thailland ama piala aff syok pukul
Lebay luu ahhhh😂,lebay luu ahhhh
Mangeak,mangeak
"ET lah yg paling bertanggung jawab, sisanya itu engak penting banget.",et tanggung sisa engak
"Itu tdk mungkin, karena tivioon itu ada sahamnya ET, apa susahnya ET telpon redaksinya memanggil towel, akmal, yusuf bahtiar untuk membela Petruk Kopret.",tivioon saham et susah et telpon redaksi panggil towel akmal yusuf bahtiar bela truk kopret
Et jgn lupa,et jgn lupa
@AndraWahyu1126 biasain baca sampe akhir,biasain baca sampe
Justinus jg.,justinus jg
​ @lekdidikvlog itu kn disebut justinn😂😂 baca yg bnr,kn justinn baca bnr
"Emang ini salah pederasi, dimna pundit2 yg biasa ngebacot, kata s Arya,inilah tim pelatih terbaik,nyatanya tim kepelatihan buruk sepanjang masa,kocak",emang salah pederasi dimna pundit ngebacot aryainilah tim pelatih terbaiknyatanya tim latih buruk masakocak
"kalah sih kalah aja bro, kesatria dong . malah kemana2😅😅",kalah kalah kesatria mana
"​ @Onellmessi setiap kekalahan ada sebab nya..semejak di ganti STY,...permainan timnas jadi lebih amburadul gaya mainnnya....yg katanya total football malah gagal total🤣🤣🤣🤣",kalah nyasemejak ganti stypermainan timnas amburadul gaya mainnnyayg total football gagal total
PSSI mengganti pelatih karena pengamat2 dari mafia bola dan Exco judol dari era kegelapan,pssi ganti pelatih amat mafia bola exco judol era gelap
Susah karna si towel dikasih panggung trs sama media media dan media itu tujuannya cari duit🤣🤣🤣,susah si towel kasih panggung media media media tuju cari duit
"Tv cuan, merka cuan, krn rakyat indo suka nonton yg ribut2",tv cuan merka cuan rakyat indo suka nonton ribut
Pundit yg bertanggung jawab? Kan keputusan ada di ketua federasi.,pundit tanggung putus ketua federasi
Sama TVONE yang waktu itu gencar bgt bikin acara bedat bola,tvone gencar bikin acara bedat bola
Setuju!,tuju
Ketika kalah emang semua yg dilakuin jadi salah coba kemaren menang podcast Neil gak akan dibahas.wkwkw,kalah emang dilakuin salah coba kemaren menang podcast neil dibahaswkwkw
"Mereka ada lah kadang uang bang, 😅 sering hadir ditv tv tau lah kalo nggak ada mereka nggak rame dan pasti kalo rame yang diuntungkan siapa😅😅",kadang uang bang hadir ditv tv kalo rame kalo rame untung
Sepertinya mereka minta di demo kayak para anggota DPR dan di datengi rumah nya😂😂😂,demo anggota dpr datengi rumah
Sty malah dicopot. Malah patrik .JD. Benar benar gak suka sama petrik itu.padahal tinggal terusan pk malah.. diubah ubah.pemain bagus smua,sty copot patrik suka trik itupadahal tinggal terus pk ubah ubahpemain bagus smua
setuju!,tuju
Menang kalah wajar....tapi kaya apa dulu kekalahan nya....,menang kalah wajartapi kaya kalah
ok,ok
jangan liat tv one aja mending,liat tv one mending
Boikot,boikot
