komentar,komentar_bersih,label_final,alasan_label
Fiks ini akun gaberes,fiks akun gaberes,negatif,Mengkritik akun/konten sebagai tidak beres.
Udah gagal si Patrick cuma bisa pukul2 bangku kosong 😅😂,udah gagal si patrick bangku kosong,negatif,Menyindir Patrick karena gagal.
Bangsa mie instan pengen lolos piala dunia dengan cara instan 😂😂,bangsa mie instan ken lolos piala dunia instan,negatif,Menyindir cara instan untuk lolos Piala Dunia.
Patrick Kluivert out,patrick kluivert out,negatif,Menuntut Patrick/Kluivert keluar.
ini Salahnya MALAYSIA...😂😂😂😂😂,salah malaysia,netral,Komentar bercanda/tidak jelas arah sentimennya terhadap Timnas.
Pelatih boleh disalahkan. Tp yg lebih disalahkan LG jajaran PSSI dan Exco PSSI semua. Knpa di tenggah2 kompetesi besar kyk gini Mala ganti pelatih. Itu sangat2 kesalahan terbesar. Kita GK lolos gpp ketika masih dilatih coach STY. Karna dilatih dia dimulai dr nol. Lah ini di tengah2 kompetesi mau dekat melangkah piala dunia Mala ganti pelatih. Sangat2 aneh dan disayangkan. Perlu dipertanyakan ini. Negara besar tp dibanyakin mafia2. GK bakalan maju sepak bola Indonesia ini. Kasian pemain2 keturunan semua demi bela negara orng tua dan neneknya tp dihancurkan oleh federasi nya sendiri,pelatih salah salah lg jajar pssi exco pssi knpa tenggah kompetesi kyk gin mala ganti pelatih salah besar lolos gpp latih coach sty latih nol kompetesi lang piala dunia mala ganti pelatih aneh sayang negara dibanyakin mafia maju sepak bola indonesia kasi pemain turun bela negara orng tua nenek hancur federasi,negatif,"Kritik keras kepada PSSI, EXCO, pergantian pelatih, dan federasi."
Ini channel blok sayap kiri,channel blok sayap kiri,negatif,Mengkritik channel/akun.
Basi penggorengan,basi goreng,negatif,Mengkritik konten sebagai basi/penggorengan.
"Pssi nya yg rusak, pelatih tidak bisa leluasa menentukan line up.. pasti ada campur tangan pssi itu",pssi rusak pelatih leluasa tentu line up campur tangan pssi,negatif,Mengkritik PSSI karena campur tangan line up.
Kluivert out sudah menggema sekarang padahal sejak dahulu gua sudah yakin 100% bahwa Kluivert ga akan bisa mempimpin timnas Indo bekas asuhan sty. Kala itu ga ada yang percaya & malah menghujat gua & sekarang terbukti kan😂😂😂 makanya jadi fans JANGAN DONGO😂😂😂,kluivert out gema kluivert pimpin timnas indo bekas asuh sty percaya hujat bukti fans dongo,negatif,Kritik terhadap Kluivert dan fans yang membela.
Alah lebay musik nya sok sedih ... Klo menang KING INDO NI BOS SENGGOL DONK.. media Indonesia lebay,alah lebay musik sok sedih menang king indo ni bos senggol donk media indonesia lebay,negatif,Mengkritik media Indonesia yang dianggap lebay.
Buzzer,buzzer,negatif,Tuduhan buzzer bernada negatif.
coba aja STY ngga ngelawak n ngadi2 pas lawan Cina. kan gk ada justifikasi buat mecat dia. nasi sudah menjadi bubur,coba sty ngga ngelawak ngadi lawan cina justifikasi mecat nasi bubur,negatif,Mengkritik STY pada laga lawan Cina dan pemecatan.
"Makanya jangan Ashobiyah terlalu umbar umbar janji sih waktu di awal awal sebelum nya ujung ujungnya miris kan gagal lolos ke piala dunia karena gara gara para pemain timnas yang main bola nya tidak kompak dan ceroboh dan Melakukan kesalahan demi kesalahan yang dilakukan oleh para pemain timnas Indonesia artinya itu kelalaian para pemain timnas Indonesia Jadi intropeksi diri lah dan evaluasi hadeh 😓 Keterangan: Saya paham maksud Anda. Anda merasa bahwa terlalu banyak janji yang tidak diiringi dengan hasil yang memuaskan, dan Anda menyoroti kesalahan-kesalahan yang dilakukan oleh para pemain timnas Indonesia. Anda berharap bahwa timnas Indonesia dapat melakukan introspeksi diri dan evaluasi untuk meningkatkan kualitas permainan mereka di masa depan. Terima kasih atas pendapat Anda!",ashobiyah umbar umbar janji ujung ujung miris gagal lolos piala dunia gara gara pemain timnas main bola kompak ceroboh salah salah pemain timnas indonesia lalai pemain timnas indonesia intropeksi evaluasi hadeh terang paham maksud janji iring hasil muas sorot kesalahankesalahan pemain timnas indonesia harap timnas indonesia introspeksi evaluasi tingkat kualitas main terima kasih dapat,negatif,Kritik terhadap pemain dan kegagalan lolos.
Ga setuju sama admin nya. Federasi harus ambil tanggung jawab. Karena kesalahan keputusan federasi yang buat skuad indonesia hancur dari dalam. Jadi ketum dan exco nya harus berani untuk mundur,tuju federasi ambil tanggung salah putus federasi skuad indonesia hancur tum exco berani mundur,negatif,Mengkritik federasi dan meminta pertanggungjawaban.
@Erik Tohir petrik Kluivert out,tohir trik kluivert out,negatif,Menuntut Erick Thohir dan Kluivert keluar.
Adili jokowi,adil jokowi,netral,Komentar politik singkat dan tidak jelas terhadap Timnas.
Salahnya ngapain pelatih Ampe 3 begitu 😅 kaya beli paket beli 1 gratis 2,salah ngapain pelatih ampe kaya beli paket beli gratis,negatif,Menyindir jumlah pelatih dan keputusan kepelatihan.
Bukan blunder lagi keputusan terburuk ketum PSSI. Mana pundit pundit yg dulu nyingkirin STY ini karma dari STY. Andai ajah STY ga out pasti indonesia lolos pildun .,blunder putus buruk tum pssi pundit pundit nyingkirin sty karma sty andai ajah sty out indonesia lolos pildun,negatif,Menyebut keputusan PSSI sebagai blunder/terburuk.
rela pecat sty demi pelatih ampas. hadeh susah amat mau liat timnas main di pildun,rela pecat sty pelatih ampas hadeh susah liat timnas main pildun,negatif,Kritik pemecatan STY dan pengganti yang dianggap buruk.
Italia gagal atau tidak piala eropa Indonesia gagal piala Asia,italia gagal piala eropa indonesia gagal piala asia,netral,Menyebut fakta kegagalan tanpa emosi yang kuat.
Ydh balikin sitayong pecat petrik ya 😤,ydh balikin sitayong pecat trik ya,negatif,Menuntut pelatih lama kembali dan Patrick dipecat.
"Auto Pecat Si Kepala Botak, Kembalikan Era STY 😢😢",auto pecat si kepala botak kembali era sty,negatif,Menuntut Kluivert dipecat dan STY kembali.
Cape deh gw KLO ngomen dan liat konten konten begini. Bknnya ngejelekin konten yaa min lebih ke internal timnas mksdnya managemannya. Kalo ada satu acara debat talk show gw harap ada yg diundang sih antara pak ET atau engga pak ARYANYA. Terus yg diundang didlmnya perwakilan Pandit pengamat terutama perwakilan fans yg ada dibelakang timnas buat ngawal dibelakangnya. Biar bisa debat mau diarahin kemana lagi ini.,cape ngomen liat konten konten bknnya ngejelekin konten yaa internal timnas mksdnya managemannya kalo acara debat talk show harap undang et engga arya undang didlmnya wakil pandit amat wakil fans belakang timnas ngawal belakang biar debat diarahin mana,negatif,Keluhan terhadap internal/manajemen Timnas.
"PSSI harus mencari pelatih yg lebih berkualitas atau kembalikan STY, kluivert tidak cocok melatih timnas harus dipecat. Klo ingin berbenah ganti pelatih.",pssi cari pelatih kualitas kembali sty kluivert cocok latih timnas pecat benah ganti pelatih,negatif,Menilai Kluivert tidak cocok dan harus dipecat.
Sumpah srapah,sumpah srapah,negatif,Ungkapan negatif/sumpah serapah.
ane setuju dari awal ketika STY di ganti harapan untuk ke pildun udh hilang.. liat chanel sebelah milik bang RR sudah mmbahas ini dari awal klo peluang indo udh hilang jd ga kaget..,ane tuju sty ganti harap pildun udh hilang liat chanel belah milik bang rr mmbahas peluang indo udh hilang kaget,negatif,Menyatakan harapan ke Piala Dunia hilang setelah STY diganti.
​ @kocing5668 betul agak miris sebetulnya cuma yaaaa apa yang mau diharapin dari politikus yang gila kekuasaan yang bernama Erick Thohir,miris yaaaa diharapin politikus gila kuasa nama erick thohir,negatif,Kritik terhadap Erick Thohir/politikus.
"Njirr gua Yang menggagalkan Mimpi timnas ke Pildunn,Sorry Cokk🗿",njirr gagal mimpi timnas pildunnsorry cokk,negatif,Sarkasme tentang kegagalan mimpi Timnas.
sepakbola di tangan politisi hanyalah kehancuran,sepakbola tangan politis hancur,negatif,Mengkritik sepak bola di tangan politisi.
Out PK Out ET,out pk out et,negatif,Menuntut PK dan ET keluar.
