komentar,komentar_bersih,label_final,alasan_label
"kalo menurut saya sih , STY itu keknya memang dijebak sih , soalnya waktu piala AFF kemaren PSSI mau STY pake squad u22 dan sty mau , nah disaat ga perform makanya PSSI seolah2 evaluasi menurut hasil dari turnamen tersebut , padahal dari PSSI nya emang ga targetin ke AFF , karena gagal itu lah dipecat, jadi menurut saya memang jebakan berdalih ""dinamika""",kalo sty kek jebak piala aff kemaren pssi sty pake squad sty saat perform pssi evaluasi hasil turnamen pssi emang targetin aff gagal pecat jebak dalih dinamika,negatif,Menilai STY dijebak dan mengkritik PSSI/pemecatan.
"kelasss, harus ada yang bertangung jawab......karena harapan masyarakat indonesia yang begitu besar terhadap sepakbola...",kelasss bertangung jawabkarena harap masyarakat indonesia sepakbola,negatif,Menuntut pertanggungjawaban atas harapan besar publik.
"apapun pertanggungjawaban yang dilakukan pssi terutama ET setelah ini, mau minta maaf atau tindakan apapun itu ga bakal bisa mengobati fans timnas.",apa pertanggungjawaban pssi et maaf tindak apa obat fans timnas,negatif,Menganggap permintaan maaf PSSI/ET tidak cukup mengobati fans.
Ibarat cor yg dibagun setegah setegah.....tidak akan kokh,cor dibagun tegah setegahtidak kokh,negatif,Menganalogikan pembangunan setengah-setengah yang tidak kokoh.
"Aku sebagai cewe pecinta bola indonesia, jujur kecewa dengan kinerja pak erick tohir, dan pelatih patrick yang dimana pelatih indonesia kita saat ini bener² mengecewakan, saya sampe heran apa yang dipikirin pak ET sampai2 pecat pelatih shin padahal kinerjanya emang bener² bagus walau ada gak ngotaknya juga dituntut untuk menang melawan jepang padahal jepang sendiri emang pemainnya mengerikan semua dan bener2 masih jauh dari perspektif skill dan kualitas, disana emang bener² nyari anak2 yang berbakat dari kecil, mereka pelatihannya keras banget, mungkin untuk pemain timnas saat ini kalau bisa meniru pelatihan timnas jepang, saya berterima kasih juga walau pemain indo tidak bisa masuk piala dunia dan telah berjuang selama 5 tahun ini, saya seneng banget dah bahagia banget awal2 indonesia sudah ada gebrakan banget dan pernah membanggakan seluruh masyarakat indonesia dengan masuk 4 besar kualifikasi piala dunia, saya akan tetep nunggu 5 tahun lagi kedepan dan semoga tidak akan mengecewakan lagi untuk piala dunia 5 tahun ke depan😊",cewe cinta bola indonesia jujur kecewa kerja erick tohir pelatih patrick mana pelatih indonesia bener kecewa sampe heran dipikirin et pecat pelatih shin kerja emang bener bagus ngotaknya tuntut menang lawan jepang jepang emang main keri bener perspektif skill kualitas sana emang bener nyari anak bakat latih keras pemain timnas tiru latih timnas jepang terima kasih pemain indo masuk piala dunia juang neng dah bahagia indonesia gebrak bangga masyarakat indonesia masuk kualifikasi piala dunia tetep nunggu depan moga kecewa piala dunia,negatif,"Kecewa terhadap Erick, Patrick, dan pemecatan STY meski ada dukungan pemain."
"90% rakyat Indonesia nggak setuju waktu STY dipecat dengan cara tidak hormat, padahal trek record STY bagus , banyak recor2 baru yang dicetak STY, piala asia u23 4 besar sejarah, STY bukan cuma pelatih tapi nggak akan bisa move on , jasa beliau di timnas banyak,, dulu banyak yang nggak suka bola jadi suka , karena permainannya punya visi misi dan terbentuk",rakyat indonesia tuju sty pecat hormat trek record sty bagus recor cetak sty piala asia sejarah sty pelatih move on jasa beliau timnas suka bola suka main visi misi bentuk,negatif,Menolak pemecatan STY dan mengkritik cara pemecatannya.
"Jelas di Indo, segala hal yg dimulai dgn baik, ujung2nya dihancurkan sendiri (ssi yg dikatakan Bung Karno kalo perjuangan kalian akan lebih sulit krn melawan bangsanya sendiri) Jonan mulai bangun KAI dan akan bangun jalur diluar pulau Jawa tp malah milih Whoosh Susi berantas mafia di bidang maritim tp nasib para nelayan tetap sulit Udah benar pakai STY utk bangun persepakbola tk dunia tp tiba2 dipecat ngga jelas Kita lihat nasib orang baik & jujur mana lagi yg jalannya harus dipotong di negara yg sgt kaya (korupsi)",indo ujung hancur ssi karno kalo juang sulit lawan bangsa jonan bangun kai bangun jalur luar pulau jawa milih whoosh sus berantas mafia bidang maritim nasib nelayan sulit udah pakai sty bangun persepakbola tk dunia pecat ngga lihat nasib orang jujur jalan potong negara sgt kaya korupsi,negatif,Mengkritik sistem/pihak yang menghancurkan proses baik termasuk pemecatan STY.
Ego Erick yang tinggi😢,ego erick,negatif,Mengkritik ego Erick.
"Terimakasih banget kepada pemain yang telah berjuang bahkan dari awal lawan Brunei sampai sekarang, banyak pergantian pemain keluar masuk demi meningkatkan kualitas dan meningkatkan prestasi 😢tapi ada daya perjuangan harus kandas, dan sikap pederasi harus bijak kalau gagal pecat, bukan malah di puji dan di lindungi dengan kata jangka panjang 😢😢😢",terimakasih pemain juang lawan brunei ganti pemain masuk tingkat kualitas tingkat prestasi daya juang kandas sikap pederasi bijak gagal pecat puji lindung jangka,negatif,"Apresiasi pemain ada, tetapi dominan kecewa karena perjuangan kandas dan kritik federasi."
"Siklus Indonesia 1. Wasit bagus, main jelek 2. Main bagus, wasit jelek 3. Main bagus, wasit bagus, lawannya jepang",siklus indonesia wasit bagus main jelek main bagus wasit jelek main bagus wasit bagus lawan jepang,negatif,Menyebut siklus buruk: main jelek/wasit/lawan Jepang.
