komentar,komentar_bersih,label_final,alasan_label
"Peluang masuk piala Dunia 7%, itu nyata",peluang masuk piala dunia nyata,netral,Menyebut peluang masuk Piala Dunia secara informatif.
"Timnas iraq kalo lawan indonesia, ketika mereka menang, mereka tidak terlalu merayakan kemenangan dengan berlebihan. respect sama Iraq",timnas iraq kalo lawan indonesia menang raya menang respect iraq,netral,"Mengamati selebrasi Irak dan memberi respek, bukan opini langsung terhadap Timnas."
Harus diakui. TIMNAS GARUDA sudah progres sangat cepat. Usaha pasti sudah gila gilaan. Terima kasih kepada siapapun yg telah berkontribusi.,aku timnas garuda progres cepat usaha gila gila terima kasih kontribusi,positif,Mengapresiasi progres cepat Timnas dan berterima kasih.
Kenapa wasit tidak mau melihat VAR? Kenapa kenapa? Masih kesel aja.. 😢,wasit var kesel,negatif,Kesal terhadap keputusan wasit/VAR.
"itulah kelemahan INDONESIA,byk menguasai bola,tetapi lemah dlm pressing pemain lawan di dpn kotak penalti.dari dulu permainan indonesia seperti itu.sungguh di sayangkan tdk lolos dlm kualipikasi piala dunia.😢",lemah indonesiabyk kuasa bolatetapi lemah pressing pemain lawan dpn kotak penaltidari main indonesia itusungguh sayang lolos kualipikasi piala dunia,negatif,Mengkritik kelemahan permainan Indonesia dan menyayangkan kegagalan.
Mimpi bung towel jadi kenyataan 😂😂😂,mimpi towel nyata,negatif,Komentar sarkas tentang mimpi Bung Towel jadi kenyataan.
Jgn patah semangat garudaku tetap terbang tinggi..mungkin ini blm waktynya..kita ga boleh saling menyalahkan...harus saling supot pemain..jay ides dan kawan kawan engkaulah pahlawan garuda ...tetap semangat,jgn patah semangat garuda terbang tinggimungkin blm waktynyakita menyalahkanharus supot pemainjay ides kawan kawan engkau pahlawan garuda semangat,positif,Dukungan agar Garuda tidak patah semangat.
gegara kmren wes main2 line uppp ...sabar indo ...ttp smngat. gdby pildun next see you,gegara kmren wes main line uppp sabar indo ttp smngat gdby pildun next see you,positif,Tetap menyemangati Indonesia meski gagal.
Patrick senang tujuannya tercapai...,patrick senang tuju capai,negatif,Menyindir Patrick karena dianggap tujuannya tercapai.
"Alhamdulillah,,, 😂😂",alhamdulillah,negatif,Ucapan alhamdulillah dengan emoji tawa bernada sarkas.
"Bener"" Jauh dari jangkauan word cup",bener jangkau word cup,negatif,Menilai Piala Dunia jauh dari jangkauan.
Saya udah duga Indonesia bakal kalah,udah duga indonesia kalah,negatif,Menyatakan sudah menduga Indonesia kalah.
Sabar kawan kami ikut sedih melihat kenyataan ini,sabar kawan sedih nyata,negatif,Ikut sedih atas kenyataan kegagalan.
Si Patrick bersedih pake mode air mata buaya yassalammm yassalammm yassalammm 😂😂😂,si patrick sedih pake mode air mata buaya yassalammm yassalammm yassalammm,negatif,Menyindir tangisan Patrick sebagai air mata buaya.
Efek marselino tdk main,efek marselino main,netral,Menyebut efek Marselino tidak bermain tanpa emosi jelas.
Nunggu 4 tahun lagi d saat sang 2 legend udh g ada ronaldo dan messi😢,nunggu sang legend udh ronaldo messi,negatif,Sedih karena harus menunggu empat tahun lagi.
"Negara penonton piala dunia, bukan negara peserta piala dunia",negara tonton piala dunia negara serta piala dunia,negatif,Menyindir Indonesia hanya menjadi penonton Piala Dunia.
"Justin,toewel towel...cair cair..",justintoewel towelcair cair,negatif,Sindiran tentang Towel dan keuntungan/cair.
Kali ini Timnas kita mendapatkan wasit yang sangat Mengecewakan,kali timnas wasit kecewa,negatif,Kecewa terhadap wasit pertandingan Timnas.
"Sukur lah,biar PSSI bisa sadar,kalau nyari pelatih jangan cuman hanya yang punya nama besar,tp harus punya kualitas kepelatihan seperti Sty",sukur lahbiar pssi sadarkalau nyari pelatih cuman nama besartp kualitas latih sty,negatif,Mengkritik PSSI dalam pemilihan pelatih.
🎶Don't cry for me Argentina...🎶,dont cry for me argentina,netral,Kutipan lagu tanpa opini jelas terhadap Timnas.
AKIBAT DOANYA MARCEF TIDAK DIPANGGIL PK,akibat doa marcef panggil pk,negatif,Menyalahkan tidak dipanggilnya Marcef/Marselino.
"Andai lawan arabsaudi squad yg di turunin seperti ini, Babak pertama saja sudah sebagus ini main nya, Tetap semangat Indonesia ku",andai lawan arabsaudi squad turunin babak bagus main semangat indonesia ku,positif,Menyebut permainan bagus dan tetap memberi semangat.
"YA ALLAH, YA RABB.. Ga enak banget sesek banget, aku ngikutin timnas saat dilatih coach Shin, tpi ending nya gagal jg😢",ya allah ya rabb enak sek ngikutin timnas latih coach shin ending gagal jg,negatif,Sedih dan kecewa karena gagal di era setelah Coach Shin.
Mantap ET dan kroni PSSI 😂😂,mantap et kroni pssi,negatif,Pujian kepada ET/PSSI bernada sarkas.
