komentar,komentar_bersih,label_final,alasan_label
"@amekachihasibuan Dia memang ok...tp setelah dia mendepak STY karena rasa egosentris dan akhirnya mengubur mimpi bersama, rasa positif itu terasa sirna",oktp depak sty egosentris kubur mimpi positif sirna,negatif,Mengkritik Erick/keputusan mendepak STY dan menyebut mimpi terkubur.
"​​ @amekachihasibuan Erik pembisnis bukan dari hati untuk memajukan timnas Indonenesia mulut dengan hati lain, kalau saya nggak diperlukan lagi ya saya akan mundur tapi kenyataanya nggak berarti bukan dari hati cuman dari mulut doang itu kenyataannya memikirkan perut sendiri ibarat manis di bibir",erik bisnis hati maju timnas indonenesia mulut hati ya mundur kenyataanya hati cuman mulut doang nyata pikir perut manis bibir,negatif,Kritik keras terhadap Erick yang dianggap hanya berbisnis dan tidak tulus memajukan Timnas.
"Jujur gw malah kasian sama pemain natur bos.. bayangin mereka rela pindah negara yg tujuannnya ingin berjuang, dan bisa masuk pildun eee malah yg di mainin pemain liga dangdut😂😂😂ajg gk tuh... Dan yg bikin kita kebobolan itu dari kesalahan pemain liga dangdut semua😂😂 Dan semoga mereka pemain natur gk menyesal telah pindah ke negara yg penuh mafia ini.. ndlogok mbokne anton",jujur kasi pemain natur bos bayangin rela pindah negara tujuannnya juang masuk pildun eee mainin pemain liga dangdutajg tuh bikin bobol salah pemain liga dangdut moga pemain natur sesal pindah negara penuh mafia ndlogok mbokne anton,negatif,"Kekecewaan terhadap pemilihan pemain, menyebut mafia, dan menyalahkan pemain lokal."
skr thohir menyesali kegoblokannya yg telah memecat STY,skr thohir sali goblok pecat sty,negatif,Kritik kasar terhadap Thohir karena memecat STY.
Terima kasih atas analisis nya Bung,terima kasih analisis,positif,Ucapan terima kasih/apresiasi terhadap analisis.
"ADA, BUNG HARPA",harpa,netral,Komentar singkat tanpa sentimen jelas terhadap Timnas atau pihak terkait.
lalu siapa pengurus yg bnr bro?,urus bnr,netral,Pertanyaan tentang pengurus yang benar tanpa emosi jelas.
Guaa bang tolong daftarin gua jadi Exco PSSI,guaa bang tolong daftarin exco pssi,netral,Komentar bercanda/ingin daftar Exco tanpa opini sentimen yang jelas.
"​ @khaerulel-baha1432 lah, datang sndiri aja bro ke PSSI, msh minta dianterin, ky mau daftar sekolah SD aja.",baha sndiri pssi msh dianterin ky daftar sekolah sd,netral,"Komentar balasan bercanda/menyindir pengguna lain, tidak langsung menilai Timnas."
"Sebutkan pengurus yg bnar siapa, sudah menghasilkan apa untuk timnas?",sebut urus bnar hasil timnas,netral,Pertanyaan tentang pengurus dan hasil untuk Timnas tanpa sentimen eksplisit.
Nonton nya detail gak bang Gak liat yaaa lini tengah kuat dan hidup coba liat lagi pas lawan arab gak ada haye Trus eliano brp kali loh pasiing ke jantung pertahanan Irak Nonton lagi bang biar gak salah koreksinya Riski Rido hebat dalam 90 menit full tapi jangan lupa bang gol yg terjadi murni kesalahan Rido gak buang bola Nonton lagi bang nonton lagi ya 😂😅,nonton detail bang liat yaaa lini kuat hidup coba liat lawan arab haye eliano brp kali loh pasiing jantung tahan irak nonton bang biar salah koreksi riski rido hebat menit full lupa bang gol murni salah rido buang bola nonton bang nonton ya,negatif,Kritik terhadap kesalahan pemain dan koreksi analisis pertandingan.
Kecuali ridho? 🤣🤣🤣,kecuali ridho,netral,Komentar singkat/pertanyaan bercanda yang konteks sentimennya tidak jelas.
masih sakit hati ya bang karna mereka pemain persib,sakit hati ya bang pemain persib,negatif,Nada menyindir/menuduh pihak lain masih sakit hati.
Saya bukan pendukung Persib tapi saat Thom starter lini tengah hidup bedakan saat lawan Arab. gampang diterobos & Eli dia perform. Asal tau aja saya ini udah emak- emak ga ngerti taktik cuma liat situasi. Secara ga langsung gol tercipta karena kesalahan Ridho meski keseluruhan Ridho bagus,dukung persib thom starter lini hidup beda lawan arab gampang terobos eli perform udah emak emak ngerti taktik liat situasi langsung gol cipta salah ridho ridho bagus,netral,Analisis relatif seimbang tentang pemain dan kesalahan gol tanpa emosi kuat.
​ @yuni-pc5ch pemikiran yang bijak 😊😊,pc ch pikir bijak,positif,Memuji pemikiran sebagai bijak.
"Gw nonton kok, dan akan nonton terus Persib? Liga1? Tanpa mengurangi rasa hormat gue, GUE GAK SUKA TEMPO SEMUA TIM LIGA 1 SAAT BERMAIN Walaupun Liga 1 improve signifikan seiring dengan waktu HANYA YANG KERJA KERAS YANG AKAN BERTAHAN sisanya TERGERUS WAKTU Atau DILINDAS PERSAINGAN sekali lagi respect untuk jay, dean, dan calvin",nonton nonton persib liga kurang hormat suka tempo tim liga main liga improve signifikan iring kerja keras tahan sisa gerus lindas saing respect jay dean calvin,positif,Memberi apresiasi/respect kepada beberapa pemain meskipun ada kritik terhadap Liga 1.
"Gol oleh Irak adalah kesalahan Rizki Ridha ; saat dia pegang bola di belakang hrs cepat diberikan ke kiper, bukannya digocek n kemudian direbut lawan yg kemudian nyebabkn gol.",gol irak salah rizki ridha pegang bola hrs cepat kiper gocek rebut lawan nyebabkn gol,negatif,Menyalahkan pemain atas gol Irak.
"Kamu bayar aja konvisasinya,,,ga gede ko cuman ratusan miliar lebih besar sty dulu,,,",bayar konvisasinyaga gede ko cuman ratus miliar sty,negatif,Sindiran/kritik terkait biaya kompensasi dan STY.
"Bukan masalah berani memainkan pemain lokal, cari pelatih yg kaya taktik. Percuma mau main full diapora klo pelatihnya miskin taktik",berani main pemain lokal cari pelatih kaya taktik main full diapora latih miskin taktik,negatif,Kritik terhadap pelatih yang dianggap miskin taktik.
"subhanallah, pak pur doakan saya yang baik baik ya",subhanallah pur doa ya,positif,Berisi doa/harapan baik.
Saya juga berdoa begitu..kalau menang sombongnya bukn main supporter indo itu..mengolok dh merendahkan negara Asean lain,doa begitukalau menang sombong bukn main supporter indo itumengolok dh rendah negara asean,negatif,Kritik terhadap supporter Indonesia yang dianggap sombong dan merendahkan negara lain.
Ja blm dewasa jah,ja blm dewasa jah,negatif,Komentar bernada kritik bahwa pihak tertentu belum dewasa.
"berarti dukungan pk cuma dari Federasi doang,bukan dari seluruh masyarakat Indonesia",dukung pk federasi doangbukan masyarakat indonesia,negatif,"Kritik bahwa dukungan kepada PK hanya dari federasi, bukan masyarakat."
Itu bukti kecintaan ke STY bukan segelintir orang yang senang dan tidak senang,bukti cinta sty gelintir orang senang senang,positif,Menunjukkan kecintaan/dukungan kepada STY.
"Sama siapa PK diganti dan kalo ET mundur, siapa yg cocok, ada tidak yang paham bola serta yang tulus jadi ketum PSSI",pk ganti kalo et mundur cocok paham bola tulus tum pssi,netral,Pertanyaan mengenai pengganti PK/ET dan kandidat PSSI.
​ @fely7488 emang cuma ET yg bisa ngurus bola??,emang et ngurus bola,negatif,Nada mempertanyakan Erick Thohir sebagai satu-satunya yang bisa mengurus bola.
​ @fely7488 caiiirrr caiirr😅😂😂,caiiirrr caiirr,netral,Komentar bercanda tanpa sentimen jelas.
Saya tambahin satu.. Arya sinulingga,tambahin arya sinulingga,netral,Hanya menambahkan nama Arya Sinulingga tanpa opini jelas.
Pembisnis mana mau lahannya di ambil orang lain,bisnis lahan ambil orang,negatif,Sindiran terhadap motif bisnis dalam pengelolaan sepak bola.
"Yang ngomel² paling bocil-bocil IQ 78😂 Nggak ada saat ini ketum PSSI yang lebih baik dari Erick Thohir Mintanya Tisna, waduh....bakal ngeri² sedep timnas dipegang Tisna, gk ngerti politik, dah gitu yg paling penting, pergaulan di dunia sepakbola internasional nggak ada...macam orang cupu😂 Yang ada Tisna sebentar, habis itu diganti Nurdin Halid😂",ngomel bocilbocil iq tum pssi erick thohir minta tisna waduhbakal ngeri sedep timnas pegang tisna ngerti politik dah gitu gaul dunia sepakbola internasional adamacam orang cupu tisna sebentar habis ganti nurdin halid,positif,Membela Erick Thohir sebagai ketum PSSI yang lebih baik dibanding alternatif lain.
"setuju bikin gedeg , apalagi yg suka bisik bisikin gajelas",tuju bikin gedeg suka bisik bisikin gajelas,negatif,Ekspresi kesal terhadap pihak yang dianggap membisikkan hal tidak jelas.
"Ganti Kluivert doang, jangan ganti semua fondasi",ganti kluivert doang ganti fondasi,negatif,"Mengusulkan Kluivert diganti, menunjukkan ketidakpuasan."
​ @fahrurrazikin6876 kalau itu aku setuju ganti Kluivert nya jangan segorombolan bg,tuju ganti kluivert segorombolan bg,negatif,"Setuju mengganti Kluivert, menunjukkan kritik terhadap pelatih."
Berharap Alex pastor jadi head coah,harap alex pastor head coah,positif,Harapan agar Alex Pastor menjadi head coach.
DEWASA..mantap kang,dewasamantap kang,positif,Pujian dengan kata mantap/dewasa.
Ganti PK...Dia yg ngotot ama line up pas lawan arab sampai debat parah ama pastor ama landzat,ganti pkdia ngotot ama line up lawan arab debat parah ama pastor ama landzat,negatif,Kritik terhadap PK karena line-up dan debat dengan staf.
"Mumpung piala Asia masih 2027...ayo latihan lagi dan sering2 uji yg tanding. Klo saya sih, tatap bertahan dgn yg ada sekarang. 🙏",mumpung piala asia ayo latih uji tanding tatap tahan,positif,Ajakan berlatih lagi dan mendukung mempertahankan kondisi saat ini.
​ @bung_oks terutama hrs berani away maennya pas jeda internasional jngan home mulu,hrs berani away maennya jeda internasional jngan home mulu,netral,Saran teknis agar berani bermain away saat jeda internasional.
