komentar,komentar_bersih,label_final,alasan_label
Terbaik untuk korupsi,baik korupsi,negatif,Komentar bernada kritik dengan menyebut korupsi.
"betol setuju, masih lebih mending gagal bersama yg selama ini ada, dari pada gagal bersama yg baru ada",betol tuju mending gagal gagal,negatif,Menunjukkan kekecewaan terhadap kegagalan bersama pihak baru.
Definisi ketika sekolah belum dibangun tapi bro sudah berkelas. ❤❤❤,definisi sekolah bangun kelas,positif,Bernada apresiasi/pujian dengan kata berkelas dan emotikon hati.
PK : misi sukses 😂,pk misi sukses,negatif,Sarkasme terhadap PK dengan makna kritik.
​ @bakoztafishing Bagus dong Biar timnas gak jadi agenda atau modal buat nyalon pemilu 2029 🤣,bagus biar timnas agenda modal nyalon milu,negatif,Sarkasme terhadap politisasi Timnas.
"Bang Fer....di beberapa chanel youtube yg lain....,saya dah kemukakan ...Round 4 ini...peluang timnas sangat berat...knp.....krn kepengurusan di tubuh PSSI udah gak benar....belum lg tim Exco yg rata2 bau -bau mafia...di tambah lg pundit2 bola abal2 yg anti STY....percuma kita kritik.Toh gak ngaruh bg mereka....apalagi Towel,Akmal,Justine pro Patrick......",bang ferdi chanel youtube lainsaya dah muka round inipeluang timnas beratknpkrn urus tubuh pssi udah benarbelum lg tim exco bau bau mafiadi lg pundit bola abal anti stypercuma kritiktoh ngaruh bg merekaapalagi towelakmaljustine pro patrick,negatif,"Kritik terhadap PSSI, Exco, mafia, dan pundit."
Kalah2 aja udah gua aja prediksi kalah semua pemain ampas kaya gt😂,kalah udah prediksi kalah pemain ampas kaya gt,negatif,Kritik terhadap pemain dan prediksi kekalahan.
​ @Atletkita1123 bkn salah pemain tpi salah federasi sma pelatih,bkn salah pemain salah federasi pelatih,negatif,Menyalahkan federasi dan pelatih.
Ini fans sty sejati 😂,fans sty sejati,negatif,Menyindir pendukung STY.
"​ @Pvblikenemy bukan fans kenyataan nya permainan zaman sty lebih baik, tiki taka menghibur, serangan balik lebih berbahaya.. Tinggal penyelesaian akhir aja kureng. Cba materi pemain sdh sprti PK ni pasti tambah di babat saudi & irak",fans nyata main zaman sty tik taka hibur serang bahaya tinggal selesai reng cba materi pemain sdh sprti pk ni babat saudi irak,negatif,Membandingkan era STY lebih baik dan mengkritik kondisi PK.
"Karna Anda pendukung STY , bukan pendukung timnas",dukung sty dukung timnas,negatif,Menuduh lebih mendukung STY daripada Timnas.
​ @RekiRismanPutra-mp7jh YG BAWA MASUK KE ROUND 3 SIAPA BOOSSSS,mp jh bawa masuk round boossss,positif,Membela pencapaian STY membawa ke round 3.
"​ @RekiRismanPutra-mp7jh Sejak kpn Ada istilah pendukung STY 😂 KAYAK TOWELL AJA LU Semua warga Indonesia pastilah mendukung Timnas Cuman gk setuju aja klo penggantinya mantan pejudi, pelatih abal2 minim taktik Ya mending dilanjutin STY lah klo kyak gitu",mp jh kpn istilah dukung sty towell warga indonesia dukung timnas cuman tuju ganti mantan judi pelatih abal minim taktik ya mending dilanjutin sty kyak gitu,negatif,Kritik terhadap pengganti STY dan taktik pelatih.
Liat cara timnas main masih nggak berubah Berapa shoot on target nya ?? Sty mengandalkan Ragnar dan struick bisa memberikan perlawanan Lah ini si botak Patrick ini ?? Pemain kurang apalagi The real miskin taktik...,liat timnas main ubah shoot on target sty andal ragnar struick lawan si botak patrick pemain the real miskin taktik,negatif,Kritik keras terhadap Patrick dan taktik Timnas.
"Heleh, ikut2an aja lu hhh",heleh an hhh,negatif,Sindiran/komentar meremehkan.
"Setuju krn sty sdh bangun dari awal pasti dia tau apa yg harus dilakukan dgn pemain 2 itu sedang Kluivert blm bisa Krn begitu mepet wkt yg didapat, pergantian itu bikin syok gambling",tuju sty sdh bangun pemain kluivert blm mepet wkt ganti bikin syok gambling,negatif,Dukungan pada STY namun disertai kritik pergantian pelatih yang dianggap gambling.
Yakin gk ngehujat?,ngehujat,netral,Hanya berupa pertanyaan singkat.
