komentar,komentar_bersih,label_final,alasan_label
ET lah yang paling bertanggung jawab. Mecat sty di tengah qualifikasi aja udah aneh. Merubah apapun dalam waktu singkat ga bakal berhasil. Apalagi di pertandingan internasional yang notabenya ketemu sesekali doang.,et tanggung mecat sty qualifikasi udah aneh rubah apa singkat hasil tanding internasional notabenya ketemu doang,negatif,Menyalahkan ET atas pemecatan STY di tengah kualifikasi.
Gila sih ya sty yg bikin timnas bangkit dr kegelapan diacak acak SM Eric dkk .. sialan bener org2 ini,gila ya sty bikin timnas bangkit gelap acak acak eric dkk sial bener orang,negatif,Kritik keras terhadap Erick dan pihak terkait.
Petrik mengubah mimpi menjadi junam,trik ubah mimpi junam,negatif,Sindiran bahwa Patrick membuat mimpi memburuk.
"ET zholim sma STY dia keluar ke Belanda cari pelatih pengganti tanpa bicara baik2 terlebih dahulu Bahkan STY baru diinfo pagi hari di hari pemecatan Dan siangnya diumumkan pelatih baru Kejam Kau Erick Skrg kau bilang ""Siapa suruh kita mimpi ketinggian lolos Pildun""",et zholim sty belanda cari pelatih ganti bicara sty info pagi pecat siang umum pelatih kejam kau erick skrg kau bilang suruh mimpi tinggi lolos pildun,negatif,Menyebut ET zalim dan kejam terhadap STY.
"Buzzer thohir kaga nyambung bawa bawa ke ulsan, faktanya kelompok umur dilolosin semua ke piala asia ama sty",buzzer thohir kaga nyambung bawa bawa ulsan fakta kelompok umur dilolosin piala asia ama sty,negatif,Kritik terhadap buzzer Tohir dan pembelaan kepada STY.
Knpa kalau masih dgn sty bisa bgni..???,knpa sty bgni,netral,Pertanyaan spekulatif tanpa emosi jelas.
"Yg milih PK itu salah, PK juga salah sebab keputusannya seperti tidak bertanggungjawab",milih pk salah pk salah putus bertanggungjawab,negatif,Menyalahkan pihak yang memilih PK dan PK sendiri.
membungkusnya kemudian membuangnya ke tempat sampah,bungkus buang sampah,negatif,Sindiran membuang sesuatu ke tempat sampah.
"Kata-kata yang salah STY mengubah mimpi menjadi harapan ke piala dunia, Erik Tohir mengubah harapan jadi mimpi ke piala dunia",katakata salah sty ubah mimpi harap piala dunia erik tohir ubah harap mimpi piala dunia,negatif,Kritik bahwa Erick mengubah harapan menjadi mimpi.
"“STY mengubah mimpi menjadi harapan ke piala dunia, KLUIVERT mengubah harapan menjadi mimpi ke piala dunia”",sty ubah mimpi harap piala dunia kluivert ubah harap mimpi piala dunia,negatif,Kritik terhadap Kluivert yang mengubah harapan menjadi mimpi.
Kluivert mengubur mimpi ke piala dunia,kluivert kubur mimpi piala dunia,negatif,Kritik bahwa Kluivert mengubur mimpi Piala Dunia.
Tanggung padahal mah sekalian ambil pelatih kepala luis van gaal kalo mau bermain total football,tanggung mah ambil pelatih kepala luis van gaal kalo main total football,netral,Saran pelatih tanpa emosi jelas.
"Erick mafia bola nya bukan kluivert, kluivert itu pion Erick",erick mafia bola kluivert kluivert pion erick,negatif,Menyalahkan Erick sebagai mafia bola.
Bapak2 NPD mebuat harapan ini kembali menjadi mimpi,npd mebuat harap mimpi,negatif,Kritik terhadap figur yang membuat harapan kembali menjadi mimpi.
Powerful banget kalimatnya 👏🏻,powerful kalimat,positif,Pujian terhadap kalimat/analisis.
"Jangan percaya lagi sama omongan politikus yang katanya timnas indo tdk dicampur tangn politikus, apalagi dia termul dan robotnya oligarki bjingn itu",percaya omong politikus timnas indo campur tangn politikus termul robot oligarki bjingn,negatif,Kritik keras terhadap politikus/oligarki.
