komentar,komentar_bersih,label_final,alasan_label
Nomer 5 ampas,nomer ampas,negatif,Menyebut pihak terkait ampas.
Pecat erik tohir guntatai pelatih mulu,pecat erik tohir guntatai pelatih mulu,negatif,Menuntut Erick Thohir dipecat dan mengkritik pergantian pelatih.
"BLUNDER SEWAKTU GANTI PELATIH,,",blunder ganti pelatih,negatif,Menyebut pergantian pelatih sebagai blunder.
Yen mg rep ggal e w mding rsh di gnti sty,yen mg rep ggal mding rsh gnti sty,negatif,Menyesalkan pergantian STY.
Gol irak kesalahan siapa ada yg Tau.? Yaa benar kesalahan si RR banyak gaya wkwk 😅,gol irak salah yaa salah si rr gaya,negatif,Menyalahkan pemain tertentu atas gol Irak.
"Haha jgn brharap lolos lh timnas, dari pada bikin malu negara nnti dbantai""",jgn brharap lolos lh timnas bikin malu negara nnti dbantai,negatif,Merendahkan harapan Timnas lolos dan menyebut akan mempermalukan negara.
Bahan bakar neraka ga tu😂,bahan bakar neraka tu,negatif,Ungkapan sindiran/negatif.
Bodo amat gua mau di hujat sama orang-orang tapi intinya pak erick thohir adalah orang yang patut bertanggung jawab titik😡,bodo hujat orangorang inti erick thohir orang patut tanggung titik,negatif,Menuntut Erick Thohir bertanggung jawab.
Erick out Patrick Out,erick out patrick out,negatif,Menuntut Erick dan Patrick keluar.
Indonesia jagonya main tiktok an doang kalau ditanya sepakbola sampai kiamatpun gak bakalan maju,indonesia jago main tiktok an doang sepakbola kiamat maju,negatif,Mengkritik pemain/Timnas yang dianggap hanya main TikTok.
Kasian pemain keturunan yang rela ganti paspor negara asalnya dengan paspor indonesia hanya demi membawa Indonesia lolos ke piala dunia 2026 tapi berujung gagal😢,kasi pemain turun rela ganti paspor negara asal paspor indonesia bawa indonesia lolos piala dunia ujung gagal,negatif,Sedih karena pemain keturunan rela ganti paspor tetapi gagal.
PATRICK OUT !,patrick out,negatif,Menuntut Patrick keluar.
Indonesia resmi pecundang dengan staf pelatih terbaik ... Selamat pecundang Indonesia 😂😂😂,indonesia resmi cundang staf pelatih baik selamat cundang indonesia,negatif,Menghina Indonesia/Timnas sebagai pecundang.
Belum layak lah lolos pildun,layak lolos pildun,negatif,Menilai belum layak lolos Piala Dunia.
FEDERASI GAK BELAJAR DARI ARAB SAUDI DAN CURACAO. PADAHAL SUDAH DIKASIH BUKTI NYATA SAMA 2 NEGARA ITU 🤦‍♂️,federasi ajar arab saudi curacao kasih bukti nyata negara,negatif,Mengkritik federasi karena tidak belajar dari negara lain.
Erick Thohir out,erick thohir out,negatif,Menuntut Erick Thohir keluar.
"Tinggal menunggu transfer AFC dan federasi arab untuk uang duka tidak lolos pildun 2026, besarannya dirahasiakan wkwk Aslinya bisa poin 6, materinya pemainnya sudah sebagus itu...asli pelatihnya yang ga beres",tinggal tunggu transfer afc federasi arab uang duka lolos pildun besar rahasia asli poin materi main bagus ituasli latih beres,negatif,Mengkritik pelatih dan menyebut materi pemain sebenarnya bagus.
Pecat pelatih,pecat pelatih,negatif,Menuntut pelatih dipecat.
Ini semua karena federasi dipegang mafia dan kelompoknya partdi penting dan krusial dijadikan ladang menggiurkan karena lawan Arab ??? Antara harga diri dan kepentingan 😂😂???. Akhirnya straregi nafia memilih kepentingan dengan strategi aneh dan janggal ???😂 inikah demi bisnis bola demi kesampingkan harga diri bangsa,federasi pegang mafia kelompok partdi krusial jadi ladang giur lawan arab harga penting straregi nafia pilih penting strategi aneh janggal bisnis bola samping harga bangsa,negatif,Menuduh federasi/mafia dan kepentingan bisnis.
"Ga bakal masuk pildun, jauh kualitas nya, blm pantas kita masuk, harus sudah level seperti Jepang dan korea baru bisa masuk",masuk pildun kualitas blm masuk level jepang korea masuk,negatif,Menilai kualitas Indonesia belum layak masuk Piala Dunia.
Patrick emang tololl,patrick emang tololl,negatif,Menghina Patrick.
beckam bocah baru kmrin sore sok2an pling kayak senior sja,beckam bocah kmrin sore sok an pling senior sja,negatif,Mengkritik Beckham sebagai pemain yang belum layak.
"jangan saling mencari kambing hitam? VIDEO LU SEBELUMNYA AJA ""PATRICK OUT"" KWKKW 🤣",cari kambing hitam video patrick out kwkkw,negatif,Menyindir inkonsistensi channel/pembahasan Patrick out.
"Patrik out sih, ga guna jga jadi pelatih. Bagus si alex aja",patrik out jga pelatih bagus si alex,negatif,Menuntut Patrick keluar dan menilai tidak berguna.
Jujur sebagai orang Indonesia saya sedih Indonesia tidak masuk piala dunia tapi orang yang penghianat bangsa Indonesia malah cenderung ketawa atas kegagalan timnas Indonesia 😢,jujur orang indonesia sedih indonesia masuk piala dunia orang penghianat bangsa indonesia cenderung ketawa gagal timnas indonesia,negatif,Sedih atas kegagalan dan mengkritik pihak yang menertawakan.
"Tim kepelatihan terbaik malah gagal total, secara permainan sangat jelek banget.",tim latih baik gagal total main jelek,negatif,Menilai tim pelatih gagal total dan permainan jelek.
"Ah meloloskan? Udh jelas laga menuju piala dunia bertanding dengan negara kita Indonesia, dan negara Irak.... udah jelas lagi Arab memang langganan piala dunia. Jadi jangan lebay deh . Njir. Ini sepak bola!!!!",ah lolos udh laga piala dunia tanding negara indonesia negara irak udah arab langgan piala dunia lebay njir sepak bola,negatif,Mengkritik narasi meloloskan dan menganggapnya berlebihan.
Konsistensi ketum beserta jajaran pssi yang kurang strong..... Jajaran pssi lah yang menjual peluang timnas ke piala dunia pada arab dan iraq,konsistensi tum serta jajar pssi strong jajar pssi jual peluang timnas piala dunia arab iraq,negatif,Mengkritik PSSI yang dianggap menjual peluang Timnas.
"klok sama beckam memang ampas,era STY aja ga pernah di panggil. beckam hanya cadangan...mana ada pemain ampas di panggil pelatih kocak",klok beckam ampasera sty panggil beckam cadanganmana pemain ampas panggil pelatih kocak,negatif,Mengkritik Beckham dan pemilihan pemain oleh pelatih.
"ERICK TOHIIR GW Bilang JUGA APE..........🤪🤪🤪 Dia JAdi President INTER MILAN Bukan Karna dia AHLI STRATEGI tapi peluang CUANnya yang nuntut ERICK ada disana🤣🤣🤣 zaman ERICK BUMN Bagi"" kursi dirut, BBM Oplosan prestasinya NOL,......🤣🤣🤣",erick tohiir bilang ape president inter mil ahli strategi peluang cuannya nuntut erick sana zaman erick bumn kursi dirut bbm oplos prestasi nol,negatif,Kritik keras terhadap Erick Thohir dan prestasinya.
"Bukan nyari kambing hitam, apa ente gk melek min. Secara akal sehat masa lo gk bisa bedain mana main buat bangsa indo mana main buat kpentingan pribadi.",nyari kambing hitam ente melek akal sehat bedain main bangsa indo main kpentingan pribadi,negatif,Mengkritik kepentingan pribadi dalam permainan/keputusan.
Lawan arab apa kabar Yakob..gak jelas lu min,lawan arab kabar yakobgak,negatif,Kritik terhadap Yakob/admin.
ET out PK dan kru out😡😡🤬🤬🤬🤬,et out pk kru out,negatif,"Menuntut ET, PK, dan kru keluar."
Erick OUT,erick out,negatif,Menuntut Erick keluar.
Kalah sama negara cape verde 😂😂😂😂😂😂 Negara antah berantah seperti cape verde aja lolos piala dunia,kalah negara cape verde negara antah antah cape verde lolos piala dunia,negatif,Membandingkan negatif dengan Cape Verde yang lolos.
memalukan,malu,negatif,Mengungkapkan rasa malu.
Memang blum layak Indonesia main di pildun.. Makanya jgn lagi dilebel King king dong min.. King kong x 😂,blum layak indonesia main pildun jgn dilebel king king king kong,negatif,Menilai Indonesia belum layak dan menyindir label King.
Buktinya tidak tepat pakai pemain Diaspora maupun naturalisasi tetap aja kalah kalah jugo dan menunjukkan kegagalan timnas Indonesia melaju ke piala dunia hmmm,bukti pakai pemain diaspora naturalisasi kalah kalah jugo gagal timnas indonesia laju piala dunia hmmm,negatif,Menilai naturalisasi tetap gagal dan Timnas kalah terus.
Lebay amat min video nya,lebay video,negatif,Mengkritik video yang dianggap lebay.
Kesalahan sty di pecat😢😢,salah sty pecat,negatif,Menilai pemecatan STY sebagai kesalahan.
Mainnya pinter kalau wasitnya MAFIA ya payaaaah termasuk pelatihnya nooooooooL prestasi,main pinter wasit mafia ya payaaaah latih nooooooool prestasi,negatif,Mengkritik wasit/mafia dan pelatih tanpa prestasi.
