komentar,komentar_bersih,label_final,alasan_label
"Masih terima kita gagal bersama STY, dibandingkan sama di Patrick!!!",terima gagal sty banding patrick,negatif,Lebih menerima gagal bersama STY daripada Patrick.
"Kluivert out, kami rindu STY",kluivert out rindu sty,negatif,Menuntut Kluivert keluar dan merindukan STY.
"13:53 klok itu sombong, dia hanya cari panggung bak pahlawan gitu",klok sombong cari panggung bak pahlawan gitu,negatif,Mengkritik Klok sebagai sombong/cari panggung.
Hengkang? Kan ini timnas bukan klub bang,hengkang timnas klub bang,netral,Hanya memberi koreksi bahwa Timnas bukan klub.
"Erik suruh tanggung jwb tuh, dia kan duitnya byk. Byr kompensasi pake duitnya sendiri jgn pake duit negara. Dia kan yg spekulasi nyari pelatih baru dan dadakan. Dan dengar2 kompensasi sty msih nyicil. Setidaknya tanggung jwb byr pake duit pribadi, jgn pake duit negara. Pdhal kesempatan besar msuk pildun 2026 dan msuk sgt besar sekitar 70-80% di tangan sty. Mungkin karena tdk mau bayang2 iwan bule, makanya mecat sty.dan dia yakin indo lolos, makanya spekulasi ganti pelatih. Pdhal kesempatan lolos lebih besar, drpd th 2030. Knp??? Karena 2030 pasti kompetitor belajar byk dr kesuksesan indonesia naturalisasi. Jd jauh lebih berat.",erik suruh tanggung jwb tuh duit byk byr kompensasi pake duit jgn pake duit negara spekulasi nyari pelatih dada dengar kompensasi sty msih nyicil tanggung jwb byr pake duit pribadi jgn pake duit negara pdhal sempat msuk pildun msuk sgt tangan sty bayang iwan bule mecat stydan indo lolos spekulasi ganti pelatih pdhal sempat lolos drpd th kompetitor ajar byk sukses indonesia naturalisasi berat,negatif,Menuntut Erick bertanggung jawab atas spekulasi pelatih baru.
Mungkin belum saatnya nya timnas ke WC 26 . Toh timnas kalah nya tipii 2-3 dari Arab Saudi dan 1-0 dari Irak . 2 tim besar di Asia .,timnas wc timnas kalah tipi arab saudi irak tim asia,positif,Menerima kegagalan dan menilai Timnas kalah tipis dari tim besar.
"Kesempatan untuk ke piala dunia ditempuh dg cara yg tidak mudah udh selangkah lagi malah gugur. Pildun 2030 akan tambah susah dan ngga akan bisa juga masuk kualifikasi kayak skrg. Cuman skrg kesempatan nya bukan 2030, melihat grafik timnas yg merosot",sempat piala dunia tempuh dg mudah udh selang gugur pildun susah ngga masuk kualifikasi skrg cuman skrg sempat grafik timnas merosot,negatif,Pesimis kesempatan Piala Dunia berikutnya dan grafik Timnas menurun.
"Ini bukanlah akhir perjalanan, tapi awal dari fondasi generasi baru garuda dan penebusan dosa buat federasi",jalan fondasi generasi garuda tebus dosa federasi,positif,Melihat kegagalan sebagai awal fondasi generasi baru.
naturalisasi ngga cukup gmn. udah bagus banget ini naturalisasi. jangan seolah2 dibenturin kaya naturlisasi gk bisa berjalan beriringan sm pembinaan usia dini. ya bisa lah jalan bareng dua2nya. knp ngga? pembinaan itu hasilnya baru keliatan 15-20 tahun lg. terus mau ngapain selama rentang 15-20 tahun itu? maenin pemaen2 liga joget? makin ngejamban yg ada. teruskan lah naturalisasi. cari terus pemain2 yg punya kualitas kaya jay idzes. pembinaan n pembenahan liga ya teruskan jg. repot amat,naturalisasi ngga gmn udah bagus naturalisasi dibenturin kaya naturlisasi jalan iring bina usia ya jalan bareng ngga bina hasil liat lg ngapain rentang maenin pemaen liga joget ngejamban terus naturalisasi cari pemain kualitas kaya jay idzes bina benah liga ya terus jg repot,positif,Mendukung naturalisasi dan pembinaan berjalan bersama.
Yang bertanggung jawab atas gagalnya timnas world cup 2026 adalah PSSI dan tim kepelatihan Patrick Kluivert.,tanggung gagal timnas world cup pssi tim latih patrick kluivert,negatif,Menyalahkan PSSI dan tim kepelatihan Patrick atas kegagalan.
