komentar,komentar_bersih,label_final,alasan_label
"bukan cari kambing hitam, tapi tersingkir dengan kebodohan sendiri sungguh miris....",cari kambing hitam singkir bodoh sungguh miris,negatif,Menyebut tersingkir karena kebodohan sendiri.
Di ganti pelatih malah gagal lolos piala dunia,ganti pelatih gagal lolos piala dunia,negatif,Kritik pergantian pelatih yang berujung gagal lolos.
kita selama ini cuman ditipu PSSI,cuman tipu pssi,negatif,Menuduh publik ditipu PSSI.
asnawi yg underperform sty yg dipecat..,asnawi underperform sty pecat,negatif,Mengkritik keputusan memecat STY saat pemain yang underperform.
"Percaya gak ada mafia? Mustahil, sty aja bisa dilengserkan ditengah jalan, apalgi masang bekam klok saat pertandingan krusial😂 mafia,bisa bgt melakukan itu",percaya mafia mustahil sty lengser tengah jalan apalgi masang bekam klok tanding krusial mafiabisa,negatif,Dugaan mafia dan kritik pelengseran STY.
"Si botak Justin nggak upload video 😂😂, padahal semua pundit buat video tentang kekalahan indo , termasuk mamat, Hanif dan, bung binder 😏😏",si botak justin upload video pundit video kalah indo mamat hanif binder,netral,"Komentar tentang pundit/konten, tidak langsung ke Timnas."
Kalau Sty kalah : Sty out 🤬🤬🤬 Kalau Patrick kalah : sisakan ruang ikhlas 🙃🙃🙃,sty kalah sty out patrick kalah sisa ruang ikhlas,negatif,Sarkasme standar ganda terhadap STY dan Patrick.
"Dari gua masih bujang cok😅 ngawal timnas jalani kualifikasi pildun mulai dari lawan Brunei, sekarang gua udh punya anak satu, dan di gagal kan si Kluivert tai",bujang cok ngawal timnas jalan kualifikasi pildun lawan brunei udh anak gagal si kluivert tai,negatif,Kekecewaan karena perjuangan panjang digagalkan Kluivert.
"Kambing nya sudah ada jangan pura"" menjadi kambing putih hitam.nyatanya kambing itu kamufkase. Patrik data mengacak"" yang sudah bagus.hasilnya seluruh rakyat indonesia kecewa sangat kecewa...pelatih medioker kok menggantikan sty...katanya mau meloloskan ke pildun faktanya kacau balau dari pemilihan pemain pemahaman taktik kureng. Menurut saya wajib evaluasi 95% out. Investugasi patrik.. apakah ada praktek judol atau tidaknya.segera ada keputusan pak erik",kambing pura kambing putih hitamnyatanya kambing kamufkase patrik data acak bagushasilnya rakyat indonesia kecewa kecewapelatih medioker ganti stykatanya lolos pildun fakta kacau balau pilih pemain paham taktik reng wajib evaluasi out investugasi patrik praktek judol tidaknyasegera putus erik,negatif,Kritik keras kepada Patrick/PSSI dan kekecewaan publik.
Klw blunder pemain pelcija. Aman gak ada yg bahas..wkwkwk. gk persib gak makan. Gak jawabarat gak makan😂😂,klw blunder pemain pelcija aman bahaswkwkwk persib makan jawabarat makan,netral,Komentar bercanda tentang pemain/klub tanpa sentimen jelas.
media buzzer erik😅,media buzzer erik,negatif,Menuduh media sebagai buzzer Erick.
"Admin malas buat video ya, bikin nya kebanyakan pake AI",malas video ya bikin banyak pake ai,netral,"Kritik kepada admin/AI, bukan isu Timnas."
ET PK Pekok,et pk kok,negatif,Hinaan/kritik langsung kepada Erick dan Patrick.
gua udah pesimis saat STY di pecat dan di gantikan kulivert. kecewa udah pasti. lebih sakit lagi indonesia gagal bersama pelatih kulivert bukanya STY😢😢😢😢,udah pesimis sty pecat ganti kulivert kecewa udah sakit indonesia gagal pelatih kulivert buka sty,negatif,Pesimis dan kecewa setelah STY dipecat diganti Kluivert.
