komentar,komentar_bersih,label_final,alasan_label
Peryaterbodah dari ketua pssi,peryaterbodah ketua pssi,negatif,Menghina/menilai buruk ketua PSSI.
"Jngn jngn ujungnya...mlh wrtwan tanah air didiskriminatip, oleh federasi.",jngn jngn ujungnyamlh wrtwan tanah air didiskriminatip federasi,negatif,Mengkritik federasi karena dianggap mendiskriminasi wartawan.
"Yg jd pertanyaannya kan urgensi apa dulu ganti pelatih kalo memang niatnya 2030 ,, bukannya ganti pelatih agar kans indo lolos lebih besar untuk lolos .. kalo memang tak ada niat lolos udah aja jangan diganti dulu pelatihnya agar gak buang buang duit buat bayar pesangon . Aneh memang",tanya urgensi ganti pelatih kalo niat ganti pelatih kans indo lolos lolos kalo niat lolos udah ganti latih buang buang duit bayar sangon aneh,negatif,Mengkritik urgensi pergantian pelatih dan menyebut pemborosan/blunder.
"Mau gonta gnti pelatih top dunia... Gak bkalan lolos pildun indonesia, ..Selagi mafia"" di dlm it msih ada ..breyyyy.)/ cam kan itu.👇👌👍👍",gonta gnti pelatih top dunia bkalan lolos pildun indonesia selagi mafia it msih breyyyy cam,negatif,Menyebut mafia dan pesimis Indonesia lolos meski ganti pelatih.
"Ketua PSSI ini jelas ambisius dan munafik, kalau emng tujuan bukan untuk ke piala dunia ngapain untuk mendatangkan pelatih baru, padahal STY msh dlm misinya membangun sepakbola Indonesia.. Padahal sejak di tangani STY ada perubahan dari keterpurukan rangking 187-124",ketua pssi ambisius munafik emng tuju piala dunia ngapain pelatih sty msh misi bangun sepakbola indonesia tangan sty ubah puruk rangking,negatif,Mengkritik ketua PSSI dan keputusan mengganti STY.
ET mentalnya udah tercemar mafia..,et mental udah cemar mafia,negatif,Menuduh ET tercemar mafia.
semua atlet bermimpi bermain di panggung tertinggi.. saya mantan atlet. kalo turun turnament target nya juara.. klo tidak juara sudah memberikan yg terbaik.. bukan turun tanpa ambisi..,atlet mimpi main panggung tinggi mantan atlet kalo turun turnament target juara juara baik turun ambisi,negatif,Mengkritik sikap tanpa ambisi untuk mengejar prestasi tertinggi.
"Kbnykn yg komen ,cuma lihat judul judul yg ngk paham proses SPK bola indonesia",kbnykn komen lihat judul judul ngk paham proses spk bola indonesia,netral,"Lebih berupa komentar terhadap netizen/proses sepak bola, tidak menunjukkan sentimen jelas pada Timnas."
Nyimak ulsn perjalanan timnas indonesia dr b,nyimak ulsn jalan timnas indonesia,netral,Hanya menyimak ulasan perjalanan Timnas.
Timnas indo gatot,timnas indo gatot,negatif,Menyebut Timnas gagal total.
BUMN waja merugi,bumn waja rugi,netral,Komentar tidak jelas dan kurang relevan dengan sentimen Timnas.
"​ @sichannel6265 anda kayak netizen Malaysia, bahas bola tapi out konteks",netizen malaysia bahas bola out konteks,negatif,Mengkritik pihak lain karena dianggap membahas bola di luar konteks.
Kita harus sadar diri bos timnas kita peringkat 119 dunia dan peringkat 20 asia,sadar bos timnas peringkat dunia peringkat asia,netral,Menyampaikan fakta peringkat Timnas tanpa emosi kuat.
ETJadi mentri blunder ketua PSSI juga sama 😅 udah ga usah mengharap sama termul 😅😅,etjadi tri blunder ketua pssi udah harap termul,negatif,Mengkritik ET sebagai menteri dan ketua PSSI serta menyatakan tidak berharap.
Ngeles aluuuus ituu si tohir.. Seakan akan lepas tangan,ngeles aluuuus ituu si tohir akan lepas tangan,negatif,Mengkritik Tohir karena dianggap mengelak dan lepas tangan.
Waduh parah berarti ini para konten kreator. Nganggu konsentrasi pemain . harusnya pokus istirahat fokus latihan dan sebagainya. Udah tau masih dalam pertandingan. Hanya STY yang mengerti Arti disiplin.sesuai kata Abah Gusdur yang hanya bisa lolos kepildun kalau pemain sudah bisa disiplin Tinggi.,parah konten kreator nganggu konsentrasi pemain pokus istirahat fokus latih udah tanding sty erti arti disiplinsesuai abah gusdur lolos kepildun pemain disiplin,negatif,Mengkritik konten kreator dan menilai hanya STY yang memahami disiplin.
Emang kalian lebih baik dari Erik Tohir?????,emang erik tohir,positif,Membela/menantang kritik terhadap Erik Tohir.
Tidak pantas jadi pemimpin .,pimpin,negatif,Menyatakan seseorang tidak pantas menjadi pemimpin.
",,,pdhl dia jg pengen timnas ke piala dunia,,,cm salahnya knp mengganti sty di tengah jalan,,maksudnya pengen timnas lebih maju dan lolos ke pildun,,,tp malah blunder,,,dan untuk menutupi kesalahan dia akhirnya dia bilang seperti itu,,namun andai sty msh dipertahankan,,,mungkin aja timnas bs lolos pildun,,,nama pa erik pasti bagus jg di mata pecinta timnas karena berhasil membawa timnas ke piala dunia",pdhl jg ken timnas piala duniacm salah ganti sty jalanmaksudnya ken timnas maju lolos pilduntp blunderdan tutup salah bilang itunamun andai sty msh dipertahankanmungkin timnas bs lolos pildunnama pa erik bagus jg mata cinta timnas hasil bawa timnas piala dunia,negatif,Mengkritik keputusan mengganti STY dan menyebutnya blunder.
Sebelum main dengan ronde 4 ET datangi ke studio BBB dia untuk mencegah kritik padanya.,main ronde et datang studio bbb cegah kritik,negatif,Menilai ET datang untuk mencegah kritik.
