komentar,komentar_bersih,label_final,alasan_label
Progam jangka panjang Erik Thohir patut di contoh,progam jangka erik thohir patut contoh,positif,Pujian terhadap program Erick Thohir.
Kami bangga pada pemain timnas,bangga pemain timnas,positif,Bangga kepada pemain Timnas.
Thanks capt jay,thanks capt jay,positif,Ucapan terima kasih/apresiasi kepada Jay.
Setelah pemain Irak no 7 masuk pertahanan indonesia kocar kacir. Tetep semangat garuda,pemain irak no masuk tahan indonesia kocar kacir tetep semangat garuda,positif,Tetap memberi semangat kepada Garuda meski ada kekurangan.
"Marselino, struick, ivar adalah anak2 Muda yg menjadi roh permainan..",marselino struick ivar anak muda roh main,positif,Memuji pemain muda sebagai roh permainan.
"Wasitnya bagus Al Ali, tegas...",wasit bagus al ali,positif,Apresiasi terhadap kualitas wasit.
Kita mulai berjuang lebih keras lagi,juang keras,positif,Ajakan untuk terus berjuang lebih keras.
Kalian sudah luar biasa lebih baik dari yg kemarin ini yg sebenarnya kekuatan kita jangan salah siapa2 biar tenang hati kita,kemarin kuat salah biar tenang hati,positif,Apresiasi bahwa Timnas sudah lebih baik dan luar biasa.
Tegakan kepala mu Garuda Sampai di titik ini aja kalian sudah sangat luar biasa,tega kepala mu garuda titik,positif,Dukungan agar Garuda tetap tegak kepala.
"Skuad Mewah...Taktik Memble/Melempem, Wajar kalo ga lolos. Makasih tuk Skuad Garuda Atas Perjuangannya, insyaallah 2tahun kemudian Skuad Garuda Bisa Bicara Banyak Di Kancah Asia.",skuad mewahtaktik memblemelempem wajar kalo lolos makasih tuk skuad garuda juang insyaallah skuad garuda bicara kancah asia,negatif,Mengkritik taktik yang dianggap melempem sehingga gagal lolos.
"fokus dan berikan yg terbaik masih ada piala asia,",fokus baik piala asia,positif,Ajakan fokus dan memberi yang terbaik di Piala Asia.
"Kalah hal wajar.. Tidak perlu menyalahkan. Dunia sudah melihat permainan Indonesia yg hebat. Semangat Pelatih, semangat TIMNAS.",kalah wajar salah dunia main indonesia hebat semangat pelatih semangat timnas,positif,Menerima kekalahan dan memuji permainan Indonesia.
