komentar,komentar_bersih,label_final,alasan_label
​ @IbrahimZen0 setuju tapi klo saya lebih pilih dari italia,tuju pilih italia,netral,Hanya menyatakan pilihan pelatih dari Italia tanpa emosi jelas.
Kalau saya pilih jerman mengandalkan GEGENPRESING speed power dan tekhnik cocok untuk formasi 343 gaya agresif timnas dan 352 penguasaan tengah dan serangan ganda timnas indonesia,pilih jerman andal gegenpresing speed power tekhnik cocok formasi gaya agresif timnas kuasa serang ganda timnas indonesia,netral,Berisi usulan gaya/pelatih dari Jerman secara analitis.
​ @febrianiarafahf5386 boleh jg tp saya berharap allegri mau melatih timnas itu pun klo PK diganti,jg harap allegri latih timnas pk ganti,negatif,Berharap PK diganti sehingga mengandung kritik terhadap pelatih saat ini.
"Kami rakyat jecil juga ikut komentar ,ibarat kita punya ladang atau yg samgat subur tapi penggarapanya ecek2,hasilnya tetep tdk maksimal🙏🙏🙏",rakyat jecil komentar ladang samgat subur penggarapanya ecek hasil tetep maksimal,negatif,Mengkritik pengelolaan potensi Timnas yang dianggap tidak maksimal.
"Inilah permainan mafia,kalian tau siapa yg cair? Ya kalian tau sendiri indonesia ini ladang judi",main mafiakalian cair ya indonesia ladang judi,negatif,Menuduh adanya mafia/judi sehingga bernada kritik keras.
Hujat jngan pemain tetapi FEDERASI kita dan pengurus nya yg kita hujat ... Mereka2 ini sumber kegagalan kita,hujat jngan pemain federasi urus hujat sumber gagal,negatif,Menyalahkan federasi dan pengurus sebagai sumber kegagalan.
16:55 Menpora harus ultimatum ketum PSSI💯,menpora ultimatum tum pssi,negatif,"Meminta ultimatum kepada ketum PSSI, bernada kritik."
Sty lebih bagus tidak ada kesalahan yang dilakukan oleh sty terimakasih Garuda telah berjuang,sty bagus salah sty terimakasih garuda juang,positif,Memuji STY dan mengapresiasi perjuangan Garuda.
"Trimakasih buat pa ETO , ARIA S, DAN JAJARAN PSSI LAINYA, telah mengubur mimpi rakyat indonesia untuk menyaksikan timnas main d PIALA DUNIA,",trimakasih pa eto aria jajar pssi lai kubur mimpi rakyat indonesia saksi timnas main piala dunia,negatif,Sarkasme kepada PSSI karena dianggap mengubur mimpi rakyat.
Baru kali ini liat bung binder jengkel marah2,kali liat binder jengkel marah,netral,Hanya mengamati Bung Binder sedang marah/jengkel.
Tolong di bantu Pak Erick. Demi lambang garuda di dada,tolong bantu erick lambang garuda dada,positif,"Berisi permintaan bantuan demi lambang Garuda, bernada dukungan/harapan."
"Indonesia memang lebih coco main pragmatis, sedikit peluang tapi pertahanan kokoh dari pada main menyerang tapi kebobolan",indonesia coco main pragmatis peluang tahan kokoh main serang bobol,netral,Analisis gaya bermain pragmatis tanpa emosi jelas.
