komentar,komentar_bersih,label_final,alasan_label
Kluivert= kebodohan,kluivert bodoh,negatif,Menghina Kluivert sebagai kebodohan.
Sudah ga usah nangis Bro....kita tetap ada buat timnas...kalah ataupun menang...bravo timnas❤❤❤,nang brokita timnaskalah menangbravo timnas,positif,Memberi dukungan kepada Timnas dalam kalah maupun menang.
Respect!! thank u capt jay for everything,respect thank capt jay for everything,positif,Mengapresiasi kapten Jay.
Kalian hebat sudah melangkah sampai sejauh ini Bravo team timnas Indonesia❤❤❤,hebat lang bravo team timnas indonesia,positif,Memuji Timnas sudah melangkah jauh.
Evaluasi Evaluasi Terus kata Erick Thohir 🤣🤣🤣🤣!!!,evaluasi evaluasi erick thohir,negatif,Sarkasme terhadap Erick Thohir yang terus evaluasi.
tangis Kluivert adalah tangis bahagia atas apa yg diinginkan tercapai,tangis kluivert tangis bahagia capai,negatif,Sindiran bahwa tangis Kluivert adalah bahagia atas kegagalan.
Dulu tangis kebahagiaan sekarang tangis kekecewaan semangat timnas,tangis bahagia tangis kecewa semangat timnas,positif,Tetap memberi semangat kepada Timnas meski kecewa.
"Aktingnya Patrick menjiwai banget, pantasan di pertahankan sama si Erick satu profesi banyak bicara pintar akting dan manipulasi.",akting patrick jiwa pantas tahan si erick profesi bicara pintar akting manipulasi,negatif,Mengkritik Patrick dan Erick sebagai manipulatif.
Si towel sedang ber pesta ria ... Melihat kekalahan Indonesia dia sangat bangga dan senang...rasa ke gembira an towel sangat jelas,si towel ber pesta ria kalah indonesia bangga senangrasa gembira an towel,negatif,Mengkritik Towel yang dianggap senang atas kekalahan Indonesia.
"Tidak apa"" kalian sudah berjuang smpai di titik ini aja kalau saya sngt bangga liat ke majuan timnas.indonesia jaya sllu",juang smpai titik sngt bangga liat maju timnasindonesia jaya sllu,positif,Bangga terhadap kemajuan Timnas.
"Permainan timnas jauh lebih bagus dari sebelumnya laga tandang lawan arab, tetap semangat para pemain timnas, mungkin kita masih harus belajar banyak 👏👍🇮🇩",main timnas bagus laga tandang lawan arab semangat pemain timnas ajar,positif,Memuji permainan Timnas dan memberi semangat.
Capt jay dkk tetep pahlawan kami kalian udah mengharumkan nama bangsa.,capt jay dkk tetep pahlawan udah harum nama bangsa,positif,Menganggap Jay dan pemain sebagai pahlawan bangsa.
"Kalah atau menang, kalian tetap pahlawan bangsa..semangat terus..💪❤️🇲🇨",kalah menang pahlawan bangsasemangat,positif,Tetap mendukung pemain sebagai pahlawan bangsa.
"Alhamdulillah kalau timnas kalah, itu yang di inginkan TOWEL DAN ERICK THOHIR 👍👍👍👍👍",alhamdulillah timnas kalah towel erick thohir,negatif,Sarkasme terhadap kekalahan yang diinginkan Towel/Erick.
Tetap smngt pahlawan² lapangan hijau kami bangga pada permainan mlm ini yg kalian tunjukan walapun hasil berkata lain garuda² hebat 🎉🎉🎉🎉💪💪💪,smngt pahlawan lapang hijau bangga main mlm tunjuk walapun hasil garuda hebat,positif,Bangga terhadap permainan dan perjuangan Garuda.
