komentar,komentar_bersih,label_final,alasan_label
Sangat Bnar Sx Dan Sya Stju Spndpat Yg SmA,bnar sx sya stju spndpat,positif,Setuju dengan pendapat/konten yang dibahas.
Dari situ kita bisa belajar dari PK bagaimana caranya timnas bisa mendapatkan pinalti🤣,situ ajar pk timnas pinalti,negatif,Sarkas terhadap PK karena Timnas dianggap hanya mengandalkan penalti.
Yg males malesan kluivert bung,males malesan kluivert,negatif,Mengkritik Kluivert sebagai malas-malasan.
"Loh pinalti juga di sebabkan dari bentuk serangan...yang di langgar..jadi nilainya sama saja...kan tidak ujug"" finalti .😊. Kalau tidak ada serangan di kotak itu.",loh pinalti sebab bentuk seranganyang langgarjadi nilai saja ujug finalti serang kotak,netral,Menjelaskan konteks penalti tanpa emosi dominan.
Percuma lu bikin data .. Liat noh federasi kita bobrok nya kebangetan . STY sama PK cuman korban politik aja😅,bikin data liat noh federasi bobrok banget sty pk cuman korban politik,negatif,Mengkritik federasi dan menyebut STY/PK korban politik.
"​ @ridwanramadhan3182 para pecinta sty . Itu tidak akan bisa di ajak berdiskusi dengan tenang ..selalu ujung"" sty inilah itulah dg segala kehebatan . Yang sebetulnya miris karir sty di Korea ..di club' juga di pecat .belum kejadian pelemparan. Buzer"" yg khusus pro sty sudah di buat oleh selebriti"" yang kadung sudah buat kerjasama selama sty jadi pelatih disini mereka gak.mau rugi...",cinta sty ajak diskus tenang ujung sty dg hebat miris karir sty korea club pecat jadi lempar buzer khusus pro sty selebriti kadung kerjasama sty pelatih gakmau rugi,negatif,Mengkritik kelompok pendukung STY dan menyebut buzzer.
Mantab,mantap,positif,Memberikan respons pujian singkat.
"Ternak TAYO halu nya ketinggian pngen masuk piala dunia pdhl level timnas nya aja belum sampe,, dan kalo pun di latih si TAYO pasti gagal juga wkwk dan inget coach PK baru melatih tpi udh ketemu Tim level Asia semua dan yg meloloskan timnas ke round 4 itu coach PK, dia berhasil dpt poin di Laga krusial lawan china Dan Bahrain kok yg ngamuk2 fans TAYO?🤣 sedangkan TAYO kalah lawan china dan bahrain eh skrg yg sewot pemuja TAYO kocak jga😂 malah so soan ktanya suruh out Erick tohir out pdhl Erick tohir lebih berjasa dibanding si Korea 😂 kalo ketum nya bukan pak Erick mana mau pemain keturunan main dsini wkwkw itu krna loby pak Erick yg cerdas, jdi fans tayo itu jangan tutup mata jangan cuma junjungan kalian aja yg di puja2, kalo gak mau dukung timnas minggat aja sono ke Korea simpel kan😂",ternak tayo halu tinggi pngen masuk piala dunia pdhl level timnas sampe kalo latih si tayo gagal inget coach pk latih udh ketemu tim level asia lolos timnas round coach pk hasil dpt poin laga krusial lawan china bahrain ngamuk fans tayo tayo kalah lawan china bahrain skrg sewot puja tayo kocak jga so soan ktanya suruh out erick tohir out pdhl erick tohir jasa banding si korea kalo tum erick pemain turun main dsini wkwkw krna loby erick cerdas fans tayo tutup mata junjung puja kalo dukung timnas minggat sono korea simpel,positif,Membela PK/Erick dan mengajak mendukung Timnas.
"Kayakynya sty menolak naruralisasi yang berlebihan… tapi pssi kan pengen dapet cuan dari angaran maturalisasi, mayan brok angaran negara mulai dari scouting proses negosiasi dan pemberkasan duit terus itu… uang angaran di makan siapa…? Exco lah.. 🤣 sty itu cuma butuh striker doang… kata orang mah asian value",kayakynya sty tolak naruralisasi pssi ken dapet cuan angaran maturalisasi mayan brok angaran negara scouting proses negosiasi berkas duit uang angaran makan exco sty butuh striker doang orang mah asi value,negatif,Mengkritik PSSI/Exco terkait naturalisasi dan anggaran.
Kita bangun sepakbola sepuluh tahun capek nunggu uang dihamburkan beli pemain dan pelatih tidak jelas arah nya.,bangun sepakbola puluh capek nunggu uang hambur beli pemain pelatih arah,negatif,Mengkritik pemborosan uang untuk pemain dan pelatih.
sesuai namanya PK = Penalty Kick,sesuai nama pk penalty kick,negatif,Sarkas terhadap PK dengan istilah Penalty Kick.
Dari awal masyarakat tidak menghendaki STY di ganti karena waktu mepet dan ahir nya saling menyalahkan BBB. Sudah jadi buzer PSSI. 😂,masyarakat sty ganti mepet ahir salah bbb buzer pssi,negatif,Mengkritik pergantian STY dan buzzer PSSI.
"Hito aja repot, preeeet 😅😅😅",hito repot preeeet,negatif,Nada mengejek/merendahkan pihak tertentu.
"Gua justru lebih menyayangkan pemecatan luis milla, padahal jaman milla, permainan timnas beda bgt, dr yg biasa umpan jauh dr belakang ke umpan pendek khas tiki taka spanyol",sayang pecat luis milla jaman milla main timnas beda umpan umpan pendek khas tik taka spanyol,negatif,Menyayangkan pemecatan Luis Milla dan membandingkan permainan Timnas.
Setuju,tuju,positif,Menyatakan setuju.
"1,sty faham kekuatan tim, patrik sama sekali gk faham.",sty faham kuat tim patrik faham,negatif,Membandingkan STY dan Patrick dengan kritik terhadap Patrick.
"Kenapa sii ketua PSSI tuh bukan yg bener"" legenda sepakbola kita atau mending pengamat sepak bola yg emng berdedikasi ,bukan yg cuma karena cawe"" akhirnya timnas kita ancur gara gara keegoisan pak Erick Tohir dan para Exco PSSI ,the real mafia sepakbola..mending futsal tanpa mafia malah berprestasi",sii ketua pssi tuh bener legenda sepakbola mending amat sepak bola emng dedikasi cawe timnas ancur gara gara egois erick tohir exco pssi the real mafia sepakbolamending futsal mafia prestasi,negatif,"Mengkritik PSSI, Erick Thohir, dan Exco sebagai penyebab Timnas hancur."
#aryasinulingga,aryasinulingga,netral,Hanya berupa tagar/nama tanpa opini jelas.
"Ga usah serang PK, jelas sblmnya ada provokator suruh out STY. Salah kalian sendiri yg dukung STY out,, pdhl STY kesalahan pas lawan china doang",serang pk sblmnya provokator suruh out sty salah dukung sty out pdhl sty salah lawan china doang,negatif,Menyalahkan pihak yang mendukung STY keluar dan membahas provokasi.
"​ @mantzy_21 kami satu tongkrongan maksudnya,gak pernah setuju sty out,bahkan kami galaunya melebi di putus cinta rasanya",tongkrong maksudnyagak tuju sty outbahkan galau melebi putus cinta,negatif,Mengungkapkan kesedihan dan ketidaksetujuan terhadap STY out.
Ini statistik pelatih dri round 3 atau dri keseluruhan?,statistik pelatih dri round dri,netral,Berisi pertanyaan tentang statistik pelatih.
Jelas pola permainan STY jauh lebih kelihatan sedangkan pola yg katanya sipaling total football gurem kaga jelas mau main gimana,pola main sty pola sipaling total football gurem kaga main gimana,negatif,Mengkritik pola permainan era pelatih baru yang dianggap tidak jelas.
"Hal terbodoh pecat STY, siapa yang bertanggung jawab",bodoh pecat sty tanggung,negatif,Menyebut pemecatan STY sebagai hal bodoh.
Blunderr ET dan PSSI .. Patrik sama saja dengan Simon !!!,blunderr et pssi patrik simon,negatif,"Mengkritik ET, PSSI, dan Patrick."
Tapi sayang STY pasti tidak akan bisa come back ke timnas senior,sayang sty come back timnas senior,negatif,Mengungkapkan kekecewaan karena STY tidak bisa kembali.
"Kluivert pelatih gagal. Gagal total. Tapi Ngapain memakai jasa STY lagi. 5 tahun menjabat Timnas Nol juara, Nol Thropy, Gagal U23 Olympiade Paris.",kluivert pelatih gagal gagal total ngapain pakai jasa sty jabat timnas nol juara nol thropy gagal olympiade paris,negatif,Mengkritik Kluivert dan juga menilai STY gagal.
"musuh Era STY adalah wasit ,dimulai dari Piala Asia vs Qatar,vs Uzbekistan,vs Ginuea (playoff),vs Bahrain (qualifier),",musuh era sty wasit piala asia vs qatarvs uzbekistanvs ginuea playoffvs bahrain qualifier,negatif,Mengeluhkan faktor wasit sebagai lawan era STY.
"​ @wahyup4njiandrianto940 apologi, nyalahin wasit. 5 tahun No Thropy, No Juara, sekelas AFF Gagal, timnas U23 gagal Olimpiade Paris. Indonesia butuh hasil. Raport merah untuk pelatih yg tidak menorehkan prestasi. Ngapain jasanya dipakai lagi.",apologi nyalahin wasit no thropy no juara kelas aff gagal timnas gagal olimpiade paris indonesia butuh hasil raport merah pelatih toreh prestasi ngapain jasa pakai,negatif,Mengkritik STY dengan catatan gagal dan tanpa trofi.
yes,yes,netral,Hanya memberi respons singkat tanpa konteks sentimen jelas.
Patrick Out Tavares In,patrick out tavares in,negatif,Menuntut Patrick keluar.
sty 5 tahun patrik 5 bulan mungkin 🤣🤣🤣 patrik gak bagus tapi sty juga gak bagus andai bahrain cina menang,sty patrik patrik bagus sty bagus andai bahrain cina menang,negatif,Menilai Patrick dan STY sama-sama tidak bagus.
"@ranggaa741 masih ada buzzer model gini, lupa kah kalo 3 tahun tidak ada pertandingan karena covid? udah overused sekali alias basi beralasan STY sudah 5 tahun gak bikin perubahan, template buzzer sekali",buzzer model gin lupa kah kalo tanding covid udah overused alias basi alas sty bikin ubah template buzzer,negatif,Mengkritik buzzer dan membela STY dengan nada menyerang.
