komentar,komentar_bersih,label_final,alasan_label
Ke gagalan adalah pelajaran yg sangat berharga doa dukungan buat pejuang timnas menjadi sejarah bisa masuk round 4 PPD Kami rakyat indonesia terus mendukung timnas kami bravo Timnas 💪,gagal ajar harga doa dukung juang timnas sejarah masuk round ppd rakyat indonesia dukung timnas bravo timnas,positif,Dukungan dan doa untuk perjuangan Timnas.
"Cakep banget pemain PERSIB mainnya, Tom, Aliano, SALUT ATAS PERJUANGSN KALIAN.",cakep pemain persib main tom aliano salut perjuangsn,positif,Pujian kepada pemain dan perjuangan mereka.
"Hari yg menyenangkan bwd towel,Arya, tohir",senang bwd towelarya tohir,negatif,Sindiran bahwa pihak tertentu senang Timnas kalah.
"Kalah menang hal yang biasa, Kalian garudaku sudah berjuang, terimakasih atas perjuangan kalian. Teruss semangat garudaku",kalah menang garuda juang terimakasih juang teruss semangat garuda,positif,Mengapresiasi perjuangan Garuda dan memberi semangat.
Mantap Pak Erick 😂!,mantap erick,negatif,Sarkasme terhadap Erick Thohir.
Ketum PSSI dan pelatih PK harus bertanggung jawab,tum pssi pelatih pk tanggung,negatif,Meminta PSSI dan pelatih bertanggung jawab.
"Tidak usah sedih lagi bg haye kalian para pemain timnas Indonesia,kami para superter selalu mendukung perjuangan kalian semua nya,kami sangat bangga dan selalu mendukung.",sedih bg haye pemain timnas indonesiakami superter dukung juang nyakami bangga dukung,positif,Dukungan kepada pemain dan kebanggaan terhadap Timnas.
Timnas Ksyngan Ku.....Klian Semua Sangat Trbaik Dan Tlah Mmbuktikan Kmampuan Yg Luar Biasa Trus Lah Brjuang & Ttap Smangat Sprti Biasa Krena 2030 Tlah Menanti Kalian,timnas ksyngan kuklian trbaik tlah mmbuktikan kmampuan brjuang ttap smangat sprti krena tlah,positif,Pujian dan dukungan kepada Timnas untuk masa depan.
yg mengecewakan bukan kekalahan lawan irak tetapi peluang terbesar kita masuk piala dunia yang harus pupus karena keputusan erik tohir,kecewa kalah lawan irak peluang besar masuk piala dunia pupus putus erik tohir,negatif,Kecewa karena peluang Piala Dunia pupus akibat keputusan Erick.
Sudah berjuang untuk timnas Indonesia.terimakasih,juang timnas indonesiaterimakasih,positif,Ucapan terima kasih atas perjuangan Timnas.
Terima kasih punggawa Garuda kalian luar biasa,terima kasih punggawa garuda,positif,Apresiasi kepada punggawa Garuda.
Kesalahan fatal mengganti pelatih,salah fatal ganti pelatih,negatif,Kritik terhadap keputusan mengganti pelatih.
"Trima kasih telah Berjuang untuk Indonesia,kalah hal yg biasa ,semoga kedepannya lebih matang dan kompak lagi.",trima kasih juang indonesiakalah moga depan matang kompak,positif,Ucapan terima kasih dan harapan lebih baik.
Terus semangat garudaku..kami tetap pahlalawan bangsa,semangat garudakukami pahlalawan bangsa,positif,Dukungan dan semangat untuk Garuda.
"se 7 spndapat ,bner2 gk kerja semalem wasit buat cek var gedek sendiri gua bg",spndapat bner kerja semalem wasit cek var gedek bg,negatif,Kritik terhadap kinerja wasit/VAR.
Sudah tak ada harapan dah,harap dah,negatif,Menunjukkan hilangnya harapan.
Ngaku aja lah bray kalau Indonesia masih blm bagus permainannya walaupun wasitnya berat sebelah,ngaku bray indonesia blm bagus main wasit berat belah,negatif,Menilai permainan Indonesia belum bagus.
Cair2,cair,netral,Komentar terlalu singkat dan tidak jelas konteksnya.
Tangis bahagia,tangis bahagia,netral,Ungkapan ambigu tanpa konteks sentimen jelas.
betul air mata durhaka..,air mata durhaka,negatif,Sindiran negatif tentang air mata.
Betul.. Dia aslinya dapat uang banyak dari Arab..,asli uang arab,negatif,Tuduhan menerima uang dari Arab.
Air mata pk air mata durjana,air mata pk air mata durjana,negatif,Sindiran keras terhadap air mata Patrick.
