komentar,komentar_bersih,label_final,alasan_label
Kecewa ke 2x nya setelah era kegelapan 😅,kecewa era gelap,negatif,Kecewa terhadap era/kondisi Timnas.
"Untuk semua para pemain tanpa terkecuali, terima kasih sudah berjuang untuk negara ini, mari berjuang kembali di piala dunia berikutnya. Tetap semangat.",pemain kecuali terima kasih juang negara mari juang piala dunia semangat,positif,Mengucapkan terima kasih dan memberi semangat kepada pemain.
Kalau korupsi nomor satu Indonesia tetapi kalau main bola tahu sendiri kan,korupsi nomor indonesia main bola,negatif,Bernada kritik terhadap kondisi Indonesia dan sepak bola.
Sudah terjdi sudah pupus juga harapan . Waktunya kita fokus ke piala asia. Dengan pemain pemain saat. ini timnas waktunya punya target tinggi di piala asia...p,terjdi pupus harap fokus piala asia pemain pemain timnas target piala asiap,positif,Menerima kegagalan dan mengarahkan harapan ke Piala Asia.
Menanti pendapat komentar coach Anjas Sucipto,dapat komentar coach anjas sucipto,netral,Hanya menunggu pendapat/komentar pihak lain.
"Jangan Lupa Coach Rahmad Dharmawan, Fakhri Husainie & Aji Santoso.",lupa coach rahmad dharmawan fakhri husainie aji santoso,netral,Hanya menyebut nama-nama pelatih tanpa opini jelas.
yg wajib di salahin tetep PK sama ET!!!,wajib salahin tetep pk et,negatif,Menyalahkan PK dan ET secara langsung.
Q sempet ngrasain ditangan sty siapapun lawan timnas ada kepercayaan diri dan keyakinan bahwa kita bisa mengatasinya..tp sebaliknya begitu ditangan petrik keyakinan itu hilang.,sempet ngrasain tang sty lawan timnas percaya yakin mengatasinyatp tang trik yakin hilang,negatif,Membandingkan STY dengan Patrick dan menyatakan keyakinan hilang.
Intinya ET harus tanggungjawab,inti et tanggungjawab,negatif,Menuntut ET bertanggung jawab.
Menunggu komen lord anjas,tunggu komen lord anjas,netral,Hanya menunggu komentar pihak lain.
Sakit cuk😢,sakit cuk,negatif,Ekspresi sakit/kecewa.
Ego KETUM yang mendatangkan pelatih penjudi yang sedang menganggur,ego tum pelatih judi anggur,negatif,Kritik keras kepada ketua umum dan pelatih.
"Entah kenapa gw lbh ikhlas klo timnas gagal lolos pildun bareng sty drpd temennya spongebob ini, ky lbh keseeel gitu....",lbh ikhlas timnas gagal lolos pildun bareng sty drpd temennya spongebob ky lbh keseeel gitu,negatif,Lebih ikhlas gagal bersama STY daripada pelatih pengganti; bernada kecewa.
"Di awali Brunei, dan di akhiri oleh Iraq.. Terimakasih timnas Indonesia, meskipun gagal tapi perjalanan kalian sudah cukup jauh.. 🔥🇮🇩",awal brunei iraq terimakasih timnas indonesia gagal jalan,positif,Mengucapkan terima kasih dan mengapresiasi perjalanan Timnas.
Alhamdulillah. Terima kasih Allah SWT atas kesempatan yang diberikan hingga 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩 bisa mencapai sejauh ini dlm perjalanan WC2026. Semoga 🇮🇩 bisa sukses di ajang-ajang lainnya. Aamiin YRA 🤲🤲🤲🤲🤲,alhamdulillah terima kasih allah swt sempat capai jalan wc moga sukses ajangajang aamiin yra,positif,Bersyukur dan berharap Indonesia sukses di ajang lain.
"Memang dari awal saya sudah yakin Indonesia akan kesulitan lolos karena pergantian pelatih di tengah kompetisi. Blundernya di situ tapi mw bagaimana lagi, nasi sudah menjadi bubur.saya yakin suatu saat Indonesia akan terbang lebih tinggi lagi",indonesia sulit lolos ganti pelatih kompetisi blundernya situ mw nasi bubursaya indonesia terbang,negatif,Mengkritik pergantian pelatih sebagai blunder.
Berduka cita atas kegagalan timnas Indonesia,duka cita gagal timnas indonesia,negatif,Berduka atas kegagalan Timnas.
"Semoga di edisi berikutnya tuhan mengijinkan untuk negara gila bola ini lolos piala dunia,jadikan pelajaran untuk kedepannya",moga edisi tuhan mengijinkan negara gila bola lolos piala duniajadikan ajar depan,positif,Berisi harapan agar Indonesia lolos pada edisi berikutnya.
"Catatan penting bahwa bermainlah sesuai kapasitas pemain jangan memaksakan diri untuk bermain diluar kapasitas akibatnya pemain lah yang disalahkan karena tidak sesuai ekspektasi, ego PSSI seakan dengan menambah naturalisasi akan langsung menjadi tim elit asia memaksakan. Pemain kita memang sudah bagus tetapi apakah sesuai kapasitasnya tentu tidak , Patrick berpikir dia bermain sebagai pemain bukan sebagai pelatih jadi yang penting nyerang saja dia tidak peduli pertahanan mungkin dia pikir dirinya yang bermain yang bisa cetak gol tetapi masalahnya kan Indonesia sulit mencetak gol , dan itu hukumnya nyata elu gak bisa nyetak gol , elu kalah , beda dengan sifat reaktif elu enggak kebobolan elu enggak kalah, sepakbola menyerang engga ada salah tetapi balik lagi tidak ada gol membuat pemain kebingungan dan frustasi, lihat pemain Irak menurut saya kecerdikan mereka bermain relatif reaktif dan membalikkan ke jati diri cukup 2 peluang untuk melumpuhkan Garuda, cukup menunggumu Indonesia membuat kesalahan, ini bukan sekedar momentum tetapi perhitungan detail yang tidak semua tim mempunyai hanya tim elit yang bisa mengkalkulasi. Kesimpulan jangan pernah Memaksa pemain Bermain melebihi kapasitasnya Di klub kenapa bisa bagus karena support nya baik , sedangkan kita siapa yang mampu berperan demikian.",catat main sesuai kapasitas pemain paksa main luar kapasitas akibat pemain salah sesuai ekspektasi ego pssi akan tambah naturalisasi langsung tim elit asia paksa pemain bagus sesuai kapasitas patrick pikir main pemain pelatih nyerang peduli tahan pikir main cetak gol indonesia sulit cetak gol hukum nyata elu nyetak gol elu kalah beda sifat reaktif elu bobol elu kalah sepakbola serang engga salah gol pemain bingung frustasi lihat pemain irak cerdik main relatif reaktif balik jati peluang lumpuh garuda tunggu indonesia salah dar momentum hitung detail tim tim elit kalkulasi simpul paksa pemain main lebih kapasitas klub bagus support peran,negatif,"Kritik panjang terhadap PSSI, Patrick, dan pemaksaan kapasitas pemain."
"Sangat disayangkan, perjuangan banget timnas Indonesia sampai babak keempat Kualifikasi Piala Dunia 2024 zona Asia (AFC) 🙏🤦😓😭😤. Tapi tetap semangat, masih ada beberapa kompetisi yang harus diikuti. Masih lama menunggu Piala Dunia 2030.",sayang juang timnas indonesia babak empat kualifikasi piala dunia zona asia afc semangat kompetisi ikut tunggu piala dunia,positif,"Meskipun kecewa, tetap memberi semangat untuk kompetisi berikutnya."
Semoga Kita Lebih Baik Di Edisi Berikutnya,moga edisi,positif,Harapan agar Timnas lebih baik di edisi berikutnya.
Sabar ya timnas garudaku. Saya salut permainan SDH bagus.tapi belum lolos Krn ada pihak tak bertanggung jawab menggagalkan timnas . Semoga kedepan tetap maju dan lolos piala dunia 2030. Ayo maju garudaku .❤❤❤,sabar ya timnas garuda salut main sdh bagustapi lolos tanggung gagal timnas moga depan maju lolos piala dunia ayo maju garuda,positif,"Memberi dukungan, apresiasi, dan harapan agar Timnas maju."
"Harus nya dengan skuad saat ini bisa lolos piala dunia,ketika pemain yg berkelas bermain nyatanya bisa menang dan bermain bagus,tapi tinggal selangkah lagi malah pemain nya yg bagus tidak di mainkan,mau nyesel tapi gimna lagi semua sudah terjadi,",skuad lolos piala duniaketika pemain kelas main menang main bagustapi tinggal selang pemain bagus mainkanmau nyesel gimna,negatif,Menyesalkan keputusan tidak memainkan pemain bagus saat peluang lolos ada.
