komentar,komentar_bersih,label_final,alasan_label
ET mundur aja. Klo demi popularitas politik. STY back trust the proses.,et mundur popularitas politik sty back trust the proses,negatif,Meminta ET mundur dan mengaitkan dengan popularitas politik.
​ @MicroGSX ada yang lebih baik dari ET? Mau iwan bule mimpin pssi lagi?,et iwan bule mimpin pssi,netral,Berupa pertanyaan/perbandingan tentang pengganti ET.
ah ET mah menang membanggakan diri kalah ngilang sok sibuk,ah et mah menang bangga kalah ngilang sok sibuk,negatif,Mengkritik ET yang dianggap muncul saat menang dan menghilang saat kalah.
@irunaonline8532 kalah sibuk umroh dia🤣🤣 ngurusin bumn kaga pecus malah si wowo ngrekrut ni mafia jdi menpora😂😂,kalah sibuk umroh ngurusin bumn kaga cus si wowo ngrekrut ni mafia menpora,negatif,Mengkritik ET/pemerintah dengan nada kasar dan tuduhan mafia.
"​ @brainvoltz di inter itu juga di karenakan bisnis apakah timnas di jadikan ajang bisnis sama dia juga kalau di liga sistim kontrak pemain tapi kalau di timnas naturalisasi pemain, brow",inter karena bisnis timnas jadi ajang bisnis liga sistim kontrak pemain timnas naturalisasi pemain brow,negatif,Mencurigai Timnas dijadikan ajang bisnis.
"Disini ya, ranahnya itu udah politik sebenernya. Dulu kan ada agen sepak bola Tom Byer yg bilang sepak bola Indonesia itu terlalu berpolitik. Harusnya Indonesia itu Brazilnya Asia Tenggara. Jadi ya mungkin salah satunya agar sepak bola Indonesia meningkat, harus kawal terus politik Indonesia. Termasuk yg kemarin kemarin itu. Udah ditepatin belum janjinya. Maap bukan maksudnya buat nyulut api, tapi emang benang merahnya disitu 🙏",ya ranah udah politik sebenernya agen sepak bola tom byer bilang sepak bola indonesia politik indonesia brazilnya asia tenggara ya salah satu sepak bola indonesia tingkat kawal politik indonesia kemarin kemarin udah ditepatin janji maap maksud nyulut api emang benang merah situ,negatif,Mengkritik kuatnya unsur politik dalam sepak bola Indonesia.
Sakit hati banget gue bro serius si Eric dan konco konconya asli ingin kuberkt kasar,sakit hati serius si eric konco konco asli kuberkt kasar,negatif,Mengungkap sakit hati dan kemarahan terhadap Erick serta kelompoknya.
"Kok kayaknya kita masih kepedean aja ya, Bila kita masuk level dunia😮 udh ga kaget kok kalo kalah, kaget itu justru pas menang, kok bisa??",kayak kepedean ya masuk level dunia udh kaget kalo kalah kaget menang,negatif,Cenderung pesimis dan menyindir level Timnas.
"Satu lagi, STY datang di saat kondisi Timnas lagi terpuruk. Sampai2 harus bikin kebijakan ekstrem potong generasi, dan diajari lagi teknik dasar main bola yang bener 🙂 Jangan lupa, di saat yang sama STY juga dapet tawaran ngelatih Timnas China, dengan gaji berkali2 lipat lebih besar. Tapi dia lebih milih ngelatih Timnas yang peringkatnya 170an dan lagi ancur2 nya, plus gaji yang jauh lebih kecil. Bertahun2 ngebangun Timnas, sampai Timnas kita terus berprogres dan makin kebentuk. Dan di tengah progress yang baik ini, tiba2 aja gak ada angin gak ada hujan, BOOM muncul ""gebrakan"" dari federasi 🙂🙃",sty kondisi timnas puruk bikin bijak ekstrem potong generasi ajar teknik dasar main bola bener lupa sty dapet tawar ngelatih timnas china gaji kali lipat milih ngelatih timnas peringkat an ancur plus gaji tahun ngebangun timnas timnas progres bentuk progress angin hujan boom muncul gebrak federasi,negatif,"Memuji proses STY, tetapi dominan mengkritik gebrakan federasi yang memotong progres."
Es teh ye lagi,es teh ye,netral,Komentar singkat/vague tentang STY.
