komentar,komentar_bersih,label_final,alasan_label
"Setuju, seenggaknya timnas era STY permainannya cakep, lebih enak dilihat.",tuju enggak timnas era sty main cakep enak,positif,Memuji permainan Timnas era STY yang dinilai lebih enak dilihat.
Saya bukan pendukung STY tapi saya rasa selama masih STY yg pegang ada kemungkinan kita lolos karna STY sudah paham betul karakter 2 pemain lawan kita,dukung sty sty pegang lolos sty paham karakter pemain lawan,positif,Menilai peluang lolos lebih besar jika STY masih melatih.
taktik total bingung,taktik total bingung,negatif,Mengkritik taktik yang dianggap membingungkan.
yg harus di salahkan jelas PSSI,salah pssi,negatif,Menyalahkan PSSI secara langsung.
"Komen terngaco😂 orang2 kek gini itu ampas banget di dunia sepak bola, mendukung sebuah tim tapi ketika kalah malah menyudutkan dan menyalahkan satu belah pihak😂, noh si papa lu 10 match cmn menang 2x ujungnya dipecat😂",komen terngaco orang gin ampas dunia sepak bola dukung tim kalah sudut salah belah noh si papa match cmn menang ujung pecat,negatif,Mengandung hinaan dan kritik dalam konteks kekalahan/perdebatan pelatih.
"strategi apa ini PK main muter"" dari tengah ke belakang, masa pemain bertahan di suruh ngatur ritme permainan di paksa lama megang bola 😢",strategi pk main muter pemain tahan suruh ngatur ritme main paksa megang bola,negatif,Mengkritik strategi PK yang dianggap tidak jelas.
"Barusan dipecat Ulsan.,.... Emangnya kita pemungut sampah....",barusan pecat ulsan emang mungut sampah,negatif,Mengkritik pemilihan pelatih dengan sindiran.
YESSSSSS BETULLL,yessssss betulll,positif,Menyatakan persetujuan kuat terhadap pendapat yang didukung.
Gk ada alasan buat PSSI dan mempora. TANGGUNG JAWAB donk...!!,alas pssi pora tanggung donk,negatif,Menuntut tanggung jawab PSSI dan Menpora.
Karena Sty berjuang. Dari nol. Saya juga rela,sty juang nol rela,positif,Mengapresiasi perjuangan STY dari nol.
TEMPLATE KOCAKK,template kocakk,netral,Komentar bercanda/menilai template tanpa sentimen jelas ke Timnas.
semua orang mungkin gitu bang,orang gitu bang,netral,Komentar umum tanpa sentimen jelas.
Lebih ngenakin taktiknya. Gak tau kenapa dari ten hag ke kluivert saya melihatnya gk da taktik. Jadi bkin trauma pelatih belanda.,ngenakin taktik ten hag kluivert da taktik bkin trauma pelatih belanda,negatif,Mengkritik taktik pelatih Belanda/Kluivert yang dianggap tidak ada.
Pemain2 ini luar biasa… mereka bisa ke piala dunia (sebenarnya)… mereka sudah membuktikan di tangan pelatih yang tepat mereka bisa berjuang mengeluarkan potensi terbaik mereka dan MENANG… di tangan pelatih sekarang meraka juga berjuang luar biasa… tetapi apa yang ditakutkan akhirnya terjadi ketika pelatih yang baru (ternyata) lebih mengutamakan filosofi daripada hasil akhir… menempatkan gaya permainan menyerang sebagai prioritas dibandingkan mimpi 300 juta rakyat indonesia… pelatih yang dipilih federasi untuk menggantikan pelatih lama yang sudah terbukti bisa memaksimalkan potensi pemain sambil menjaga prioritas peluang timnas ke piala dunia…,pemain piala dunia bukti tangan pelatih juang keluar potensi baik menang tangan pelatih raka juang takut pelatih utama filosofi hasil tempat gaya main serang prioritas banding mimpi juta rakyat indonesia pelatih pilih federasi ganti pelatih bukti maksimal potensi pemain jaga prioritas peluang timnas piala dunia,negatif,Mengkritik pelatih baru dan federasi meski mengapresiasi pemain.
"Hadeh...katanya mau perbaikan, gw setuju ke gagalan ini harus mengganti sang pelatih, tapi harus fair juga donk, masa sty kalah 3x berturut2 sampe gagal olimpiade, trus dinganti, trus dongkolnya sampe sekarang, move on donk.",hadehkatanya baik tuju gagal ganti sang pelatih fair donk sty kalah sampe gagal olimpiade dinganti dongkol sampe move on donk,negatif,Mengkritik kegagalan dan meminta move on dari konflik pelatih.
Sahronikan towel. Dia awal kehancuran ini,sahronikan towel hancur,negatif,Menyalahkan pihak tertentu sebagai awal kehancuran.
Betooooollll❤❤,betooooollll,positif,Menyatakan persetujuan/dukungan.
si tohir harus di buang dari pssi karena menghamburkan uang pajak kita semua untuk bayar mahal pemain asing kulit putih mata biru tinggi dan hidung non pesek,si tohir buang pssi hambur uang pajak bayar mahal pemain asing kulit putih mata biru hidung non pesek,negatif,Mengkritik Erick/PSSI dan kebijakan pemain naturalisasi dengan nada negatif.
Diajak main emang?,ajak main emang,netral,Pertanyaan singkat tanpa konteks sentimen jelas.
Komentar Lo kena di hati gua bang 😂 gua setuju ma Lo...,komentar kena hati bang tuju ma,positif,Menyatakan setuju dan merasa komentar tersebut tepat.
