komentar,komentar_bersih,label_final,alasan_label
"Erik Tohir harus buktikan omongannya, mundur dari PSSI.",erik tohir bukti omong mundur pssi,Negatif,Menuntut Erick Thohir mundur dari PSSI.
Tidak usa nangis,usa nang,Negatif,Nada meremehkan/tidak simpatik terhadap kekalahan.
Asik menang judi ucap pk 😂😂😂😂,asik menang judi pk,Negatif,Sarkasme terhadap Patrick dan isu judi.
Angkat koper mu petrik jdi pelatih timnas Garuda,angkat koper mu trik pelatih timnas garuda,Negatif,Menyuruh Patrick pergi dari Timnas.
"Reformasi mental,,, yang jujur,,, sty d ganti,, olah raga sportipitas,, kengurusan ya harus sportip",reformasi mental jujur sty ganti olah raga sportipitas kengurusan ya sportip,Negatif,Kritik terhadap mental dan tata kelola olahraga/PSSI.
Patrick Kluivert menang banyak 😅😅😅,patrick kluivert menang,Negatif,Sarkasme bahwa Patrick menang banyak.
"Akhir nya jadi begini nih hancur lebur gara"" kuliver",hancur lebur gara liver,Negatif,Kekecewaan terhadap hasil karena Kluivert.
Sakit,sakit,Negatif,Ekspresi sakit/kecewa.
Terimalasih STY,terimalasih sty,Positif,Ucapan terima kasih kepada STY.
Jangan bersedih. Persiapkan dari saat ini untuk Pildun 4 tahun mendatang. Cari bakat terbaru baik Lokal.maupun naturalisasi tambahan. Semoga.Puldun 2030 Indonesia masuk sebagai peserta nya. Semoga kita.maaih awhat dna oanjang umur untuk menyaksikan anak2 muda main di piala Dunia.2030 nya😂,sedih siap pildun cari bakat baru lokalmaupun naturalisasi tambah semogapuldun indonesia masuk serta moga kitamaaih awhat dna oanjang umur saksi anak muda main piala dunia,Positif,Dukungan dan harapan untuk Piala Dunia berikutnya.
"Gagal maning,.",gagal maning,Negatif,Ekspresi kecewa karena gagal lagi.
Ya sudah.. ga usah salahin mereka. Setidaknya udah berjuang. Fokus pembenahan sepak bola.,ya salahin udah juang fokus benah sepak bola,Positif,Mengapresiasi perjuangan dan mengajak pembenahan.
Pembawa acara dan komentator kalau mengulas jalan nya pertandingan harus bersikap obyektif dan jangan provokatif.,bawa acara komentator ulas jalan tanding sikap obyektif provokatif,Netral,"Komentar tentang pembawa acara/komentator, bukan sentimen Timnas."
