komentar,komentar_bersih,label_final,alasan_label
Next optimis di piala asia 2027 Kalah menang tetap dukung Garuda 🇲🇨🇲🇨🇲🇨❤,next optimis piala asia kalah menang dukung garuda,positif,Optimis dan tetap mendukung Garuda.
"Engga, sebagai warga NKRI aku ga terwakili, ga terpuji sama sekali. Walaupun memang kontroversi, tpi bukan begitu cara bereaksinya. Lagipula walaupun kontroversi, nyatanya Timnasnya aja yg ga bisa cetak gol, toh Iraq nyetak golnya juga fair.",engga warga nkri wakil puji kontroversi reaksi lagipula kontroversi timnasnya cetak gol iraq nyetak gol fair,negatif,Tidak merasa terwakili dan mengkritik Timnas yang gagal mencetak gol.
"​ @adhityahafiizhb3164 lha🤔 Ridho pun sempat mencaci maki Ma Ning, di babak ke dua. Ma ning pasti nya gak ngerti kalimat apa yg dibilang Rizky Ridho, tapi intensi nya jelas, Ridho jengkel dan nge hujat Ma Ning dan wasit mengeluarkan K. Kuning buat Ridho. kalo pemain dan Official crew sudah kek gitu , itu bukti bahwa seluruh emosi Supporter pun sama kek mereka berdua juga",lha ridho caci maki ma ning babak ma ning ngerti kalimat bilang rizky ridho intensi ridho jengkel nge hujat ma ning wasit keluar kuning ridho kalo pemain official crew gitu bukti emosi supporter dua,negatif,Menggambarkan emosi negatif pemain/official dan supporter.
Memalukan perbuatan tidak terpuji..,malu buat puji,negatif,Menilai tindakan tersebut memalukan.
Kecewa boleh.. Fitnah jgn ya nak,kecewa fitnah jgn ya nak,negatif,Kecewa dan memperingatkan agar tidak memfitnah.
​ @bayusetio3920 terima kasih buat toel,terima kasih toel,netral,Ucapan terima kasih singkat tanpa konteks jelas.
Komen terbodoh sekabupaten,komen bodoh kabupaten,negatif,Menghina komentar orang lain.
​ @Shp69-p6t dan yang merasa lebih hebat pun ternyata sebaliknya 😅😅😅,hebat,negatif,Sindiran bahwa pihak yang merasa hebat ternyata sebaliknya.
Kurang uang kayak nya😅😂😂,uang,negatif,Tuduhan negatif soal uang.
Ga sekalian pak Prabowo jugaa? Respect pemain timnas Indonesia pelatih ofisial dan PSSI,prabowo jugaa respect pemain timnas indonesia pelatih ofisial pssi,positif,"Memberi respect kepada pemain, pelatih, official, dan PSSI."
Trus apa yg mau dijawab? Harus menang ? 😂😂😂 ingat terakhir 5-0 kalah lawan irak.,menang kalah lawan irak,negatif,Sindiran terkait tuntutan menang dan kekalahan sebelumnya.
"​ @kenlintang ingat ingat matamu, ganti pelatih seenak jidat noh yg perlu diingat",mata ganti pelatih enak jidat noh,negatif,Kritik terhadap pergantian pelatih.
​​ @kenlintang iya wajib menang tak menang tak lolos..2x kalah mereka berpikirkah..TDK mau dikritik jgn ambil jabatan pelatih dan ketua PSSI..,iya wajib menang menang lolos kalah berpikirkahtdk kritik jgn ambil jabat pelatih ketua pssi,negatif,Kritik terhadap pelatih dan ketua PSSI.
​ @kenlintang waktu kalah besar sama irak..komposisi pemain tak sperti sekarng,kalah irakkomposisi pemain sperti sekarng,netral,Penjelasan komposisi pemain saat kalah dari Irak.
Petrul petruk,petrul truk,netral,Komentar tidak bermakna jelas.
Tangung jawab apa emg dia hamil wkwkwkwk,tangung emg hamil wkwkwkwk,netral,Lelucon tanpa opini sentimen terhadap Timnas.
Hahahhaa 😂😂😂 sudah gga kuat lari 2030,hahahhaa gga kuat lari,negatif,Sindiran bahwa target 2030 tidak kuat.
