komentar,komentar_bersih,label_final,alasan_label
Kl belum di ganti. Bisa saja di Round 3 INDONESIA SUDAH LOLOS krn bisa Kalahkan Australia,ganti round indonesia lolos kalah australia,negatif,Mengkritik pergantian pelatih karena dianggap membuat Indonesia gagal lolos.
Mklum negara kaya ya buang2 anggaran 😂😂,mklum negara kaya ya buang anggar,negatif,Mengkritik pemborosan anggaran.
"Kata coach coachan futsal ""pelatih miskin taktik""😂😂 lebih variatif sty kemana mana😂😂😂😂😂😂",coach coachan futsal pelatih miskin taktik variatif sty mana,negatif,Mengkritik pelatih yang dianggap miskin taktik dan membandingkan dengan STY.
bener,bener,positif,Menyatakan persetujuan.
"Seandainya STY masih pelatih timnas tdk akan hancur seperti sekarang, sedih marah kesal kecewa , nasip???? nasip....!!!! 🤣🤣🤣 timnas kembali lg ke setelan pabrik",anda sty pelatih timnas hancur sedih marah kesal kecewa nasip nasip timnas lg setel pabrik,negatif,"Mengungkapkan sedih, marah, kesal, dan kecewa terhadap kondisi Timnas."
ivan kolev sii kalo gw,ivan kolev sii kalo,netral,Memberikan usulan nama pelatih tanpa sentimen kuat.
Iya kalok dari awal udah tau mau gagal,iya kalok udah gagal,negatif,Bernada sindiran bahwa kegagalan sudah diketahui dari awal.
Sty ae blom pasti lolos round 4,sty ae blom lolos round,netral,"Pernyataan bahwa STY belum tentu lolos, tanpa emosi kuat."
Sama yang saya pikir kan,pikir,positif,Menyatakan kesamaan pikiran/persetujuan.
yups,yups,positif,Respons persetujuan singkat.
"Karna target PSSI ke sty juga bukan lolos pildun sekarang,,, harusnya sty tetap melatih timnas",target pssi sty lolos pildun sty latih timnas,positif,Mendukung agar STY tetap melatih Timnas.
Towel kemana??? Diam?,towel mana diam,negatif,Menyindir Towel yang diam setelah kegagalan.
"Alasan bolanya apa,coba kasih paham",alas bola apacoba kasih paham,netral,Pertanyaan meminta alasan sepak bola tanpa sentimen jelas.
#ErickTohirOut #PatrickKlulivertOut Ganti Towel 😂😂😂😂😂😂,ericktohirout patrickklulivertout ganti towel,negatif,Menuntut Erick dan Patrick keluar.
