komentar,komentar_bersih,label_final,alasan_label
"Yah ..Sportmanship...biasa kalah menang...jadi biasa saja jg ganti pelatih.. Cuma kalo tuntutan tanggung jawab versi Podcast ini..Malah bisa kontraproduktif..Kalo Patrick diganti ""wajar"" tapi jika arahnya ke Erick Tohir all in..berlebihan. Juga krn hanya klaim ..spt bhw ET ini projeknya ..kan belum tentu dr ET. So kita semua bisa lebih bijak..sesedih dan sekecewa apapun ..",yah sportmanshipbiasa kalah menangjadi jg ganti pelatih kalo tuntut tanggung versi podcast inimalah kontraproduktifkalo patrick ganti wajar arah erick tohir all inberlebihan klaim spt bhw et projeknya et so bijaksesedih kecewa apa,netral,Komentar berusaha menyeimbangkan pandangan dan meminta lebih bijak.
"Yg main pemain bukan pelatih bang, mau di latih pep guardiola pun sama aja kalau pemain nya kureng.",main pemain pelatih bang latih pep guardiola pemain reng,negatif,Menyalahkan kualitas pemain.
"Lebay amat sih, bagiku dr dulu timnas itu = keGAGALan, jd gak pernah kecewa krn tdk pernah berhsrap banyak pd timnas",lebay bagi timnas gagal kecewa berhsrap timnas,negatif,Mengkritik Timnas sebagai kegagalan dan tidak berharap banyak.
yaelaaaah STY 6 match cuma 1 poin,yaelaaaah sty match poin,negatif,Kritik terhadap STY berdasarkan perolehan poin.
​ @getas_fa klo Kluivert?,kluivert,netral,Pertanyaan singkat.
"@getas_fa ngawurrrr, 3 kali main seri dan dapat 3poin, gr2 itu kita bisa ada harapan dan ngebuat grup putaran 3 menjadi seru dan engga ke prediksi",ngawurrrr kali main seri poin gr harap ngebuat grup putar seru engga prediksi,positif,Membela pencapaian STY dan menyebut masih ada harapan.
"​ @getas_fa 6 match round 4 dapat 6 poin kocak, imbang Ama Australia arab Bahrain, kalah sama jepang china, menang Ama arab, dan setelah PK kita kbantai tuh Ama Australia",match round poin kocak imbang ama australia arab bahrain kalah jepang china menang ama arab pk kbantai tuh ama australia,positif,Membela statistik STY dan membandingkan buruknya hasil setelah PK.
Misi towel sukses menghacurkan salah satu kebahagiaan masyarakat pancinta bola di Indonesia,misi towel sukses menghacurkan salah bahagia masyarakat pancinta bola indonesia,negatif,Kritik terhadap pihak yang dianggap menghancurkan kebahagiaan pecinta bola.
"​ @abdeeoshi bukan misi dia, tapi dia dibayar untuk melakukan itu",misi bayar,negatif,Tuduhan negatif bahwa ada pihak dibayar.
termasuk gw bang 😢,bang,negatif,Ungkapan ikut sedih.
Minggu ku suram😢,minggu ku suram,negatif,Ungkapan kesedihan.
"dibangun oleh sty, dihancurkan oleh et😢😢",bangun sty hancur et,negatif,Kritik bahwa STY membangun tetapi ET menghancurkan.
Gw liat live reaction om haryo sampek berkaca2,liat live reaction om haryo sampek kaca,negatif,Reaksi sedih terhadap kondisi Timnas.
Harus sabar 4 tahun lagi dari 0,sabar,netral,Pernyataan penerimaan harus sabar menunggu.
Sama bang,bang,netral,Persetujuan singkat tanpa sentimen jelas.
"Gw nangis sesegukan subuh"". 😢",nang sesegukan subuh,negatif,Ungkapan sedih/nangis.
Helaan nafas orang lebay yg ndak realistis.... Ndak bisa Terima kenyataan.,hela nafas orang lebay ndak realistis ndak terima nyata,negatif,Kritik terhadap orang yang dianggap lebay dan tidak realistis.
Ingat coach STY lah yang membangun pondasi dasar timnas bukan si kluivert yang bodoh itu..Sekarang wajib buat seluruh pengurus PSSI ALL OUT semua..Buat erick tohir kalau cari pengganti STY itu harus lebih bagus bukan cari pelatih yang kualitasnya lebih rendah dari STY Inilah KARMA yang wajib diterima akibat memecat STY secara sepihak..,coach sty bangun pondasi dasar timnas si kluivert bodoh itusekarang wajib urus pssi all out semuabuat erick tohir cari ganti sty bagus cari pelatih kualitas rendah sty karma wajib terima akibat pecat sty,negatif,"Kritik keras terhadap Kluivert, PSSI, dan pemecatan STY."
​ @roniatun-m5z dia sudah jadi menpora,menpora,netral,Informasi bahwa ET sudah menjadi Menpora.
"​ @Van_Buitenzorg betul Mase,sebetulnya PSSI dan jajarannya yg hrs tnggjwb Seharus mundur itu pun kalau mereka punya malu",masesebetulnya pssi jajar hrs tnggjwb harus mundur malu,negatif,Kritik agar PSSI dan jajarannya bertanggung jawab/mundur.
