komentar,komentar_bersih,label_final,alasan_label
"JIKAPUN PERNYATAAN ITU BENAR,...PUBLIK HARUS PERTANYAKAN , KENAPA. ERIC GAK DENGAR ASPIRASI PIBLIK TANAH AIR.",jika nyata benarpublik eric dengar aspirasi piblik tanah air,negatif,Mempertanyakan keputusan Erick yang dianggap tidak mendengar aspirasi publik.
"Saya masih ingat pernyataan ET ketika banyak yg mempertanyakan keputusannya mengangkat PK sebagai pelatih timnas ""ya kita kasih dia target untuk lolos piala dunia. Kalau gaga kita akan EVALUASI kinerjanya...""",nyata et putus angkat pk pelatih timnas ya kasih target lolos piala dunia gaga evaluasi kerja,netral,Pernyataan/ingatan tentang target dan evaluasi tanpa emosi yang sangat jelas.
"Milih pelatih yg lebih murah kualitas nihil biar ada sisa anggaran, dah biasa di Indo masa kaget 😁",milih pelatih murah kualitas nihil biar sisa anggar dah indo kaget,negatif,Kritik terhadap kualitas pelatih yang dianggap murah dan nihil.
"Udah lahhhh...negara indonesia itu memang negara koruptorrrr ....susahhhh....sejak STY lagi bagus2 nya masa malah dipecat dengan berbagai alasanya .,itu kan udh dagelan sbnrnya kliatan bgt...memang pengurus2 nya itu ga ada yg berkenan timnas majuuuu.....ya gatau juga kenapaaa..,ya mngkin sama negara2 lawan nya bs di suap mungkin ...secara timur tengah juga AFC nya aja curang nya kaya gitu kannnn.....secara piala dunia kan juga timur tengah yg biayain kannnnnn.....come on berfikir logic yg masuk akal.. Ngapaaaaainnn STY digaaanti cobaaaaa ..edhannn bener ... Karna timur tengah takuuutttt indonesia lolossss ...bicara skuad , bicara taktik bner2 udh hampir meyakinkan lho timnas tuuuu permainanya ....busyet dah dah gatau dah hrs berkata apalagi..keburu umur gua kaga panjang ini bisa menyaksikan indonesia piala dunia ..entah kapan dan berapa tahun lagi .....😢😢😢",udah lahhhhnegara indonesia negara koruptorrrr susahhhhsejak sty bagus pecat alasanya udh dagel sbnrnya kliatan bgtmemang urus kenan timnas majuuuuya gatau kenapaaaya mngkin negara lawan bs suap timur afc curang kaya gitu kannnnsecara piala dunia timur biayain kannnnnncome on berfikir logic masuk akal ngapaaaaainnn sty digaaanti cobaaaaa edhannn bener timur takuuutttt indonesia lolossss bicara skuad bicara taktik bner udh lho timnas tuuuu permainanya busyet dah dah gatau dah hrs apalagikeburu umur kaga saksi indonesia piala dunia,negatif,"Kritik keras terhadap negara/pengurus, korupsi, dan pemecatan STY."
Fix gabakal dia jadi presiden!,fix gabakal presiden,negatif,Kritik/sindiran terhadap peluang tokoh menjadi presiden.
Kosong kan stadion,kosong stadion,negatif,Ajakan mengosongkan stadion sebagai bentuk protes.
"karena Erick sebenarnya tdk ingin lolos pildun, seperti baik tp busuk",erick lolos pildun busuk,negatif,Kritik terhadap Erick yang dianggap tidak ingin lolos dan busuk.
​ @VaslaBangbeng kamu punya bukti apa cuman asumsi saja. .brperangsa buruk tu gk boleh kecuali kamu punya bukti kuwat silhkn😅,bukti cuman asumsi brperangsa buruk tu kecuali bukti kuwat silhkn,netral,Meminta bukti dan menegur asumsi tanpa sentimen langsung ke Timnas.
Nepal kan si Tohir,nepal si tohir,negatif,Sindiran/ejekan kepada Tohir.
Salah bang kita ganti pelatih biar ga masuk piala duni maka iya sty disingkirkan..soal arab pasti ga bakal menang,salah bang ganti pelatih biar masuk piala duni iya sty disingkirkansoal arab menang,negatif,Kritik/sindiran bahwa pergantian pelatih membuat gagal ke Piala Dunia.
