komentar,komentar_bersih,label_final,alasan_label
Kesalahan Erik Tohir saat mengganti STY.kacang lupa pada kulitnya.STY menggunakan jiwa & raganya untuk Indonesia,salah erik tohir ganti stykacang lupa kulitnyasty jiwa raga indonesia,negatif,Kritik terhadap Erick Thohir karena mengganti STY.
sepak bola sudah terlalu di politisasi..,sepak bola politisasi,negatif,Menilai sepak bola terlalu dipolitisasi.
"Saya tidak yakin ada yang berani mundur, di Indonesia ni pejabat mana punya malu? 😊",berani mundur indonesia ni jabat malu,negatif,Kritik terhadap pejabat yang dianggap tidak punya malu.
"saya lebih memilih gagal bersama STY karena dia mulai dari nol, dia meyakinkan masyarakat indonesia utk yakin bisa main di piala dunia",pilih gagal sty nol masyarakat indonesia main piala dunia,positif,Menunjukkan dukungan dan kepercayaan terhadap STY meskipun gagal.
"Setuju Bang, dengan segala support nya PSSI mesti bertanggung jawab pada masyarakat Indonesia",tuju bang support pssi mesti tanggung masyarakat indonesia,negatif,Menuntut PSSI bertanggung jawab.
"Bung Ferry, Erick Thohir bukan sekedar dipecat Erick Thohir harus di penjarakan karena sudah mengkhianati negara dan rakyat Indonesia dengan politiknya menghambur uang rakyat melalui BUMN dan APBN mendatangkan pelatih mafia dari Belanda maka pupus lah harapan rakyat melihat timnas bermain di pildun",ferry erick thohir dar pecat erick thohir penjara khianat negara rakyat indonesia politik hambur uang rakyat bumn apbn pelatih mafia belanda pupus harap rakyat timnas main pildun,negatif,Kritik keras terhadap Erick Thohir dan keputusan pelatih.
jiwa ksatria dan korsa,jiwa ksatria korsa,netral,Pernyataan singkat tanpa konteks sentimen yang jelas.
"sty dan Patrick tentunya berbeda Sty debut bukan saat kualifikasi pildun.. beliau memiliki pengalaman yang jauh lebih matang dengan sepak bola Indonesia, kekalahan di era sty tentunya biasa aja karena bukan kualifikasi pildun (tapi gw ingat bgt kekalahan lawan cina) reaksi netizen sama seperti reaksi sekarang kepada Patrick Kesimpulannya ? Karena semua netizen pada ekspektasi tinggi, tidak punya akal sehat, sehingga tidak bisa apresiasi sedikitpun usaha... Jadinya main salah2an setiap kali kalah. Gw yakin jika pelatihnya sty sekarang-pun beliau akan dihujat habis2an Padahal dari pada sibuk ngurusin pelatih dan pemain, kenapa gak fokus ke Erick Tohir sebagai sumber masalah ? Dia loh biang yg bikin ganti pelatih wkwkkw BUMN gagal, PSSI gagal cuma bisa naturalisasi pemain, dan sekarang megang kemenpora ?! Gila sih ini orang powernya 😂 Dari pada out Patrick, mending out Tohir, sebelum dia menghancurkan cabang olahraga di Indonesia.",sty patrick beda sty debut kualifikasi pildun beliau milik alam matang sepak bola indonesia kalah era sty kualifikasi pildun kalah lawan cina reaksi netizen reaksi patrick simpul netizen ekspektasi akal sehat apresiasi sedikit usaha main salah an kali kalah latih sty sekarang beliau hujat habis an sibuk ngurusin pelatih pemain fokus erick tohir sumber loh biang bikin ganti pelatih wkwkkw bumn gagal pssi gagal naturalisasi pemain megang kemenpora gila orang powernya out patrick mending out tohir hancur cabang olahraga indonesia,negatif,Kritik terhadap Erick Thohir sebagai sumber masalah.
cuma sayangnya semua dedikasi dan perjuanan coach shin harus dibayar mahal karena ketum pssi dan pelatih pk ternyata suka main judi..,sayang dedikasi juan coach shin bayar mahal tum pssi pelatih pk suka main judi,negatif,Kritik terhadap PSSI dan pelatih PK dengan tuduhan negatif.
"​ @SeongJeonHwan dududuh, ini terlalu fakta, dari jaman persib bang ini mah wkwkwk",dududuh fakta jaman persib bang mah,netral,Komentar persetujuan umum tanpa sentimen jelas terhadap Timnas.
