komentar,komentar_bersih,label_final,alasan_label
Yg gua lihat kok bisa permainannya ga jalan cuman duduk doang ga ada ganti taktik atau strategi bahkan sampai babak ke 2 paling cmn ganti pemain,lihat main jalan cuman duduk doang ganti taktik strategi babak cmn ganti pemain,negatif,Kritik terhadap permainan yang tidak berjalan serta tidak ada perubahan taktik/strategi.
stamina pemain jg lebih baik waktu sty,stamina pemain jg sty,negatif,"Membandingkan kondisi pemain era STY yang dianggap lebih baik, sehingga bernada kritik terhadap kondisi saat ini."
"belum 1 thn pak,,, setengah tahun lbh dikit,,, bintang laut tidak berotak",thn lbh dikit bintang laut otak,negatif,Mengandung hinaan/sindiran kasar.
"beda kasus. STY dipecat itu rencana ET dari lama krn dia bukan pilihannya, cuma nunggu momen yg pas aja. Lah ini PK pilihan dia sendiri, mau main buruk juga bisa aja dipertahanin",beda sty pecat rencana et pilih nunggu momen pk pilih main buruk dipertahanin,negatif,Kritik terhadap rencana pemecatan STY dan pilihan terhadap PK.
Tapi bayar harus Sesuai Sisa Kontrak nya Harus di Bayarkan Seperti kepda Sty,bayar sesuai sisa kontrak bayar kepda sty,netral,Membahas kewajiban pembayaran kontrak tanpa emosi sentimen yang jelas.
Dah 5 tahun itu piala CIKI pun TK dpt😂😂😂,dah piala cik tk dpt,negatif,Sindiran bahwa selama lima tahun tidak mendapat trofi.
"@bagoesati6490 komentar copas strandart buzzer pssi ""5 TAHUN STY GAK DAPAT TROPHY"" kek mesih telepon rusak",komentar copas strandart buzzer pssi sty trophy mesih telepon rusak,negatif,Kritik terhadap buzzer PSSI dan narasi anti-STY.
​ @bagoesati6490 Patrick udah dikasih pemain lengkap depan bagus ternyata bapuk ngelatihnya,patrick udah kasih pemain lengkap bagus bapuk ngelatihnya,negatif,Kritik langsung terhadap kemampuan Patrick melatih.
"​ @bagoesati6490 timnas segala kelompok umur lolos piala Asia cuy, 5 tahun sty melatih itu 2,5 tahunnya covid, ga ada event apa²",timnas kelompok umur lolos piala asia sty latih tahun covid event,positif,Membela capaian STY dan Timnas yang lolos Piala Asia berbagai kelompok umur.
ERIC=BI5Ni5. PATRICK & VARNBURG OUT!!!!,ericbi ni patrick varnburg out,negatif,Menuntut Erick/Patrick/Vanenburg keluar.
"Di satu sisi, timnas Curacao mentereng di peringkat 1. Dulu juga hancur lebur dilatih Kluivert",sisi timnas curacao mentereng peringkat hancur lebur latih kluivert,negatif,Kritik terhadap rekam jejak Kluivert yang dianggap menghancurkan Curacao.
​ @sanadaken777 lagian pelatih buangan timnas curacao di pungut sma ET..,pelatih buang timnas curacao pungut et,negatif,Kritik bahwa pelatih buangan Curacao dipilih oleh ET.
Gk hanya PK ET jg,pk et jg,negatif,Menyalahkan PK dan ET secara singkat.
​ @hariono9524 terus siap ibarat nahkodanya timnas Indonesia kalau bukan ET dan PK 😅😅😅😅,nahkoda timnas indonesia et pk,netral,Pertanyaan/komentar ambigu mengenai siapa nahkoda Timnas selain ET dan PK.
Gak usah dikosongkan jga kosong bang . sekarang mau main apa lagi timnas . piala asia jga msih lama . Piala aff ? 😅,kosong jga kosong bang main timnas piala asia jga msih piala aff,negatif,Bernada pesimis/kritik terhadap kondisi Timnas dan GBK yang kosong.
"Pecat ET, AS & PK",pecat et as pk,negatif,"Menuntut pemecatan ET, AS, dan PK."
"Gw yakin bang kalau PK masih bertahan dan masih kalah mulu, tanpa perlu boikot GBK bakal kosong sendiri. Rasain it Federasi, bakal berkurang pendapatnnya. Semoga sponsor juga bakal ilang.",bang pk tahan kalah mulu boikot gbk kosong rasain it federasi kurang pendapatnnya moga sponsor ilang,negatif,Kritik keras terhadap PK dan federasi serta berharap sponsor hilang.
memang analisa bung binder mantap,analisa binder mantap,positif,Memberi apresiasi terhadap analisis Bung Binder.
Ayoo masyarakat jangan diam saja datangi PSSI....,ayoo masyarakat diam datang pssi,negatif,Ajakan mendatangi PSSI sebagai bentuk protes.
Kasih kesempatan 4 tahun lagi kaya sty👍🏻,kasih sempat kaya sty,netral,"Usulan memberi kesempatan empat tahun, tanpa emosi jelas."
​ @AbdulHamid-ky2ed mending bubarin Saja timnas Indonesia dari pada ngasih kesempatan Patrik kluviet sampe 4 tahun sama sadja kembali ke era kegelapan simon 💩💩,ky ed mending bubarin timnas indonesia ngasih sempat patrik kluviet sampe sadja era gelap simon,negatif,Kritik keras terhadap Patrick dan menyebut era kegelapan.
kontrak profesional kok minta maaf segala..dikira sty pahlawan tanpa jasa😂,kontrak profesional maaf segaladikira sty pahlawan jasa,negatif,Sindiran terhadap STY terkait kontrak dan pahlawan tanpa jasa.
"​ @januarfirmansyah347 Jelas STY itu ""pahlawan tanpa tanda jasa"". Tidak ada pelatih Indonesia yang mampu selevel dia menggunakan squad miliknya, bahkan yang dikatakan ""Kepelatihan Terbaik"" tak mampu menyerang gawang jepang yang dipenuhi pemain pelapis dan terbantai dari Australia yang dipenuhi pemain pelapis pula, berbeda jauh dari STY yang mampu melawan mereka dengan bagus saat mereka dipenuhi pemain inti.... Ingat jika STY memberikan pertandingan terbaik saat itu dengan pemain seadanya tanpa lini depan yang kuat🥱",sty pahlawan tanda jasa pelatih indonesia level squad milik latih baik serang gawang jepang penuh pemain lap bantai australia penuh pemain lap beda sty lawan bagus penuh pemain inti sty tanding baik pemain ada lini kuat,positif,Membela dan memuji STY sebagai pelatih yang mampu memberi pertandingan baik.
"😢😢😢😢 parah banget sih, katanya ganti platih biar persentase masuk piala dunianya lebih yakin😂😂😂 Terus saya pernah denger pernyataan arya Sinulingga, 1 STY kita ganti sama 3 pelatih sekaligus, Petrik Deni Alex pastor 😂",parah ganti platih biar persentase masuk piala dunia denger nyata arya sinulingga sty ganti pelatih trik den alex pastor,negatif,Sindiran/kritik terhadap pergantian pelatih dan hasil yang tidak sesuai harapan.
​ @ikbalbaik064 Dan hasilnya sekarang 0 bearteap beri dukungan kepada pemain timnas Indonesia,hasil bearteap dukung pemain timnas indonesia,positif,Mengajak memberi dukungan kepada pemain Timnas Indonesia.
​ @ikbalbaik064 ternyata 1 pelatih di ganti dengan 3 pelatih begini ya alhasil nya tidak lolos 😁,pelatih ganti pelatih ya alhasil lolos,negatif,Kritik bahwa pergantian satu pelatih menjadi tiga berujung tidak lolos.
"Emang konyol bin menyedihkan sih kalau begitu. Kredibilitasnya sbg ketum dipertanyakan. Secara kan dia sendiri yg menyetujui ttg proyek naturalisasi, matchday², dan yg paling kliatan yaa ganti pelatih. 😂 Dia yang ngasih harapan, eh kok bisa²nya bilang hal bodoh kek gitu.",emang konyol bin sedih kredibilitas sbg tum tuju ttg proyek naturalisasi matchday kliatan yaa ganti pelatih ngasih harap bisa bilang bodoh gitu,negatif,Kritik terhadap kredibilitas ketum dan keputusan pergantian pelatih.
​ @briandal807 Klo gitu suruh dia mengundurkan diri aj. Karena dia jadi ketum pssi gk mau bawa timnas ke piala dunia. 😊,gitu suruh undur aj tum pssi bawa timnas piala dunia,negatif,Menyuruh ketum PSSI mundur karena dianggap tidak membawa Timnas ke Piala Dunia.
berarti ET ini orangnya ga baik hati dan rendah hati kalau orangnya rendah hati dan baik hati gak mungkin mengeluarkan kata2 seperti itu,et orang hati rendah hati orang rendah hati hati keluar,negatif,Kritik terhadap ET dan pernyataannya.
@TonnyKosmanto siapa bilang dia baik dia haus validasi,bilang haus validasi,negatif,Kritik bahwa seseorang haus validasi.
Kalo ga becus jangan berdalih sok pintar mundur saja dari jabatan ketum PSSi bahkan selama ini mafia bola dipelihara terus.,kalo becus dalih sok pintar mundur jabat tum pssi mafia bola pelihara,negatif,Kritik keras terhadap ketum PSSI dan mafia bola.
​ @wejanggapurwanto-d2y iya.. Saya yakin anda lebih pantas jdi ketum PSSI 🤣🤣🤣,iya tum pssi,netral,"Komentar sarkastik kepada pengguna lain, tidak jelas mengarah pada sentimen Timnas."
"Erik bilang siapa suruh mimpi masuk pildun kpda fens timnas, itu sungguh tdk ada jiwa nasionalis kpd bangsa sendiri. Lebih baik di mundur kan ketumnya ganti mbak ratu .",erik bilang suruh mimpi masuk pildun kpda fens timnas sungguh jiwa nasionalis kpd bangsa mundur tum ganti mbak ratu,negatif,Kritik terhadap Erick dan meminta ketum mundur.
"Intinya, kesalahan si Thohir,ganti STY di tengah jalan,dan tim sedang bagus,baru saja hajar arab! Itu point yg utama!",inti salah si thohirganti sty jalandan tim bagusbaru hajar arab point utama,negatif,Menyalahkan Thohir karena mengganti STY saat tim sedang bagus.
Takdir semua sdh tertulis...,takdir sdh tulis,netral,Komentar fatalistik tentang takdir tanpa emosi jelas.
Dia juga pernah bilang.dia siap mundur kalau sudah tidak di percaya lagi.. Menurut saya ini lah waktu yang paling tepat pak erik,bilangdia mundur percaya erik,negatif,Menyatakan ini waktu tepat bagi Erick untuk mundur.
Pk E T kepingin di nepalkan,pk kepingin nepalkan,negatif,Sindiran/ungkapan negatif terhadap PK dan ET.
"Gagal total wajib pecat pelatih harga mati,,",gagal total wajib pecat pelatih harga mati,negatif,Menilai gagal total dan wajib pecat pelatih.
Tau kan buru buru menjabat kemenpora lalu cuci tangan pinter bersilet lidah,buru buru jabat kemenpora cuci tangan pinter silet lidah,negatif,Kritik terhadap sikap cuci tangan dan rangkap jabatan.
"Sy juga ingat statement ETo di youtube bhw penggantian pelatih krn level piala dunia, level pelatihnya hrs lbh tinggi levelnya dan diberi target lolos pildun 2026. Klo mau liat stastik, era STY timnas mencetak gol dr open play total 6 gol (slh satunya trow in). Sementara di era PK total golnya 5 gol (2 open play, 3 pinalty). Beda kualitas..?...🤔",sy statement eto youtube bhw ganti pelatih level piala dunia level latih hrs lbh level target lolos pildun liat stastik era sty timnas cetak gol open play total gol slh satu trow in era pk total gol gol open play pinalty beda kualitas,negatif,Membandingkan statistik era STY dan PK untuk mengkritik kualitas saat ini.
"​ @chandy_1776 kedua ny sama no piala, no juara",ny no piala no juara,negatif,Komentar negatif bahwa keduanya tidak mendapat piala/juara.
​ @chandy_1776 goal open play semua dari ole😂..,goal open play ole,netral,"Komentar singkat soal gol open play dari Ole, lebih bersifat informasi/candaan."
"Kan pildun emng mimpi besar bro, tapi tetap Erik harus bertanggungjawab atas kegagalan ini, krna dia yg ambil keputusan dg ganti pelatih",pildun emng mimpi erik bertanggungjawab gagal krna ambil putus dg ganti pelatih,negatif,Menuntut Erick bertanggung jawab atas kegagalan karena mengganti pelatih.
"Eric out dari PSSI ,dan Arya, Ga guna klo orang politik rangkap jabatan",eric out pssi arya orang politik rangkap jabat,negatif,"Menuntut Erick, Arya keluar dari PSSI dan kritik rangkap jabatan politik."
"​ @lanangsejagat5691 nggak ada ketum terbaik selain ET, yang ada klo Tisna diombang-ambingkan n muncullah Nurdin Halid Kembali ke zaman kegelapan😂",tum baik et tisna diombangambingkan muncul nurdin halid zaman gelap,positif,Membela ET sebagai ketum terbaik dan khawatir kembali ke era gelap.
