komentar,komentar_bersih,label_final,alasan_label
​ @massohirin4595 Jangan terlalu berharap banyak bang. Jgn kasih ekspektasi tinggi tinggi nanti bisa stres 😂,harap bang jgn kasih ekspektasi stres,negatif,Pesimis dan memberi peringatan agar tidak berharap tinggi.
Sudahlah kita cuma berusaha sebaik mungkin dalam permainan pasti ada menang kalahnya,usaha main menang kalah,positif,Menerima hasil menang-kalah dan menghargai usaha tim.
"TERIMAKASIH BUAT SQUAD GARUDA, ULTRAS GARUDA..... KALIAN PAHLAWAN BANGSA.. TERIMAKASIH💚🇮🇩🙏✨🦅",terimakasih squad garuda ultras garuda pahlawan bangsa terimakasih,positif,Ucapan terima kasih dan apresiasi kepada skuad Garuda.
"Iya gak gitu juga kali bro,kalo emang kalah y kalah ,kalo emang menang y menang.",iya gitu kali brokalo emang kalah kalah kalo emang menang menang,netral,Pernyataan umum tentang menang dan kalah tanpa emosi jelas.
gini mulu dr jaman 90an gak bosen apa,gin mulu jaman an bosen,negatif,Mengungkap kebosanan terhadap kegagalan yang berulang.
"​ @ucupsetiyono3966 Nah itu dia, saya sendiri pun yg liat bosan kali, jdi malas nonton bola, gagal pildun mulu. 😂",liat bosan kali malas nonton bola gagal pildun mulu,negatif,Mengungkap bosan dan malas menonton karena gagal terus.
Kita lu aja kali...gua mah semenjak STY dipecat udah males😂😂😂 bukan karena tidak nasionalis TPI reliastis.....bener sja lewat tim berat GK bisa jebol..wkwkwk,kaligua mah semenjak sty pecat udah males nasionalis reliastisbener sja tim berat jebolwkwkwk,negatif,Kritik terhadap pemecatan STY dan kondisi Timnas setelahnya.
formalitas bro,formalitas,negatif,Komentar singkat bernada meremehkan/formalitas.
Towel erik tohir jadi penyerang baru lolos dari Kpk,towel erik tohir serang lolos kpk,negatif,Sindiran/kritik terhadap Towel dan Erick Thohir.
"Dear pemain lokal timnas, Ketahuilah bahwa ada ribuan pemain lokal tanah air yg bermimpi ingin tampil membela timnas tetapi belum dapat kesempatan. Skill pemain lokal ini juga gak kalah bagus dgn mu, tetapi tuhan menadirkan kalian lah yang punya kesempatan untuk membela timnas. Jadi tolong, jangan di sia siakan kesempatan membela timnas, bermainlah habis habisan, kerahkan semua tenaga, akal fikiran dan hati untuk bisa menang. Ingat dan sadarlah, bahwa Sepakbola itu bukan hanya menendang dan menyundul bola... Tetapi ada hal lain yg anda harus lakukan seperti anda harus melakukan drama, lalukan diving, ulur waktu, provokasi lawan, pancing emosi lakukan dengan solid karena itu juga bagian dari sepakbola. Sadarilah bahwa bisa saja, anda adalah generasi terakhir dari pemain lokal yang sempat membela timnas saat ini. Kedepan kita tidak tahu apa masih ada pemain kelahiran tanah air yg memakai jersey timnas di tengah lapangan. Bisa saja anda dan kami semua hanya duduk di bangku penonton menyaksikan pirang pirang bermain. Maju terus timnas... juara lebih penting atau timnas yg lebih penting.",dear pemain lokal timnas tahu ribu pemain lokal tanah air mimpi tampil bela timnas sempat skill pemain lokal kalah bagus mu tuhan nadir sempat bela timnas tolong sia sia sempat bela timnas main habis habis kerah tenaga akal fikiran hati menang sadar sepakbola tendang sundul bola laku drama lalu diving ulur provokasi lawan pancing emosi laku solid sepakbola sadar generasi pemain lokal bela timnas depan pemain lahir tanah air pakai jersey timnas lapang duduk bangku tonton saksi pirang pirang main maju timnas juara timnas,positif,Dukungan dan motivasi untuk pemain lokal serta Timnas.
"​ @Putrarajawali-f1j masalahnya pemain lokal egois. Suka gocak gocek. Pamer skill padahal kalah jauh. Arab & Irak emang skillnya pildun. Inget pildun kemarin Arab bantai Argentina pdahal Messi main disitu bantai 1-0 Lawan cina juru kunci inget 2 gol cina dari blunder Asnawi. Inget kemarin 2 gol Arab dari blunder Sayuri. Inget gol Australia dari blunder Marselino. Dll. Kebanyak pemain lokal suka blunder. Males ngolah. Ngajemput bola. Inget gol Irak dari blunder Rizky ridho Pemain timnas secara skill Mateng, mental Mateng, tidak egois. Tidak sok2an pamer gocak gocek bakalan kalah gocekan juga",pemain lokal egois suka gocak gocek pamer skill kalah arab irak emang skillnya pildun inget pildun kemarin arab bantai argentina pdahal messi main situ bantai lawan cina juru kunci inget gol cina blunder asnawi inget kemarin gol arab blunder sayur inget gol australia blunder marselino dll banyak pemain lokal suka blunder males ngolah ngajemput bola inget gol irak blunder rizky ridho pemain timnas skill mateng mental mateng egois sok an pamer gocak gocek kalah gocek,negatif,Kritik keras terhadap pemain lokal dan banyak blunder.
setuju kita nggak usah saling menghujat,tuju hujat,positif,"Ajakan tidak saling menghujat, bernada damai."
"​ @edyira277 Betul sekali kak, jgn saling menghujat dan jgn saling kasih dukungan ke tim yg gagal masuk pildun.",kak jgn hujat jgn kasih dukung tim gagal masuk pildun,negatif,Menolak memberi dukungan kepada tim yang gagal.
Ok siap😊,ok,netral,Tanggapan singkat tanpa sentimen jelas.
Ku tetap mendukungmu Team Nas Garudaku❤,ku dukung team nas garuda,positif,Dukungan langsung kepada Timnas/Garuda.
"Kita ada buat timnas dan selalu support timnas... Tapi, tidak buat Kluivert.. 1 kata..out!",timnas support timnas kluivert kataout,negatif,Mendukung Timnas tetapi mengkritik Kluivert dengan tuntutan out.
Indonesia sudah bermain yang terbaik kali ini...Jauh lebih baik dibanding saat lawan Saudi Arabia. Tetap semangat kawan.,indonesia main baik kali inijauh banding lawan saudi arabia semangat kawan,positif,Menilai permainan membaik dan memberi semangat.
Menunggu proses😅,tunggu proses,netral,Pernyataan umum menunggu proses tanpa sentimen kuat.
"Tetap semangat timnas ku, PECAT PATRIk",semangat timnas ku pecat patrik,negatif,Memberi semangat tetapi dominan berisi tuntutan pecat Patrick.
"Dan Wajar juga kalaw Indonesia kalah, Tidak perlu kecewa. Memang kwalitas Sepak bola Indonesia harus perlu dibenahi. Sekarang Timnas sebagai wakil Asia tenggara susdah luar biasa sampai ronde 4. Nanti 2030 bru setidaknya masuk piala dunia. Kalaw saja PSSI ada perhatian lebih dan gak ada korupsi. Benar benar membangun sepak bola Indonesia. Mngkin Indonesia cukup masuk ronde 3 udah lolos. Kalaw mau di bilang soal naturalisasi itu ga sepenuhnya benar. Tapi juga bsa membantu, sekarang yg hrus difokuskan adalah pembinaan disiplin, mau berapa kali pun ganti pelatih tpi kalaw tidak dibangun dengan benar sepak bola Indonesia, sperti halnya Korea dn Jepang. Itu sulit untuk brda di panggung Piala Dunia. Jujur kwalitas sepak bola Indobesia masih Buruk. Kalaw mau benar benar serius Indonesai jangan hanya cukup lolos kualifikasi. Tapi bisa lolos fase grup dan melangkah ke fase berikutnya. Ga ada yang ga mungkin, hanya saja PSSI dulu sblum Pa Erik ketum, PSSI kurang serius dan ga becus. JADI JANGAN KECEWA SAAT INI TIMNAS GAGAL TAMPIL DI PANGGUNG PIALA DUNIA 🤣😆",wajar kalaw indonesia kalah kecewa kwalitas sepak bola indonesia benah timnas wakil asia tenggara susdah ronde bru masuk piala dunia kalaw pssi perhati korupsi bangun sepak bola indonesia mngkin indonesia masuk ronde udah lolos kalaw bilang naturalisasi sepenuh bsa bantu hrus fokus bina disiplin kali ganti pelatih kalaw bangun sepak bola indonesia sperti hal korea dn jepang sulit brda panggung piala dunia jujur kwalitas sepak bola indobesia buruk kalaw serius indonesai lolos kualifikasi lolos fase grup lang fase pssi sblum pa erik tum pssi serius becus kecewa timnas gagal tampil panggung piala dunia,negatif,"Kritik terhadap kualitas sepak bola, PSSI, dan kegagalan Timnas."
kasihan Haye karena cuma ini kesempatannya ke world cup... kalo yg lain masih muda2,kasihan haye sempat world cup kalo muda,negatif,Ungkapan kasihan karena peluang pemain ke Piala Dunia hilang.
Patrick keleper & erik out Back sty,patrick leper erik out back sty,negatif,Kritik terhadap Patrick dan Erick serta ingin STY kembali.
Bravo tim nasional,bravo tim nasional,positif,Pujian singkat untuk Tim Nasional.
kita bangga punya team yg sholid..walaupun kegagalan yg dicapai..semoga team garuda kedepan tetap semangat..untuk menuju pildun 2030...,bangga team sholidwalaupun gagal dicapaisemoga team garuda depan semangatuntuk pildun,positif,Bangga dan memberi semangat menuju Piala Dunia berikutnya.
"Blunder nya pertandingan lawan Arab.. Mainin pemain lokal prett dua ayam sayur dan Beckham.. Kalo untuk pertandingan malam ini walaupun kalah tapi kalah secara terhormat,, pertandingan enak di tonton dan para pemain sudah berjuang keras",blunder tanding lawan arab mainin pemain lokal prett ayam sayur beckham kalo tanding malam kalah kalah hormat tanding enak tonton pemain juang keras,negatif,"Kritik terhadap blunder dan pemain, meski mengakui perjuangan."
klo kalah terus ya gak la broo 😂😂😂,kalah ya la broo,negatif,Sindiran terhadap kekalahan berulang.
"Mental blm ada, main masih kaya gitu ngareb lolos, ke piala dunia",mental blm main kaya gitu ngareb lolos piala dunia,negatif,Kritik terhadap mental dan performa Timnas.
Jangan terllau bijak kawan...ingat timnas dr bagus dibuat jadi rusak oleh oknum,terllau bijak kawaningat timnas bagus rusak oknum,negatif,Kritik bahwa Timnas yang bagus dirusak oknum.
"Pelejaran dan pengalaman tak semudah membalikkan telapak tangan untuk Indonesia, karna masih lemahnya SDM apalagi ekonominya seperti ini, susah 🙏🙏🙏",lejar alam mudah balik telapak tangan indonesia lemah sdm ekonomi susah,negatif,Penilaian negatif terhadap lemahnya SDM/ekonomi dan peluang Indonesia.
"iya, suporter sejati ya kaya ente bro... hargai perjuangan pemain... ayooo semangat timnas masih ada waktu untuk berbenah..",iya suporter sejati ya kaya ente harga juang pemain ayooo semangat timnas benah,positif,Menghargai perjuangan pemain dan memberi semangat.
Sabar Insyaallah 20 tahun kedepan sepakbola Indonesia mendunia,sabar insyaallah depan sepakbola indonesia dunia,positif,Harapan optimis untuk masa depan sepak bola Indonesia.
