komentar,komentar_bersih,label_final,alasan_label
Salut buat pemain timnas Indonesia luar biasa permainannya kalau saja lawan Arab Saudi Kita tidak kecewa walau kalah 🎉,salut pemain timnas indonesia main lawan arab saudi kecewa kalah,positif,Memuji permainan dan perjuangan pemain meskipun kalah.
Selamat buat towel dan lo,selamat towel,negatif,Sarkasme terhadap pihak yang dianggap bertanggung jawab.
​@wigand5964kok ngamuk mas,ngamuk mas,netral,Hanya menanggapi orang lain tanpa sentimen jelas terhadap Timnas.
Sok tau kamu,sok,netral,Komentar pendek/serangan personal tanpa konteks sentimen Timnas.
"kenapa kok bisa ada opini kyk kamu. PM Belanda minta maaf lho, atas tidak sukses nya Indonesia lolos ke Pildun 😅, pdhl dia bukan termasuk circle sepakbola",opini kyk pm belanda maaf lho sukses indonesia lolos pildun pdhl circle sepakbola,negatif,Sindiran terhadap kegagalan Indonesia lolos Piala Dunia.
Kok katanya si .emng negara besar masih bilang katanya,si emng negara bilang,negatif,Sindiran/keraguan terhadap opini yang dibahas.
TERBAIK dalm melakukan kesalahan😅😅,baik dalm salah,negatif,Sarkasme tentang kesalahan.
"Kalo gak ada naturalisasi belanda, gak mungkin kita sejauh ini",kalo naturalisasi belanda,positif,Mengakui kontribusi naturalisasi hingga Timnas bisa melaju jauh.
Kamu itu fomo banget 😂😂😂😂,fomo,netral,"Serangan personal, tidak mengarah jelas pada Timnas."
Terhormat dari mana,hormat,negatif,Menyindir narasi kalah terhormat.
Terbaik dalam blundernya mengganti pelatih dipenghujunh jalan,baik blundernya ganti pelatih dipenghujunh jalan,negatif,Kritik terhadap keputusan mengganti pelatih.
Kalah ya kalah saja..gak perlu embel2 terhormat segala macam .😅😅😅😅,kalah ya kalah sajagak embel hormat,negatif,Menolak narasi kalah terhormat.
Kata2 Erik Tohir kalah terhormat kalah ma Arab Saudi kalah realistis 😂😂😂 kalah tetap kalah . Cuma satu budaya malu gagal mundur tu blm ada.. seperti di Japanese Korean,erik tohir kalah hormat kalah ma arab saudi kalah realistis kalah kalah budaya malu gagal mundur tu blm japanese korean,negatif,Kritik terhadap Erick Thohir dan budaya tidak mundur setelah gagal.
Apanya yg kalah terhormat 😂,apa kalah hormat,negatif,Menyindir narasi kalah terhormat.
"​ @garyrebelchannel hormati yg kalah,akui yg menang..hindari omon - omon...",hormat kalahakui menanghindari omon omon,netral,Ajakan menghormati hasil pertandingan.
"Hormat grak, balik kanan bubar jalan...",hormat grak kanan bubar jalan,negatif,Sarkasme terhadap kekalahan.
Kalah karena kesalahan sendiri ko kalah terhormat persis van thohir lo 😂😂😂,kalah salah ko kalah hormat persis van thohir,negatif,Mengkritik kekalahan akibat kesalahan sendiri.
Ksian cuma bs nyetak 2 gol itupun lwat penalti 😂😂😂😂😂😂,ksi bs nyetak gol itu lwat penalti,negatif,Mengkritik produktivitas gol yang hanya dari penalti.
blm pantas lolos pildun mental blm ada main msih kek tarkam gitu kalau pun lolos pildun paling di obok2 di fase grub sama tim2 negara eropa dan amerika latin,blm lolos pildun mental blm main msih tarkam gitu lolos pildun obok fase grub tim negara eropa amerika latin,negatif,Menyatakan Timnas belum pantas lolos dan mental belum siap.
Enak PK..cuma ngurus pildun gagal. STY diurus semua mulai sea games AFF AFC pildun.. kalo STY kaya PK...hanya ngurus pildun..Jaya.. jata...jaya,enak pkcuma ngurus pildun gagal sty urus sea games aff afc pildun kalo sty kaya pkhanya ngurus pildunjaya jatajaya,negatif,Membandingkan Patrick dengan STY secara negatif.
wkwk coba cek kpn sty menang lawan irak,coba cek kpn sty menang lawan irak,negatif,Kritik terhadap catatan STY dalam debat komentar.
​ @rakhatox kembali ke setelan pabrik😂😂😂 spongebob BS gol cuman pinalti pinalti dan pinalti no kreasi....beda jauh ma sty 😂😂,setel pabrik spongebob bs gol cuman pinalti pinalti pinalti no kreasibeda ma sty,negatif,Kritik terhadap permainan era Patrick yang dianggap tidak kreatif.
​ @rakhatox yg penting berbau korea saya selalu dukung,bau korea dukung,positif,Dukungan terhadap pelatih/figur Korea.
Jaya 5 tahun nol gelar jaya,jaya nol gelar jaya,negatif,Kritik terhadap nihil gelar.
AFC musuh timnas 🇲🇨🇲🇨🇲🇨🇲🇨,afc musuh timnas,negatif,Sentimen negatif terhadap AFC sebagai penghambat Timnas.
"Hai Erik Tohir olah raga jangn d bwa"" ke politik..ni hasilnya ..",hai erik tohir olah raga jangn bwa politikni hasil,negatif,Kritik terhadap Erick Thohir dan politisasi olahraga.
"Benar itu, malah ambil Kluivert, jadi mulai dari nol lg, kita tidak merendahkan kemampuan Kluivert, tapi proses nya ulang dari awal lagi, itu butuh proses panjang",ambil kluivert nol lg rendah mampu kluivert proses ulang butuh proses,negatif,Kritik keputusan mengambil Kluivert karena proses kembali dari nol.
bikin berat kenapa sty tidak menang lawan bahrain cina,bikin berat sty menang lawan bahrain cina,negatif,Kritik terhadap capaian STY melawan Bahrain/Cina.
Lah emang sty bukan warga Korea asli,emang sty warga korea asli,netral,Komentar informatif/sindiran ringan tanpa sentimen kuat.
​ @nityawae lihat perbedaan semangat orang yg serius melatih dan yg hanya cari uang.,lihat beda semangat orang serius latih cari uang,negatif,Kritik terhadap pelatih yang dianggap hanya cari uang.
TKS utk semua pemain TIMNAS kaliian hebat SDH berjuang sampee round 4 ini.,tks pemain timnas kaliian hebat sdh juang sampee round,positif,Ucapan terima kasih dan apresiasi kepada pemain Timnas.
"gpp kalah,,inikan cuma laga uji coba untuk persiapan piala AFF thn depan...",gpp kalahinikan laga uji coba siap piala aff thn,negatif,Sarkasme bahwa kekalahan hanya dianggap uji coba.
1000% agree apa yg di sampaikan kapten Jay.. Timnas memiliki banyak pemain berkualitas dan kesempatan berkembang kedepannya terbuka.. insyaallah bisa masuk piala dunia 2030. Sebelum ini semoga Piala Asia 2027 di Arab Saudi timnas Indonesia lebih jauh pencapaiannya dibanding sebelumnya...,agree kapten jay timnas milik pemain kualitas sempat kembang depan buka insyaallah masuk piala dunia moga piala asia arab saudi timnas indonesia capai banding,positif,Dukungan dan optimisme terhadap peluang Timnas ke depan.
"Trimakasih. ,udah berjuang,,,,,,",trimakasih udah juang,positif,Ucapan terima kasih atas perjuangan.
"Tetap semangat timnas, kalah menang kita tetap dukung. Masih ada kesempatan",semangat timnas kalah menang dukung sempat,positif,Dukungan kepada Timnas meskipun kalah.
Jika gak mau mundur PK rakyat akan ambil tindakan 👍🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩,mundur pk rakyat ambil tindak,negatif,Menuntut Patrick mundur.
"GRACIAS,LA NATIONALE...",graciasla nationale,netral,Komentar singkat tanpa konteks sentimen jelas.
Indonesia tidak pernah punya peluang Open play bagus melawan tim kuat selama di latih patrick. Passing tim ini lebih buruk dari kualitas passing selama STY,indonesia peluang open play bagus lawan tim kuat latih patrick passing tim buruk kualitas passing sty,negatif,Kritik terhadap permainan di bawah Patrick dibanding STY.
Don.t cry my garuda..,dont cry my garuda,positif,Dukungan emosional kepada Garuda.
❤❤❤ i lov full indonesia,lov full indonesia,positif,Ungkapan cinta kepada Indonesia.
"KEPUTUSAN GANTI PELATIH DI TENGAH TURNAMEN, KETUM PSSI APA KABARNYA YAA",putus ganti pelatih turnamen tum pssi kabar yaa,negatif,Kritik terhadap keputusan ganti pelatih di tengah turnamen.
Pelati sty SDH bagus diganti,lat sty sdh bagus ganti,negatif,Kritik karena STY yang dianggap bagus justru diganti.
Sedih lihat mereka sedih... Namun wajar...karena darah dan hati mereka adalah merah putih yang sesungguhnya Bangga punya mereka menjadi bagjan dari Bangsa Indonesia Untuk semua netizen dan penggemar... terus Bangga dan Bahagja,sedih lihat sedih wajarkarena darah hati merah putih sungguh bangga bagjan bangsa indonesia netizen gemar bangga bahagja,positif,Bangga terhadap pemain dan bangsa Indonesia.
"Tanpa Marselino Ferdinan dalam skuad malam ini, Timnas Indonesia menghadapi Irak dengan susunan pemain yang lebih pragmatis dan defensif. Menurut saya, pelatih Patrik Kluivert memilih formasi 3-4-3 dengan mengandalkan kekuatan fisik dan kedisiplinan struktur permainan, namun kehilangan unsur kreativitas dan flair yang biasanya dibawa Marselino sebagai false nine. Menurut saya, ini keputusan yang cukup berisiko, terutama karena Irak dikenal punya pressing tinggi dan transisi cepat. Di lini tengah, duet Thom Haye dan Joey Pelupessy menawarkan stabilitas, tetapi keduanya bukan tipikal pemain yang gemar menusuk ke kotak penalti atau melakukan kombinasi pendek di ruang sempit seperti Marselino. Menurut saya, akibatnya Miliano Jonathans dan Ragnar Oratmangoen di sisi sayap kemungkinan harus bekerja ekstra keras untuk mengkreasikan peluang, sementara Ole Romeny di depan bisa kesulitan tanpa suplai bola yang konsisten. Lini belakang Indonesia cukup solid dengan kehadiran Rizky Ridho, Jay Idzes, dan Justin Hubner, ditopang Kevin Diks serta Calvin Verdonk sebagai wing-back. Namun, serangan balik bisa jadi satu-satunya senjata Garuda malam ini. Tanpa Marselino, Indonesia kehilangan pemain yang mampu menjadi penghubung antarlini. Menurut saya, jika tidak ada opsi kreatif di tengah, permainan bisa terfragmentasi dan terlalu mudah dibaca oleh Irak. Menurut saya, jika Indonesia ingin mencuri poin, mereka harus sangat efisien dalam setiap peluang dan tetap disiplin secara kolektif. Dan disinilah kelihatan, tanpa pemain yang berambisi dan egois seperti Marselino, Indonesia kehilangan semangat dan kreativitas menyerang. Tidak salah jika Marselino harus kelihatan ambisius dan egois di lapangan, karena gaya bermain seperti itulah yang merepotkan lawan dan menciptakan momen-momen berbahaya untuk tim lawan.",marselino ferdinan skuad malam timnas indonesia hadap irak susun pemain pragmatis defensif pelatih patrik kluivert pilih formasi andal kuat fisik disiplin struktur main hilang unsur kreativitas flair bawa marselino false nine putus risiko irak kenal pressing transisi cepat lini duet thom haye joey pelupessy tawar stabilitas tipikal pemain gemar tusuk kotak penalti kombinasi pendek ruang sempit marselino akibat miliano jonathans ragnar oratmangoen sisi sayap ekstra keras kreasi peluang ole romeny sulit suplai bola konsisten lini indonesia solid hadir rizky ridho jay idzes justin hubner topang kevin diks calvin verdonk wingback serang satusatunya senjata garuda malam marselino indonesia hilang pemain hubung antarlini opsi kreatif main fragmentasi mudah baca irak indonesia curi poin efisien peluang disiplin kolektif pemain ambisi egois marselino indonesia hilang semangat kreativitas serang salah marselino ambisius egois lapang gaya main repot lawan cipta momenmomen bahaya tim lawan,negatif,Analisis yang mengkritik keputusan taktik karena kehilangan kreativitas.
HARI BERKABUNG NASIONAL MATINYA SEPAK BOLA INDONESIA,kabung nasional mati sepak bola indonesia,negatif,Ungkapan duka dan kekecewaan atas sepak bola Indonesia.
Indonesia hebat ...,indonesia hebat,positif,Pujian singkat kepada Indonesia.
"Sy melihat, bukan cari kambing hitam, tp keputusan2 wasit banyak yg tak berfihak ke Indonesia. FIFA ikut bermain dg mafia dan FIFA tunduk dg uang. Timnas Indonesia tdk hanya melawan kesebelasan, tp melawan keputusan FIFA dan AFC yg belum boleh bermain di Pildun. Jadi jika Indonesia ingin berprestasi level Asia dan Dunia hrs meniru Jepang.",sy cari kambing hitam putus wasit berfihak indonesia fifa main dg mafia fifa tunduk dg uang timnas indonesia lawan sebelas lawan putus fifa afc main pildun indonesia prestasi level asia dunia hrs tiru jepang,negatif,"Kritik terhadap keputusan wasit, FIFA, dan AFC."
