komentar,komentar_bersih,label_final,alasan_label
"dinamika sepakbola,hal yg lumrah pergantian pelatih di tengah jalan,,, bahkan pelatih Uzbekistan yg sekarang meloloskan Uzbekistan ke piala dunia aja kemarin di pecat. tapi fans nya kaga berisik kaya disini... yg penting sekarang ambil pelajaran nya buat bekal next piala asia dan next pildun 2030 biar mental timnas makin strong",dinamika sepakbolahal lumrah ganti pelatih jalan pelatih uzbekistan lolos uzbekistan piala dunia kemarin pecat fans kaga berisik kaya ambil ajar bekal next piala asia next pildun biar mental timnas strong,positif,Dukungan dan ajakan mengambil pelajaran untuk Timnas ke depan.
Pasti semuanya sama raya situnggulang dan Yunus Nusi 😡😡🤔🤔🤔,raya situnggulang yunus nus,negatif,Mengarah pada kemarahan/penyalahgunaan terhadap pihak tertentu.
Bhaha dia emg gitu gw suka😂,bhaha emg gitu suka,positif,Komentar bernada suka/pujian terhadap pembahasan.
ANJIIR BAHAN BAKAR NERAKA 😂😂😂,anjiir bahan bakar neraka,negatif,Berisi sindiran/ejekan negatif.
Ngakak😂,ngakak,netral,Hanya ekspresi tertawa tanpa opini jelas.
Admin edann😂,edann,positif,Bernada pujian bercanda kepada admin/konten.
kesel banget tuh gw denger denger wkwk,kesel tuh denger denger,negatif,Mengungkapkan kekesalan.
"Indonesia semakin maju dalam pembinaan sepak bolla, walau terhenti dalam mimpi masuk pildunia. Kegagalan ini jangan saling menyalahkan si A si B. Pengurus, pelatih udah maksimal berrusaha agar Timnas bisa tampil di ajang yg lebih tinggi ( pil dunia)@, Namun hasilnya lain jauh dr yg di harafkan. Kita tetap semangat Bravo Timnas. .. ❤❤❤⚽️",indonesia maju bina sepak bolla henti mimpi masuk pildunia gagal salah si si urus pelatih udah maksimal berrusaha timnas tampil ajang pil dunia hasil harafkan semangat bravo timnas,positif,Tetap memberi semangat dan dukungan kepada Timnas.
Selama mafia bola dan koruptor makmur bebas hidup di negeri ini jangan harap lndonesia masuk pildun. Piala AFF yg bukan agenda FIFA saja kita terpuruk.,mafia bola koruptor makmur bebas hidup negeri harap lndonesia masuk pildun piala aff agenda fifa puruk,negatif,Mengkritik mafia bola/koruptor dan pesimis terhadap peluang Indonesia.
Masalah nya yg didalam itu pada Sadar ga?,dalam sadar,negatif,Pertanyaan bernada kritik kepada pihak internal.
"Hanya bisa 😭😭😭 Indonesia Indonesia Indonesia kami bangga dengan perjuangan kalian,,, timnas terbaik saat ini,,bg Jay idzes masih muda,,aku yakin dia akan masuk piala dunia,dengan pelatih dan timnas,, terbaik di tahun 2030,,,bila perlu pemain abroad semua kelak,,, bila perlu pemain liga satu jangan dimainkan lagi ,, bravo timnasku aku selalu mendukung kalian walau pun duka dan suka😢😢❤❤❤",indonesia indonesia indonesia bangga juang timnas baik inibg jay idzes mudaaku masuk piala duniadengan pelatih timnas baik pemain abroad kelak pemain liga main bravo timnasku dukung duka suka,positif,Bangga dan tetap mendukung Timnas meskipun gagal.
Argentina : jadi rematch gak ?,argentina rematch,netral,Hanya candaan/pertanyaan rematch tanpa sentimen jelas.
"Kesalahannya udah jelas bngt , PSSI kita masih korup",salah udah bngt pssi korup,negatif,Mengkritik PSSI sebagai korup.
